Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name
2.0,3:57,Steal,8 - 2,HUN,SZUCS G,5.0,8,2,237,1,HUN
2.0,3:39,Turnover foul,8 - 2,HUN,SZUCS G,5.0,8,2,219,1,HUN
2.0,3:32,Turnover foul,8 - 2,BRA,CANETTI M,1.0,8,2,212,1,HUN
2.0,3:32,Steal,8 - 2,HUN,SZUCS G,5.0,8,2,212,1,HUN
2.0,3:29,Time-Out,8 - 2,HUN,,,8,2,209,1,HUN
2.0,3:24,Turnover foul,8 - 2,HUN,BUJKA B,10.0,8,2,204,1,HUN
2.0,3:05,20 sec. exclusion in centre,8 - 2,HUN,SZUCS G,5.0,8,2,185,1,HUN
2.0,2:26,Counter attack - Saved,8 - 2,HUN,KISTELEKI D,4.0,8,2,146,1,HUN
2.0,2:06,Turnover foul,8 - 2,BRA,COUTINHO M,11.0,8,2,126,1,HUN
2.0,1:57,Turnover foul,8 - 2,HUN,SZUCS G,5.0,8,2,117,1,HUN
2.0,1:57,Steal,8 - 2,BRA,DIAS M,7.0,8,2,117,1,HUN
2.0,1:33,Centre shot - Blocked,8 - 2,BRA,COUTINHO M,11.0,8,2,93,1,HUN
2.0,1:20,Action shot - Goal,9 - 2,HUN,MISKOLCZI I,7.0,9,2,80,1,HUN
2.0,1:01,Centre shot - Saved,9 - 2,BRA,ABLA D,2.0,9,2,61,1,HUN
2.0,0:40,Turnover foul,9 - 2,HUN,ILLES A,2.0,9,2,40,1,HUN
2.0,0:40,Steal,9 - 2,BRA,ABLA D,2.0,9,2,40,1,HUN
2.0,0:20,20 sec. exclusion in field,9 - 2,HUN,TAKACS O,6.0,9,2,20,1,HUN
2.0,0:11,20 sec. exclusion in field,9 - 2,HUN,TOTH I,9.0,9,2,11,1,HUN
3.0,8:00,Starting goalkeeper,9 - 2,BRA,CANETTI M,1.0,9,2,480,1,HUN
3.0,8:00,Starting goalkeeper,9 - 2,HUN,KASO O,13.0,9,2,480,1,HUN
3.0,8:00,Sprint won possession,9 - 2,BRA,CHIAPPINI I,8.0,9,2,480,1,HUN
3.0,7:38,20 sec. exclusion in centre,9 - 2,HUN,MENCZINGER K,12.0,9,2,458,1,HUN
3.0,7:18,Extra player shot - Saved,9 - 2,BRA,CHIAPPINI I,8.0,9,2,438,1,HUN
3.0,7:00,Turnover foul,9 - 2,HUN,KESZTHELYI R,8.0,9,2,420,1,HUN
3.0,6:41,5m shot - Saved,9 - 2,BRA,DIAS M,7.0,9,2,401,1,HUN
3.0,6:28,Turnover foul,9 - 2,BRA,COUTINHO M,11.0,9,2,388,1,HUN
3.0,6:28,Steal,9 - 2,HUN,KISTELEKI D,4.0,9,2,388,1,HUN
3.0,6:27,20 sec. exclusion in field,9 - 2,BRA,COUTINHO M,11.0,9,2,387,1,HUN
3.0,6:18,Extra player shot - Missed,9 - 2,HUN,KESZTHELYI R,8.0,9,2,378,1,HUN
3.0,6:05,Turnover foul,9 - 2,BRA,ZABLITH M,3.0,9,2,365,1,HUN
3.0,5:49,5m shot - Blocked,9 - 2,HUN,KISTELEKI D,4.0,9,2,349,1,HUN
3.0,5:28,Turnover foul,9 - 2,BRA,CANETTI M,4.0,9,2,328,1,HUN
3.0,5:02,Action shot - Saved,9 - 2,HUN,KISTELEKI D,4.0,9,2,302,1,HUN
3.0,4:59,Turnover foul,9 - 2,HUN,TOTH I,9.0,9,2,299,1,HUN
3.0,4:59,Steal,9 - 2,BRA,CHIAPPINI I,8.0,9,2,299,1,HUN
3.0,4:31,Centre shot - Missed,9 - 2,BRA,COUTINHO M,11.0,9,2,271,1,HUN
3.0,4:10,Centre shot - Post,9 - 2,HUN,TOTH I,9.0,9,2,250,1,HUN
3.0,4:04,Centre shot - Blocked,9 - 2,HUN,KESZTHELYI R,8.0,9,2,244,1,HUN
3.0,3:52,20 sec. exclusion in field,9 - 2,HUN,MISKOLCZI I,7.0,9,2,232,1,HUN
3.0,3:49,Time-Out,9 - 2,BRA,,,9,2,229,1,HUN
3.0,3:27,Turnover foul,9 - 2,BRA,MAIA L,5.0,9,2,207,1,HUN
3.0,3:27,Steal,9 - 2,HUN,MISKOLCZI I,7.0,9,2,207,1,HUN
3.0,3:26,Turnover foul,9 - 2,HUN,MISKOLCZI I,7.0,9,2,206,1,HUN
3.0,3:20,20 sec. exclusion in field,9 - 2,HUN,TOTH I,9.0,9,2,200,1,HUN
3.0,3:11,20 sec. exclusion in field,9 - 2,HUN,MISKOLCZI I,7.0,9,2,191,1,HUN
3.0,3:11,Exclusion with substitution,9 - 2,HUN,MISKOLCZI I,7.0,9,2,191,1,HUN
3.0,3:06,Turnover foul,9 - 2,BRA,CHIAPPINI I,8.0,9,2,186,1,HUN
3.0,3:06,Steal,9 - 2,HUN,ANTAL D,3.0,9,2,186,1,HUN
3.0,2:41,20 sec. exclusion in field,9 - 2,BRA,CHIAPPINI I,8.0,9,2,161,1,HUN
3.0,2:30,Extra player shot - Goal,10 - 2,HUN,KESZTHELYI R,8.0,10,2,150,1,HUN
3.0,2:15,Turnover foul,10 - 2,BRA,CHIAPPINI I,8.0,10,2,135,1,HUN
3.0,2:15,Steal,10 - 2,HUN,KESZTHELYI R,8.0,10,2,135,1,HUN
3.0,2:04,Counter attack - Goal,11 - 2,HUN,KESZTHELYI R,8.0,11,2,124,1,HUN
3.0,1:44,Turnover foul,11 - 2,BRA,COUTINHO M,11.0,11,2,104,1,HUN
3.0,1:41,Steal,11 - 2,HUN,BUJKA B,10.0,11,2,101,1,HUN
3.0,1:21,Centre shot - Goal,12 - 2,HUN,BUJKA B,10.0,12,2,81,1,HUN
3.0,1:05,Turnover foul,12 - 2,BRA,MURATORE V,9.0,12,2,65,1,HUN
3.0,0:47,5m shot - Post,12 - 2,HUN,SZUCS G,5.0,12,2,47,1,HUN
