Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name,Result,Goal
2.0,2:43,5m shot,4 - 2,BRA,VIGNA F,10.0,4,2,163,2,KAZ,Saved,0
2.0,1:38,Centre shot,5 - 2,KAZ,TUROVA A,4.0,5,2,98,2,KAZ,Goal,1
4.0,2:56,Counter attack,9 - 5,BRA,CHIAPPINI I,8.0,9,5,176,2,KAZ,Goal,1
4.0,1:49,Action shot,9 - 5,KAZ,AKILBAYEVA A,3.0,9,5,109,2,KAZ,Saved,0
2.0,0:23,Action shot,9 - 5,BRA,CANETTI M,4.0,9,5,23,2,KAZ,Post,0
2.0,0:02,5m shot,9 - 5,KAZ,AKILBAYEVA A,3.0,9,5,2,2,KAZ,Saved,0
3.0,7:33,5m shot,9 - 5,BRA,DIAS M,7.0,9,5,453,2,KAZ,Missed,0
3.0,7:13,Penalty shot,9 - 5,BRA,COUTINHO M,11.0,9,5,433,2,KAZ,Missed,0
3.0,6:50,Extra player shot,9 - 5,KAZ,SHEPELINA N,2.0,9,5,410,2,KAZ,Post,0
3.0,6:40,Centre shot,6 - 2,KAZ,JAKAYEVA A,9.0,6,2,400,2,KAZ,Goal,1
3.0,5:51,Centre shot,6 - 2,KAZ,JAKAYEVA A,9.0,6,2,351,2,KAZ,Post,0
3.0,5:23,Extra player shot,6 - 2,BRA,CHIAPPINI I,8.0,6,2,323,2,KAZ,Saved,0
3.0,4:40,Action shot,7 - 2,KAZ,GRITSENKO M,10.0,7,2,280,2,KAZ,Goal,1
3.0,4:10,Action shot,7 - 2,BRA,CHIAPPINI I,8.0,7,2,250,2,KAZ,Blocked,0
3.0,3:44,5m shot,7 - 2,KAZ,GRITSENKO M,10.0,7,2,224,2,KAZ,Missed,0
3.0,3:00,Action shot,7 - 2,KAZ,SHEPELINA N,2.0,7,2,180,2,KAZ,Post,0
3.0,2:20,Action shot,7 - 2,BRA,CHIAPPINI I,8.0,7,2,140,2,KAZ,Blocked,0
4.0,7:22,Action shot,7 - 2,KAZ,GRITSENKO M,10.0,7,2,442,2,KAZ,Post,0
4.0,7:21,Centre shot,8 - 2,KAZ,GLUSHKOVA Y,8.0,8,2,441,2,KAZ,Goal,1
4.0,6:57,5m shot,8 - 2,BRA,VIGNA F,10.0,8,2,417,2,KAZ,Saved,0
4.0,6:32,Action shot,9 - 2,KAZ,AKILBAYEVA A,3.0,9,2,392,2,KAZ,Goal,1
4.0,6:10,Extra player shot,9 - 3,BRA,CHIAPPINI I,8.0,9,3,370,2,KAZ,Goal,1
4.0,5:20,Action shot,9 - 3,BRA,CHIAPPINI I,8.0,9,3,320,2,KAZ,Saved,0
4.0,4:52,Action shot,9 - 3,KAZ,GRITSENKO M,10.0,9,3,292,2,KAZ,Blocked,0
4.0,4:25,Centre shot,9 - 3,BRA,ZABLITH M,3.0,9,3,265,2,KAZ,Post,0
4.0,3:30,Extra player shot,9 - 4,BRA,CHIAPPINI I,8.0,9,4,210,2,KAZ,Goal,1
4.0,3:08,Centre shot,9 - 4,KAZ,AKILBAYEVA A,3.0,9,4,188,2,KAZ,Saved,0
4.0,0:35,Extra player shot,9 - 4,KAZ,MUSSAROVA A,12.0,9,4,35,2,KAZ,Saved,0
4.0,0:03,Centre shot,9 - 4,BRA,ABLA D,2.0,9,4,3,2,KAZ,Missed,0
4.0,0:01,5m shot,9 - 4,KAZ,ZHARKOVA A,1.0,9,4,1,2,KAZ,Saved,0
1.0,7:28,Counter attack,0 - 1,BRA,ZABLITH M,3.0,0,1,448,3,ITA,Goal,1
1.0,7:11,Action shot,1 - 1,ITA,BIANCONI R,8.0,1,1,431,3,ITA,Goal,1
1.0,6:45,Action shot,1 - 1,BRA,DIAS M,7.0,1,1,405,3,ITA,Saved,0
1.0,5:57,Action shot,1 - 1,BRA,CHIAPPINI I,8.0,1,1,357,3,ITA,Missed,0
1.0,5:07,Penalty shot,2 - 1,ITA,BIANCONI R,8.0,2,1,307,3,ITA,Goal,1
1.0,4:24,Centre shot,2 - 1,ITA,FRASSINETTI T,12.0,2,1,264,3,ITA,Saved,0
1.0,3:40,Extra player shot,2 - 1,BRA,COUTINHO M,11.0,2,1,220,3,ITA,Saved,0
1.0,2:47,Action shot,2 - 1,BRA,DIAS M,7.0,2,1,167,3,ITA,Post,0
1.0,2:33,Action shot,2 - 1,ITA,EMMOLO G,9.0,2,1,153,3,ITA,Missed,0
1.0,2:13,5m shot,2 - 1,BRA,CHIAPPINI I,8.0,2,1,133,3,ITA,Blocked,0
1.0,1:30,Action shot,2 - 1,BRA,CANETTI M,4.0,2,1,90,3,ITA,Post,0
1.0,1:12,Action shot,2 - 1,ITA,COTTI A,11.0,2,1,72,3,ITA,Missed,0
1.0,0:27,Action shot,2 - 1,ITA,COTTI A,11.0,2,1,27,3,ITA,Saved,0
