Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,CAN,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,13.0,1,0,CAN,1.0,ALEKSIC D,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,1,0,CAN,1.0,GRAHAM K,0 - 0,480,CAN,8:00
Turnover foul,0,3.0,1,0,CAN,1.0,VIKALO O,0 - 0,453,CAN,7:33
Turnover foul,0,2.0,1,0,CAN,1.0,BURIC D,0 - 0,434,CRO,7:14
Steal,0,13.0,1,0,CAN,1.0,ALEKSIC D,0 - 0,434,CAN,7:14
Turnover foul,0,3.0,1,0,CAN,1.0,VIKALO O,0 - 0,403,CAN,6:43
Steal,0,7.0,1,0,CAN,1.0,MUSLIM P,0 - 0,403,CRO,6:43
Penalty foul,0,2.0,1,0,CAN,1.0,KUDABA C,0 - 0,387,CAN,6:27
Penalty shot - Goal,1,9.0,1,0,CAN,1.0,SUKNO S,1 - 0,387,CRO,6:27
5m shot - Missed,1,2.0,1,0,CAN,1.0,KUDABA C,1 - 0,365,CAN,6:05
Penalty foul,1,4.0,1,0,CAN,1.0,CONSTANTIN-BICARI,1 - 0,342,CAN,5:42
Penalty shot - Saved,1,5.0,1,0,CAN,1.0,JOKOVIC M,1 - 0,342,CRO,5:42
Turnover foul,1,5.0,1,0,CAN,1.0,JOKOVIC M,1 - 0,338,CRO,5:38
5m shot - Goal,1,8.0,1,1,CAN,1.0,GRAHAM K,1 - 1,313,CAN,5:13
Centre shot - Goal,2,4.0,1,1,CAN,1.0,LONCAR L,2 - 1,289,CRO,4:49
Time-Out,2,,1,1,CAN,1.0,,2 - 1,289,CAN,4:49
Centre shot - Saved,2,2.0,1,1,CAN,1.0,KUDABA C,2 - 1,268,CAN,4:28
Turnover foul,2,10.0,1,1,CAN,1.0,CONWAY J,2 - 1,235,CAN,3:55
Steal,2,8.0,1,1,CAN,1.0,BUSLJE A,2 - 1,235,CRO,3:55
20 sec. exclusion in centre,2,8.0,1,1,CAN,1.0,GRAHAM K,2 - 1,230,CAN,3:50
Time-Out,2,,1,1,CAN,1.0,,2 - 1,230,CRO,3:50
Action shot - Goal,3,12.0,1,1,CAN,1.0,OBRADOVIC P,3 - 1,208,CRO,3:28
Action shot - Missed,3,2.0,1,1,CAN,1.0,KUDABA C,3 - 1,178,CAN,2:58
20 sec. exclusion in field,3,3.0,1,1,CAN,1.0,PETKOVIC A,3 - 1,139,CRO,2:19
Extra player shot - Goal,3,10.0,1,2,CAN,1.0,CONWAY J,3 - 2,118,CAN,1:58
Turnover foul,3,3.0,1,2,CAN,1.0,PETKOVIC A,3 - 2,90,CRO,1:30
Turnover foul,3,11.0,1,2,CAN,1.0,TORAKIS G,3 - 2,67,CAN,1:07
Steal,3,8.0,1,2,CAN,1.0,BUSLJE A,3 - 2,67,CRO,1:07
Turnover foul,3,10.0,1,2,CAN,1.0,PASKVALIN F,3 - 2,40,CRO,0:40
Steal,3,13.0,1,2,CAN,1.0,ALEKSIC D,3 - 2,40,CAN,0:40
Turnover foul,3,5.0,1,2,CAN,1.0,BOYD J,3 - 2,19,CAN,0:19
Action shot - Goal,4,6.0,1,2,CAN,1.0,BUKIC L,4 - 2,8,CRO,0:08
5m shot - Blocked,4,11.0,1,2,CAN,1.0,TORAKIS G,4 - 2,0,CAN,0:00
Starting goalkeeper,4,1.0,1,2,CAN,2.0,PAVIC J,4 - 2,480,CRO,8:00
Starting goalkeeper,4,13.0,1,2,CAN,2.0,ALEKSIC D,4 - 2,480,CAN,8:00
Sprint won possession,4,6.0,1,2,CAN,2.0,BUKIC L,4 - 2,480,CRO,8:00
Turnover foul,4,12.0,1,2,CAN,2.0,OBRADOVIC P,4 - 2,451,CRO,7:31
Steal,4,13.0,1,2,CAN,2.0,ALEKSIC D,4 - 2,451,CAN,7:31
Centre shot - Saved,4,3.0,1,2,CAN,2.0,VIKALO O,4 - 2,394,CAN,6:34
Action shot - Goal,4,3.0,1,3,CAN,2.0,VIKALO O,4 - 3,390,CAN,6:30
Action shot - Goal,5,2.0,1,3,CAN,2.0,BURIC D,5 - 3,363,CRO,6:03
5m shot - Saved,5,8.0,1,3,CAN,2.0,GRAHAM K,5 - 3,331,CAN,5:31
Centre shot - Goal,6,7.0,1,3,CAN,2.0,MUSLIM P,6 - 3,320,CRO,5:20
20 sec. exclusion in centre,6,2.0,1,3,CAN,2.0,BURIC D,6 - 3,303,CRO,5:03
Extra player shot - Goal,6,10.0,1,4,CAN,2.0,CONWAY J,6 - 4,283,CAN,4:43
Centre shot - Goal,7,4.0,1,4,CAN,2.0,LONCAR L,7 - 4,253,CRO,4:13
Turnover foul,7,4.0,1,4,CAN,2.0,CONSTANTIN-BICARI,7 - 4,228,CAN,3:48
Steal,7,6.0,1,4,CAN,2.0,BUKIC L,7 - 4,228,CRO,3:48
Centre shot - Goal,8,6.0,1,4,CAN,2.0,BUKIC L,8 - 4,214,CRO,3:34
5m shot - Saved,8,11.0,1,4,CAN,2.0,TORAKIS G,8 - 4,183,CAN,3:03
Centre shot - Goal,9,10.0,1,4,CAN,2.0,PASKVALIN F,9 - 4,161,CRO,2:41
Time-Out,9,,1,4,CAN,2.0,,9 - 4,161,CAN,2:41
5m shot - Saved,9,8.0,1,4,CAN,2.0,GRAHAM K,9 - 4,134,CAN,2:14
5m shot - Goal,10,3.0,1,4,CAN,2.0,PETKOVIC A,10 - 4,114,CRO,1:54
