Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,1,9.0,1,0,CAN,1.0,SUKNO S,1 - 0,387,CRO,6:27,Goal,1
5m shot,1,2.0,1,0,CAN,1.0,KUDABA C,1 - 0,365,CAN,6:05,Missed,0
Penalty shot,1,5.0,1,0,CAN,1.0,JOKOVIC M,1 - 0,342,CRO,5:42,Saved,0
5m shot,1,8.0,1,1,CAN,1.0,GRAHAM K,1 - 1,313,CAN,5:13,Goal,1
Centre shot,2,4.0,1,1,CAN,1.0,LONCAR L,2 - 1,289,CRO,4:49,Goal,1
Centre shot,2,2.0,1,1,CAN,1.0,KUDABA C,2 - 1,268,CAN,4:28,Saved,0
Action shot,3,12.0,1,1,CAN,1.0,OBRADOVIC P,3 - 1,208,CRO,3:28,Goal,1
Action shot,3,2.0,1,1,CAN,1.0,KUDABA C,3 - 1,178,CAN,2:58,Missed,0
Extra player shot,3,10.0,1,2,CAN,1.0,CONWAY J,3 - 2,118,CAN,1:58,Goal,1
Action shot,4,6.0,1,2,CAN,1.0,BUKIC L,4 - 2,8,CRO,0:08,Goal,1
5m shot,4,11.0,1,2,CAN,1.0,TORAKIS G,4 - 2,0,CAN,0:00,Blocked,0
Centre shot,4,3.0,1,2,CAN,2.0,VIKALO O,4 - 2,394,CAN,6:34,Saved,0
Action shot,4,3.0,1,3,CAN,2.0,VIKALO O,4 - 3,390,CAN,6:30,Goal,1
Action shot,5,2.0,1,3,CAN,2.0,BURIC D,5 - 3,363,CRO,6:03,Goal,1
5m shot,5,8.0,1,3,CAN,2.0,GRAHAM K,5 - 3,331,CAN,5:31,Saved,0
Centre shot,6,7.0,1,3,CAN,2.0,MUSLIM P,6 - 3,320,CRO,5:20,Goal,1
Extra player shot,6,10.0,1,4,CAN,2.0,CONWAY J,6 - 4,283,CAN,4:43,Goal,1
Centre shot,7,4.0,1,4,CAN,2.0,LONCAR L,7 - 4,253,CRO,4:13,Goal,1
Centre shot,8,6.0,1,4,CAN,2.0,BUKIC L,8 - 4,214,CRO,3:34,Goal,1
5m shot,8,11.0,1,4,CAN,2.0,TORAKIS G,8 - 4,183,CAN,3:03,Saved,0
Centre shot,9,10.0,1,4,CAN,2.0,PASKVALIN F,9 - 4,161,CRO,2:41,Goal,1
5m shot,9,8.0,1,4,CAN,2.0,GRAHAM K,9 - 4,134,CAN,2:14,Saved,0
5m shot,10,3.0,1,4,CAN,2.0,PETKOVIC A,10 - 4,114,CRO,1:54,Goal,1
Action shot,10,5.0,1,4,CAN,2.0,BOYD J,10 - 4,93,CAN,1:33,Saved,0
5m shot,10,9.0,1,4,CAN,2.0,SUKNO S,10 - 4,60,CRO,1:00,Post,0
5m shot,10,11.0,1,4,CAN,2.0,TORAKIS G,10 - 4,37,CAN,0:37,Saved,0
