Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,JPN,1.0,MIURA R,0 - 0,480,JPN,8:00
Starting goalkeeper,1.0,1,0,0,JPN,1.0,GORLERO G,0 - 0,480,ITA,8:00
Sprint won possession,7.0,1,0,0,JPN,1.0,DI MARIO T,0 - 0,480,ITA,8:00
Turnover foul,2.0,1,0,0,JPN,1.0,TABANI C,0 - 0,452,ITA,7:32
Steal,1.0,1,0,0,JPN,1.0,MIURA R,0 - 0,452,JPN,7:32
Action shot - Post,6.0,1,0,0,JPN,1.0,TAKAHASHI A,0 - 0,443,JPN,7:23
20 sec. exclusion in centre,12.0,1,0,0,JPN,1.0,SUZUKI K,0 - 0,425,JPN,7:05
Extra player shot - Goal,3.0,1,1,0,JPN,1.0,GARIBOTTI A,0 - 1,412,ITA,6:52
Turnover foul,10.0,1,1,0,JPN,1.0,MORI T,0 - 1,380,JPN,6:20
Steal,1.0,1,1,0,JPN,1.0,GORLERO G,0 - 1,380,ITA,6:20
20 sec. exclusion in field,6.0,1,1,0,JPN,1.0,TAKAHASHI A,0 - 1,377,JPN,6:17
Extra player shot - Goal,9.0,1,2,0,JPN,1.0,EMMOLO G,0 - 2,361,ITA,6:01
Turnover foul,8.0,1,2,0,JPN,1.0,HASHIGUCHI M,0 - 2,328,JPN,5:28
Steal,1.0,1,2,0,JPN,1.0,GORLERO G,0 - 2,328,ITA,5:28
Turnover foul,5.0,1,2,0,JPN,1.0,RADICCHI F,0 - 2,320,ITA,5:20
Steal,1.0,1,2,0,JPN,1.0,MIURA R,0 - 2,320,JPN,5:20
20 sec. exclusion in centre,12.0,1,2,0,JPN,1.0,FRASSINETTI T,0 - 2,311,ITA,5:11
Extra player shot - Saved,7.0,1,2,0,JPN,1.0,NAKANO Y,0 - 2,292,JPN,4:52
Turnover foul,9.0,1,2,0,JPN,1.0,EMMOLO G,0 - 2,261,ITA,4:21
Turnover foul,8.0,1,2,0,JPN,1.0,HASHIGUCHI M,0 - 2,234,JPN,3:54
Penalty foul,8.0,1,2,0,JPN,1.0,HASHIGUCHI M,0 - 2,219,JPN,3:39
Penalty shot - Saved,8.0,1,2,0,JPN,1.0,HASHIGUCHI M,0 - 2,213,JPN,3:33
Action shot - Goal,8.0,1,3,0,JPN,1.0,BIANCONI R,0 - 3,183,ITA,3:03
Turnover foul,3.0,1,3,0,JPN,1.0,KAZAMA Y,0 - 3,120,JPN,2:00
Steal,4.0,1,3,0,JPN,1.0,QUEIROLO E,0 - 3,120,ITA,2:00
Centre shot - Goal,6.0,1,4,0,JPN,1.0,AIELLO R,0 - 4,92,ITA,1:32
20 sec. exclusion in centre,12.0,1,4,0,JPN,1.0,SUZUKI K,0 - 4,47,JPN,0:47
Time-Out,,1,4,0,JPN,1.0,,0 - 4,47,ITA,0:47
Extra player shot - Goal,11.0,1,5,0,JPN,1.0,BARZON L,0 - 5,25,ITA,0:25
Turnover foul,3.0,1,5,0,JPN,1.0,KAZAMA Y,0 - 5,0,JPN,0:00
Starting goalkeeper,1.0,1,5,0,JPN,2.0,MIURA R,0 - 5,480,JPN,8:00
Starting goalkeeper,1.0,1,5,0,JPN,2.0,GORLERO G,0 - 5,480,ITA,8:00
Sprint won possession,9.0,1,5,0,JPN,2.0,EMMOLO G,0 - 5,480,ITA,8:00
Turnover foul,7.0,1,5,0,JPN,2.0,DI MARIO T,0 - 5,455,ITA,7:35
Steal,2.0,1,5,0,JPN,2.0,SAKANOUE C,0 - 5,455,JPN,7:35
Action shot - Saved,3.0,1,5,0,JPN,2.0,KAZAMA Y,0 - 5,432,JPN,7:12
Action shot - Blocked,10.0,1,5,0,JPN,2.0,MORI T,0 - 5,372,JPN,6:12
20 sec. exclusion in centre,2.0,1,5,0,JPN,2.0,SAKANOUE C,0 - 5,343,JPN,5:43
Extra player shot - Goal,3.0,1,6,0,JPN,2.0,GARIBOTTI A,0 - 6,329,ITA,5:29
Turnover foul,4.0,1,6,0,JPN,2.0,MAGARIYAMA S,0 - 6,302,JPN,5:02
Steal,1.0,1,6,0,JPN,2.0,GORLERO G,0 - 6,302,ITA,5:02
Turnover foul,8.0,1,6,0,JPN,2.0,BIANCONI R,0 - 6,281,ITA,4:41
Steal,10.0,1,6,0,JPN,2.0,MORI T,0 - 6,281,JPN,4:41
5m shot - Post,10.0,1,6,0,JPN,2.0,MORI T,0 - 6,258,JPN,4:18
Turnover foul,9.0,1,6,0,JPN,2.0,EMMOLO G,0 - 6,236,ITA,3:56
Action shot - Goal,3.0,1,6,1,JPN,2.0,KAZAMA Y,1 - 6,230,JPN,3:50
