Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,8.0,6,1,2,AUS,1.0,BIANCONI R,2 - 1,154,ITA,2:34,Goal,1
Extra player shot,3.0,6,2,2,AUS,1.0,GARIBOTTI A,2 - 2,97,ITA,1:37,Goal,1
Action shot,9.0,6,2,2,AUS,1.0,ARANCINI Z,2 - 2,69,AUS,1:09,Saved,0
5m shot,8.0,6,2,2,AUS,1.0,MCGHIE G,2 - 2,46,AUS,0:46,Missed,0
Counter attack,6.0,6,3,2,AUS,1.0,AIELLO R,2 - 3,34,ITA,0:34,Goal,1
5m shot,7.0,6,3,2,AUS,1.0,WEBSTER R,2 - 3,0,AUS,0:00,Missed,0
Action shot,7.0,6,3,3,AUS,2.0,WEBSTER R,3 - 3,435,AUS,7:15,Goal,1
Action shot,7.0,6,4,3,AUS,2.0,DI MARIO T,3 - 4,396,ITA,6:36,Goal,1
Action shot,8.0,6,4,3,AUS,2.0,MCGHIE G,3 - 4,366,AUS,6:06,Saved,0
5m shot,7.0,6,4,3,AUS,2.0,WEBSTER R,3 - 4,333,AUS,5:33,Saved,0
5m shot,8.0,6,4,3,AUS,2.0,MCGHIE G,3 - 4,269,AUS,4:29,Blocked,0
5m shot,10.0,6,4,3,AUS,2.0,SOUTHERN A,3 - 4,217,AUS,3:37,Saved,0
Counter attack,5.0,6,4,3,AUS,2.0,GOFERS K,3 - 4,175,AUS,2:55,Post,0
5m shot,7.0,6,5,3,AUS,2.0,DI MARIO T,3 - 5,143,ITA,2:23,Goal,1
Centre shot,12.0,6,5,3,AUS,4.0,FRASSINETTI T,3 - 5,63,ITA,1:03,Saved,0
