Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,7.0,2,9,7,USA,4.0,DI MARIO T,9 - 7,277,ITA,4:37,Goal,1
Action shot,11.0,2,9,7,USA,4.0,FISCHER M,9 - 7,247,USA,4:07,Post,0
5m shot,8.0,2,9,7,USA,4.0,BIANCONI R,9 - 7,225,ITA,3:45,Missed,0
Action shot,11.0,2,9,7,USA,4.0,FISCHER M,9 - 7,186,USA,3:06,Missed,0
Action shot,9.0,2,10,7,USA,4.0,EMMOLO G,10 - 7,170,ITA,2:50,Goal,1
Action shot,8.0,2,10,7,USA,4.0,NEUSHUL K,10 - 7,143,USA,2:23,Saved,0
Extra player shot,4.0,2,10,7,USA,4.0,FATTAL R,10 - 7,112,USA,1:52,Saved,0
Centre shot,6.0,2,10,7,USA,4.0,AIELLO R,10 - 7,80,ITA,1:20,Post,0
Action shot,4.0,2,10,8,USA,4.0,FATTAL R,10 - 8,69,USA,1:09,Goal,1
Action shot,2.0,2,10,8,USA,4.0,MUSSELMAN M,10 - 8,44,USA,0:44,Saved,0
5m shot,8.0,2,10,8,USA,4.0,BIANCONI R,10 - 8,11,ITA,0:11,Missed,0
Penalty shot,11.0,2,10,9,USA,4.0,FISCHER M,10 - 9,4,USA,0:04,Goal,1
5m shot,5.0,3,0,0,BRA,1.0,RADICCHI F,0 - 0,454,ITA,7:34,Post,0
5m shot,5.0,3,0,0,BRA,1.0,RADICCHI F,0 - 0,417,ITA,6:57,Post,0
Action shot,7.0,3,1,0,BRA,1.0,DI MARIO T,0 - 1,396,ITA,6:36,Goal,1
Action shot,7.0,3,1,0,BRA,1.0,OLIVEIRA A,0 - 1,368,BRA,6:08,Saved,0
5m shot,9.0,3,1,0,BRA,1.0,DIAS M,0 - 1,324,BRA,5:24,Saved,0
5m shot,5.0,3,2,0,BRA,1.0,RADICCHI F,0 - 2,299,ITA,4:59,Goal,1
Action shot,7.0,3,2,0,BRA,1.0,OLIVEIRA A,0 - 2,275,BRA,4:35,Saved,0
5m shot,6.0,3,2,0,BRA,1.0,CHIAPPINI I,0 - 2,225,BRA,3:45,Missed,0
Action shot,5.0,3,3,0,BRA,1.0,RADICCHI F,0 - 3,213,ITA,3:33,Goal,1
Action shot,4.0,3,3,0,BRA,1.0,QUEIROLO E,0 - 3,175,ITA,2:55,Post,0
5m shot,6.0,3,3,0,BRA,1.0,CHIAPPINI I,0 - 3,145,BRA,2:25,Post,0
5m shot,9.0,3,3,0,BRA,1.0,DIAS M,0 - 3,81,BRA,1:21,Saved,0
5m shot,9.0,3,3,0,BRA,1.0,DIAS M,0 - 3,15,BRA,0:15,Missed,0
Action shot,4.0,3,3,0,BRA,1.0,QUEIROLO E,0 - 3,1,ITA,0:01,Post,0
Centre shot,2.0,3,3,0,BRA,1.0,TABANI C,0 - 3,1,ITA,0:01,Post,0
5m shot,7.0,3,3,0,BRA,2.0,DI MARIO T,0 - 3,455,ITA,7:35,Missed,0
5m shot,9.0,3,4,0,BRA,2.0,EMMOLO G,0 - 4,402,ITA,6:42,Goal,1
Action shot,12.0,3,4,0,BRA,2.0,MANTELLATO G,0 - 4,360,BRA,6:00,Saved,0
Extra player shot,6.0,3,4,0,BRA,2.0,AIELLO R,0 - 4,328,ITA,5:28,Saved,0
5m shot,6.0,3,4,0,BRA,2.0,CHIAPPINI I,0 - 4,306,BRA,5:06,Missed,0
Penalty shot,8.0,3,5,0,BRA,2.0,BIANCONI R,0 - 5,299,ITA,4:59,Goal,1
5m shot,7.0,3,5,0,BRA,2.0,OLIVEIRA A,0 - 5,282,BRA,4:42,Post,0
Action shot,11.0,3,5,0,BRA,2.0,BARZON L,0 - 5,258,ITA,4:18,Saved,0
Extra player shot,12.0,3,5,0,BRA,2.0,MANTELLATO G,0 - 5,225,BRA,3:45,Saved,0
Action shot,12.0,3,5,0,BRA,2.0,MANTELLATO G,0 - 5,215,BRA,3:35,Saved,0
Action shot,7.0,3,5,1,BRA,2.0,OLIVEIRA A,1 - 5,213,BRA,3:33,Goal,1
Action shot,11.0,3,5,1,BRA,2.0,BARZON L,1 - 5,183,ITA,3:03,Saved,0
Action shot,8.0,3,6,1,BRA,2.0,BIANCONI R,1 - 6,159,ITA,2:39,Goal,1
5m shot,6.0,3,6,1,BRA,2.0,CHIAPPINI I,1 - 6,133,BRA,2:13,Blocked,0
5m shot,3.0,3,7,1,BRA,2.0,GARIBOTTI A,1 - 7,111,ITA,1:51,Goal,1
5m shot,7.0,3,7,1,BRA,2.0,OLIVEIRA A,1 - 7,84,BRA,1:24,Post,0
Action shot,6.0,3,8,1,BRA,2.0,AIELLO R,1 - 8,39,ITA,0:39,Goal,1
5m shot,6.0,3,8,1,BRA,2.0,CHIAPPINI I,1 - 8,13,BRA,0:13,Saved,0
5m shot,3.0,3,8,1,BRA,2.0,GARIBOTTI A,1 - 8,0,ITA,0:00,Saved,0
5m shot,7.0,3,8,2,BRA,3.0,OLIVEIRA A,2 - 8,459,BRA,7:39,Goal,1
5m shot,8.0,3,8,2,BRA,3.0,BIANCONI R,2 - 8,436,ITA,7:16,Missed,0
Action shot,7.0,3,8,3,BRA,3.0,OLIVEIRA A,3 - 8,421,BRA,7:01,Goal,1
Action shot,9.0,3,9,3,BRA,3.0,EMMOLO G,3 - 9,396,ITA,6:36,Goal,1
Action shot,12.0,3,9,3,BRA,3.0,MANTELLATO G,3 - 9,349,BRA,5:49,Saved,0
Action shot,7.0,3,9,4,BRA,3.0,OLIVEIRA A,4 - 9,349,BRA,5:49,Goal,1
5m shot,5.0,3,10,4,BRA,3.0,RADICCHI F,4 - 10,324,ITA,5:24,Goal,1
Extra player shot,6.0,3,10,4,BRA,3.0,CHIAPPINI I,4 - 10,277,BRA,4:37,Post,0
Action shot,10.0,3,10,4,BRA,3.0,BAHIA V,4 - 10,229,BRA,3:49,Saved,0
Extra player shot,6.0,3,10,4,BRA,3.0,AIELLO R,4 - 10,204,ITA,3:24,Saved,0
5m shot,7.0,3,10,4,BRA,3.0,DI MARIO T,4 - 10,179,ITA,2:59,Saved,0
5m shot,6.0,3,10,4,BRA,3.0,CHIAPPINI I,4 - 10,143,BRA,2:23,Missed,0
Action shot,7.0,3,10,4,BRA,3.0,OLIVEIRA A,4 - 10,105,BRA,1:45,Missed,0
Action shot,8.0,3,10,4,BRA,3.0,BIANCONI R,4 - 10,90,ITA,1:30,Saved,0
5m shot,7.0,3,10,4,BRA,3.0,DI MARIO T,4 - 10,64,ITA,1:04,Blocked,0
Centre shot,4.0,3,11,4,BRA,3.0,QUEIROLO E,4 - 11,11,ITA,0:11,Goal,1
Action shot,9.0,3,11,5,BRA,4.0,DIAS M,5 - 11,455,BRA,7:35,Goal,1
5m shot,11.0,3,11,5,BRA,4.0,BARZON L,5 - 11,430,ITA,7:10,Saved,0
Action shot,9.0,3,11,5,BRA,4.0,DIAS M,5 - 11,404,BRA,6:44,Blocked,0
Action shot,11.0,3,12,5,BRA,4.0,BARZON L,5 - 12,404,ITA,6:44,Goal,1
Centre shot,6.0,3,12,5,BRA,4.0,AIELLO R,5 - 12,361,ITA,6:01,Post,0
5m shot,4.0,3,13,5,BRA,4.0,QUEIROLO E,5 - 13,236,ITA,3:56,Goal,1
5m shot,6.0,3,13,6,BRA,4.0,CHIAPPINI I,6 - 13,226,BRA,3:46,Goal,1
5m shot,4.0,3,13,6,BRA,4.0,QUEIROLO E,6 - 13,199,ITA,3:19,Missed,0
Action shot,12.0,3,14,6,BRA,4.0,FRASSINETTI T,6 - 14,154,ITA,2:34,Goal,1
5m shot,8.0,3,15,6,BRA,4.0,BIANCONI R,6 - 15,104,ITA,1:44,Goal,1
5m shot,8.0,4,0,0,GRE,1.0,BIANCONI R,0 - 0,455,ITA,7:35,Saved,0
5m shot,3.0,4,0,0,GRE,1.0,GARIBOTTI A,0 - 0,408,ITA,6:48,Blocked,0
5m shot,8.0,4,0,0,GRE,1.0,ROUMPESI A,0 - 0,378,GRE,6:18,Saved,0
Action shot,6.0,4,0,0,GRE,1.0,AVRAMIDOU A,0 - 0,320,GRE,5:20,Saved,0
5m shot,9.0,4,0,0,GRE,1.0,EMMOLO G,0 - 0,275,ITA,4:35,Missed,0
Action shot,10.0,4,0,0,GRE,1.0,MANOLIOUDAKI T,0 - 0,253,GRE,4:13,Saved,0
5m shot,8.0,4,0,0,GRE,1.0,BIANCONI R,0 - 0,231,ITA,3:51,Saved,0
Action shot,8.0,4,0,0,GRE,1.0,BIANCONI R,0 - 0,178,ITA,2:58,Saved,0
Action shot,7.0,4,1,0,GRE,1.0,DI MARIO T,1 - 0,157,ITA,2:37,Goal,1
Action shot,8.0,4,1,0,GRE,1.0,BIANCONI R,1 - 0,115,ITA,1:55,Post,0
Extra player shot,2.0,4,1,0,GRE,1.0,TSOUKALA C,1 - 0,79,GRE,1:19,Saved,0
5m shot,7.0,4,1,0,GRE,1.0,DI MARIO T,1 - 0,57,ITA,0:57,Blocked,0
Action shot,10.0,4,1,0,GRE,1.0,MANOLIOUDAKI T,1 - 0,19,GRE,0:19,Saved,0
5m shot,4.0,4,1,0,GRE,1.0,QUEIROLO E,1 - 0,0,ITA,0:00,Saved,0
5m shot,2.0,4,1,0,GRE,2.0,TSOUKALA C,1 - 0,456,GRE,7:36,Post,0
Action shot,7.0,4,1,1,GRE,2.0,ASIMAKI A,1 - 1,433,GRE,7:13,Goal,1
Penalty shot,7.0,4,2,1,GRE,2.0,DI MARIO T,2 - 1,407,ITA,6:47,Goal,1
Action shot,3.0,4,3,1,GRE,2.0,GARIBOTTI A,3 - 1,369,ITA,6:09,Goal,1
Action shot,7.0,4,3,1,GRE,2.0,ASIMAKI A,3 - 1,340,GRE,5:40,Saved,0
Extra player shot,8.0,4,3,1,GRE,2.0,BIANCONI R,3 - 1,330,ITA,5:30,Saved,0
Action shot,11.0,4,3,1,GRE,2.0,PLEVRITOU E,3 - 1,303,GRE,5:03,Saved,0
5m shot,8.0,4,4,1,GRE,2.0,BIANCONI R,4 - 1,274,ITA,4:34,Goal,1
Action shot,8.0,4,4,1,GRE,2.0,ROUMPESI A,4 - 1,196,GRE,3:16,Saved,0
5m shot,3.0,4,4,1,GRE,2.0,GARIBOTTI A,4 - 1,168,ITA,2:48,Missed,0
Extra player shot,3.0,4,4,2,GRE,2.0,CHARALAMPIDI S,4 - 2,130,GRE,2:10,Goal,1
Extra player shot,7.0,4,4,2,GRE,2.0,DI MARIO T,4 - 2,86,ITA,1:26,Saved,0
Action shot,2.0,4,4,2,GRE,2.0,TSOUKALA C,4 - 2,64,GRE,1:04,Saved,0
Centre shot,10.0,4,4,2,GRE,2.0,POMERI F,4 - 2,26,ITA,0:26,Saved,0
Action shot,10.0,4,4,3,GRE,2.0,MANOLIOUDAKI T,4 - 3,4,GRE,0:04,Goal,1
Extra player shot,7.0,4,5,3,GRE,3.0,DI MARIO T,5 - 3,437,ITA,7:17,Goal,1
Action shot,4.0,4,5,3,GRE,3.0,KOTSIA C,5 - 3,408,GRE,6:48,Saved,0
Action shot,10.0,4,5,3,GRE,3.0,MANOLIOUDAKI T,5 - 3,368,GRE,6:08,Blocked,0
Action shot,4.0,4,5,4,GRE,3.0,KOTSIA C,5 - 4,319,GRE,5:19,Goal,1
Action shot,5.0,4,6,4,GRE,3.0,RADICCHI F,6 - 4,249,ITA,4:09,Goal,1
5m shot,8.0,4,6,4,GRE,3.0,ROUMPESI A,6 - 4,196,GRE,3:16,Post,0
Centre shot,8.0,4,7,4,GRE,3.0,BIANCONI R,7 - 4,155,ITA,2:35,Goal,1
Action shot,11.0,4,7,4,GRE,3.0,PLEVRITOU E,7 - 4,128,GRE,2:08,Missed,0
Action shot,11.0,4,7,4,GRE,3.0,PLEVRITOU E,7 - 4,97,GRE,1:37,Saved,0
5m shot,11.0,4,7,4,GRE,3.0,BARZON L,7 - 4,74,ITA,1:14,Post,0
Extra player shot,3.0,4,7,5,GRE,3.0,CHARALAMPIDI S,7 - 5,39,GRE,0:39,Goal,1
Action shot,7.0,4,7,5,GRE,3.0,DI MARIO T,7 - 5,12,ITA,0:12,Saved,0
5m shot,8.0,4,7,5,GRE,3.0,ROUMPESI A,7 - 5,1,GRE,0:01,Missed,0
Action shot,3.0,4,7,6,GRE,4.0,CHARALAMPIDI S,7 - 6,436,GRE,7:16,Goal,1
Centre shot,7.0,4,8,6,GRE,4.0,DI MARIO T,8 - 6,412,ITA,6:52,Goal,1
5m shot,10.0,4,8,6,GRE,4.0,MANOLIOUDAKI T,8 - 6,388,GRE,6:28,Post,0
Action shot,3.0,4,9,6,GRE,4.0,GARIBOTTI A,9 - 6,363,ITA,6:03,Goal,1
Centre shot,7.0,4,9,6,GRE,4.0,ASIMAKI A,9 - 6,344,GRE,5:44,Saved,0
Action shot,3.0,4,9,6,GRE,4.0,GARIBOTTI A,9 - 6,309,ITA,5:09,Saved,0
Extra player shot,7.0,4,9,6,GRE,4.0,DI MARIO T,9 - 6,269,ITA,4:29,Saved,0
Extra player shot,7.0,4,9,6,GRE,4.0,DI MARIO T,9 - 6,220,ITA,3:40,Missed,0
5m shot,9.0,4,9,6,GRE,4.0,EMMOLO G,9 - 6,167,ITA,2:47,Post,0
Action shot,3.0,4,9,6,GRE,4.0,CHARALAMPIDI S,9 - 6,144,GRE,2:24,Missed,0
Centre shot,12.0,4,9,6,GRE,4.0,XENAKI E,9 - 6,94,GRE,1:34,Saved,0
Action shot,3.0,4,9,6,GRE,4.0,GARIBOTTI A,9 - 6,71,ITA,1:11,Missed,0
Action shot,4.0,4,9,6,GRE,4.0,QUEIROLO E,9 - 6,3,ITA,0:03,Post,0
Action shot,8.0,5,0,0,NED,1.0,SEVENICH V,0 - 0,439,NED,7:19,Saved,0
5m shot,5.0,5,0,0,NED,1.0,RADICCHI F,0 - 0,409,ITA,6:49,Missed,0
5m shot,11.0,5,0,0,NED,1.0,KLAASSEN L,0 - 0,382,NED,6:22,Missed,0
Extra player shot,8.0,5,0,0,NED,1.0,BIANCONI R,0 - 0,348,ITA,5:48,Blocked,0
Action shot,2.0,5,0,0,NED,1.0,SMIT M,0 - 0,322,NED,5:22,Post,0
Action shot,8.0,5,0,0,NED,1.0,BIANCONI R,0 - 0,264,ITA,4:24,Post,0
5m shot,4.0,5,0,1,NED,1.0,VAN DER SLOOT C,0 - 1,238,NED,3:58,Goal,1
5m shot,7.0,5,0,1,NED,1.0,DI MARIO T,0 - 1,217,ITA,3:37,Post,0
Counter attack,9.0,5,0,2,NED,1.0,MEGENS M,0 - 2,207,NED,3:27,Goal,1
5m shot,5.0,5,0,2,NED,1.0,RADICCHI F,0 - 2,178,ITA,2:58,Saved,0
5m shot,5.0,5,0,2,NED,1.0,RADICCHI F,0 - 2,132,ITA,2:12,Post,0
5m shot,3.0,5,0,2,NED,1.0,GARIBOTTI A,0 - 2,81,ITA,1:21,Saved,0
Action shot,3.0,5,0,2,NED,1.0,GARIBOTTI A,0 - 2,66,ITA,1:06,Saved,0
Extra player shot,9.0,5,0,2,NED,1.0,EMMOLO G,0 - 2,42,ITA,0:42,Post,0
Action shot,2.0,5,0,2,NED,1.0,SMIT M,0 - 2,5,NED,0:05,Saved,0
5m shot,8.0,5,0,2,NED,1.0,BIANCONI R,0 - 2,1,ITA,0:01,Saved,0
5m shot,7.0,5,0,2,NED,2.0,NIJHUIS M,0 - 2,453,NED,7:33,Post,0
5m shot,7.0,5,0,2,NED,2.0,NIJHUIS M,0 - 2,403,NED,6:43,Post,0
Action shot,4.0,5,0,2,NED,2.0,QUEIROLO E,0 - 2,374,ITA,6:14,Post,0
5m shot,11.0,5,0,2,NED,2.0,KLAASSEN L,0 - 2,331,NED,5:31,Blocked,0
Action shot,4.0,5,0,2,NED,2.0,QUEIROLO E,0 - 2,299,ITA,4:59,Saved,0
Action shot,8.0,5,0,2,NED,2.0,BIANCONI R,0 - 2,225,ITA,3:45,Missed,0
