Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,1,6,HUN,4.0,AOKI M,1 - 6,480,JPN,8:00
Starting goalkeeper,13.0,1,1,6,HUN,4.0,KASO O,1 - 6,480,HUN,8:00
Sprint won possession,12.0,1,1,6,HUN,4.0,SZILAGYI D,1 - 6,480,HUN,8:00
Turnover foul,12.0,1,1,6,HUN,4.0,SZILAGYI D,1 - 6,451,HUN,7:31
Steal,1.0,1,1,6,HUN,4.0,AOKI M,1 - 6,451,JPN,7:31
Action shot - Goal,6.0,1,7,17,HUN,4.0,YAMAMOTO M,7 - 17,438,JPN,7:18
20 sec. exclusion in field,10.0,1,7,17,HUN,4.0,BUJKA B,7 - 17,426,HUN,7:06
Action shot - Goal,7.0,1,8,17,HUN,4.0,INABA A,8 - 17,404,JPN,6:44
20 sec. exclusion in centre,11.0,1,8,17,HUN,4.0,TOKUMOTO M,8 - 17,374,JPN,6:14
Extra player shot - Goal,8.0,1,8,18,HUN,4.0,KESZTHELYI R,8 - 18,366,HUN,6:06
Yellow card,,1,8,18,HUN,4.0,Team Official,8 - 18,366,HUN,6:06
Turnover foul,12.0,1,8,18,HUN,4.0,SUZUKI K,8 - 18,349,JPN,5:49
Steal,8.0,1,8,18,HUN,4.0,KESZTHELYI R,8 - 18,349,HUN,5:49
Turnover foul,9.0,1,8,18,HUN,4.0,TOTH I,8 - 18,327,HUN,5:27
Steal,5.0,1,8,18,HUN,4.0,SAKANOUE C,8 - 18,327,JPN,5:27
5m shot - Saved,5.0,1,8,18,HUN,4.0,SAKANOUE C,8 - 18,302,JPN,5:02
5m shot - Goal,9.0,1,8,19,HUN,4.0,TOTH I,8 - 19,277,HUN,4:37
Action shot - Goal,2.0,1,9,19,HUN,4.0,ARIMA Y,9 - 19,257,JPN,4:17
Extra player shot - Goal,2.0,1,2,6,HUN,2.0,ARIMA Y,2 - 6,309,JPN,5:09
Centre shot - Goal,2.0,1,2,7,HUN,2.0,CZIGANY D,2 - 7,291,HUN,4:51
20 sec. exclusion in centre,3.0,1,2,7,HUN,2.0,ANTAL D,2 - 7,275,HUN,4:35
Centre shot - Blocked,7.0,1,2,7,HUN,2.0,INABA A,2 - 7,253,JPN,4:13
Centre shot - Goal,10.0,1,2,8,HUN,2.0,BUJKA B,2 - 8,239,HUN,3:59
Turnover foul,8.0,1,2,8,HUN,2.0,NIIZAWA Y,2 - 8,226,JPN,3:46
Steal,1.0,1,2,8,HUN,2.0,GANGL E,2 - 8,226,HUN,3:46
Action shot - Goal,3.0,1,2,9,HUN,2.0,ANTAL D,2 - 9,214,HUN,3:34
Turnover foul,4.0,1,2,9,HUN,2.0,MAGARIYAMA S,2 - 9,187,JPN,3:07
Steal,11.0,1,2,9,HUN,2.0,CSABAI D,2 - 9,187,HUN,3:07
Centre shot - Goal,10.0,1,2,10,HUN,2.0,BUJKA B,2 - 10,176,HUN,2:56
Turnover foul,6.0,1,2,10,HUN,2.0,YAMAMOTO M,2 - 10,160,JPN,2:40
Steal,2.0,1,2,10,HUN,2.0,CZIGANY D,2 - 10,160,HUN,2:40
Turnover foul,2.0,1,2,10,HUN,2.0,CZIGANY D,2 - 10,144,HUN,2:24
Steal,12.0,1,2,10,HUN,2.0,SUZUKI K,2 - 10,144,JPN,2:24
Centre shot - Goal,6.0,1,3,10,HUN,2.0,YAMAMOTO M,3 - 10,136,JPN,2:16
Turnover foul,8.0,1,3,10,HUN,2.0,KESZTHELYI R,3 - 10,108,HUN,1:48
Steal,1.0,1,3,10,HUN,2.0,AOKI M,3 - 10,108,JPN,1:48
Turnover foul,12.0,1,3,10,HUN,2.0,SUZUKI K,3 - 10,95,JPN,1:35
Steal,8.0,1,3,10,HUN,2.0,KESZTHELYI R,3 - 10,95,HUN,1:35
Turnover foul,4.0,1,3,10,HUN,2.0,GURISATTI G,3 - 10,79,HUN,1:19
Steal,4.0,1,3,10,HUN,2.0,MAGARIYAMA S,3 - 10,79,JPN,1:19
Turnover foul,2.0,1,3,10,HUN,2.0,ARIMA Y,3 - 10,63,JPN,1:03
