Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Extra player shot,8.0,1,0,CAN,1.0,BELL R,1,0 - 1,420,RSA,7:00,Goal,1
Penalty shot,9.0,1,1,CAN,1.0,DIGGLE D,1,1 - 1,409,CAN,6:49,Goal,1
Centre shot,3.0,1,1,CAN,1.0,CARD D,2,1 - 2,385,RSA,6:25,Goal,1
Extra player shot,8.0,1,2,CAN,1.0,GRAHAM K,2,2 - 2,332,CAN,5:32,Goal,1
Extra player shot,2.0,1,2,CAN,1.0,le ROUX E,2,2 - 2,288,RSA,4:48,Blocked,0
Centre shot,4.0,1,3,CAN,1.0,CONSTANTIN-BICARI,2,3 - 2,267,CAN,4:27,Goal,1
Action shot,13.0,1,3,CAN,1.0,STEWART D,2,3 - 2,241,RSA,4:01,Post,0
Centre shot,3.0,1,3,CAN,1.0,VIKALO O,2,3 - 2,214,CAN,3:34,Missed,0
Action shot,5.0,1,3,CAN,1.0,BOYD J,2,3 - 2,166,CAN,2:46,Post,0
Centre shot,3.0,1,4,CAN,1.0,VIKALO O,2,4 - 2,112,CAN,1:52,Goal,1
Action shot,13.0,1,4,CAN,1.0,STEWART D,2,4 - 2,91,RSA,1:31,Blocked,0
Centre shot,4.0,1,4,CAN,1.0,BADENHORST I,2,4 - 2,49,RSA,0:49,Missed,0
Centre shot,4.0,1,4,CAN,1.0,CONSTANTIN-BICARI,2,4 - 2,44,CAN,0:44,Saved,0
5m shot,9.0,1,4,CAN,1.0,DIGGLE D,2,4 - 2,2,CAN,0:02,Blocked,0
5m shot,2.0,1,4,CAN,2.0,KUDABA C,2,4 - 2,463,CAN,7:43,Post,0
5m shot,7.0,1,4,CAN,2.0,DOWNES R,2,4 - 2,430,RSA,7:10,Blocked,0
Extra player shot,9.0,1,4,CAN,2.0,DIGGLE D,2,4 - 2,384,CAN,6:24,Saved,0
Action shot,8.0,1,4,CAN,2.0,BELL R,2,4 - 2,370,RSA,6:10,Blocked,0
Action shot,10.0,1,4,CAN,2.0,le ROUX P,3,4 - 3,352,RSA,5:52,Goal,1
Extra player shot,8.0,1,4,CAN,2.0,GRAHAM K,3,4 - 3,332,CAN,5:32,Missed,0
5m shot,8.0,1,4,CAN,2.0,GRAHAM K,3,4 - 3,290,CAN,4:50,Post,0
Action shot,8.0,1,4,CAN,2.0,BELL R,4,4 - 4,231,RSA,3:51,Goal,1
Extra player shot,3.0,1,5,CAN,2.0,VIKALO O,4,5 - 4,202,CAN,3:22,Goal,1
Extra player shot,2.0,1,5,CAN,2.0,le ROUX E,4,5 - 4,168,RSA,2:48,Saved,0
Penalty shot,2.0,1,5,CAN,2.0,le ROUX E,4,5 - 4,110,RSA,1:50,Saved,0
Extra player shot,10.0,1,6,CAN,2.0,CONWAY J,4,6 - 4,73,CAN,1:13,Goal,1
Action shot,2.0,1,6,CAN,2.0,le ROUX E,5,6 - 5,49,RSA,0:49,Goal,1
Centre shot,5.0,1,15,CAN,4.0,BOYD J,10,15 - 10,227,CAN,3:47,Goal,1
Extra player shot,2.0,1,15,CAN,4.0,le ROUX E,10,15 - 10,197,RSA,3:17,Missed,0
5m shot,9.0,1,15,CAN,4.0,DIGGLE D,10,15 - 10,175,CAN,2:55,Post,0
Action shot,2.0,1,15,CAN,4.0,le ROUX E,10,15 - 10,156,RSA,2:36,Saved,0
5m shot,12.0,1,16,CAN,4.0,McELROY J,10,16 - 10,115,CAN,1:55,Goal,1
Extra player shot,3.0,1,16,CAN,2.0,VIKALO O,10,16 - 10,6,CAN,0:06,Saved,0
Centre shot,4.0,1,7,CAN,3.0,CONSTANTIN-BICARI,5,7 - 5,462,CAN,7:42,Goal,1
Action shot,8.0,1,7,CAN,3.0,BELL R,6,7 - 6,447,RSA,7:27,Goal,1
Action shot,4.0,1,8,CAN,3.0,CONSTANTIN-BICARI,6,8 - 6,426,CAN,7:06,Goal,1
Action shot,6.0,1,8,CAN,3.0,KYTE J,6,8 - 6,399,RSA,6:39,Saved,0
Extra player shot,8.0,1,8,CAN,3.0,BELL R,6,8 - 6,352,RSA,5:52,Saved,0
Extra player shot,8.0,1,9,CAN,3.0,GRAHAM K,6,9 - 6,324,CAN,5:24,Goal,1
Action shot,2.0,1,9,CAN,3.0,le ROUX E,7,9 - 7,312,RSA,5:12,Goal,1
Centre shot,4.0,1,10,CAN,3.0,CONSTANTIN-BICARI,7,10 - 7,298,CAN,4:58,Goal,1
Action shot,6.0,1,10,CAN,3.0,KYTE J,7,10 - 7,259,RSA,4:19,Saved,0
Centre shot,4.0,1,10,CAN,3.0,BADENHORST I,7,10 - 7,212,RSA,3:32,Saved,0
Extra player shot,6.0,1,10,CAN,3.0,KYTE J,8,10 - 8,162,RSA,2:42,Goal,1
5m shot,10.0,1,10,CAN,3.0,CONWAY J,8,10 - 8,140,CAN,2:20,Saved,0
Action shot,10.0,1,10,CAN,3.0,le ROUX P,8,10 - 8,114,RSA,1:54,Post,0
5m shot,9.0,1,11,CAN,3.0,DIGGLE D,8,11 - 8,95,CAN,1:35,Goal,1
Penalty shot,5.0,1,12,CAN,3.0,BOYD J,8,12 - 8,71,CAN,1:11,Goal,1
Centre shot,3.0,1,12,CAN,3.0,CARD D,9,12 - 9,56,RSA,0:56,Goal,1
Counter attack,7.0,1,13,CAN,3.0,TASCHERREAU A,9,13 - 9,7,CAN,0:07,Goal,1
5m shot,4.0,1,13,CAN,3.0,BADENHORST I,9,13 - 9,1,RSA,0:01,Saved,0
Centre shot,3.0,1,13,CAN,4.0,CARD D,10,13 - 10,462,RSA,7:42,Goal,1
Action shot,4.0,1,13,CAN,4.0,CONSTANTIN-BICARI,10,13 - 10,435,CAN,7:15,Post,0
Action shot,2.0,1,13,CAN,4.0,le ROUX E,10,13 - 10,397,RSA,6:37,Saved,0
5m shot,2.0,1,13,CAN,4.0,KUDABA C,10,13 - 10,375,CAN,6:15,Missed,0
Extra player shot,10.0,1,13,CAN,4.0,le ROUX P,10,13 - 10,340,RSA,5:40,Saved,0
Action shot,10.0,1,13,CAN,4.0,le ROUX P,10,13 - 10,314,RSA,5:14,Post,0
Penalty shot,8.0,1,14,CAN,4.0,GRAHAM K,10,14 - 10,291,CAN,4:51,Goal,1
Centre shot,3.0,1,14,CAN,4.0,CARD D,10,14 - 10,273,RSA,4:33,Saved,0
Extra player shot,13.0,1,16,CAN,4.0,STEWART D,11,16 - 11,88,RSA,1:28,Goal,1
Extra player shot,3.0,1,17,CAN,4.0,VIKALO O,11,17 - 11,62,CAN,1:02,Goal,1
Action shot,10.0,1,17,CAN,4.0,le ROUX P,11,17 - 11,38,RSA,0:38,Saved,0
5m shot,5.0,1,17,CAN,4.0,BOYD J,11,17 - 11,15,CAN,0:15,Post,0
5m shot,4.0,2,1,USA,1.0,BOWEN A,0,0 - 1,454,USA,7:34,Goal,1
5m shot,8.0,2,1,USA,1.0,BELL R,0,0 - 1,432,RSA,7:12,Post,0
5m shot,8.0,2,1,USA,1.0,AZEVEDO A,0,0 - 1,404,USA,6:44,Post,0
Centre shot,12.0,2,2,USA,1.0,MANN J,0,0 - 2,338,USA,5:38,Goal,1
Centre shot,12.0,2,3,USA,1.0,MANN J,0,0 - 3,290,USA,4:50,Goal,1
Action shot,10.0,2,3,USA,1.0,le ROUX P,0,0 - 3,237,RSA,3:57,Missed,0
Extra player shot,9.0,2,3,USA,1.0,BUCKNER S,0,0 - 3,201,USA,3:21,Blocked,0
Extra player shot,2.0,2,4,USA,1.0,WIGO J,0,0 - 4,141,USA,2:21,Goal,1
5m shot,2.0,2,4,USA,1.0,le ROUX E,0,0 - 4,36,RSA,0:36,Blocked,0
Action shot,8.0,2,4,USA,1.0,AZEVEDO A,0,0 - 4,5,USA,0:05,Blocked,0
Action shot,12.0,2,4,USA,1.0,MANN J,0,0 - 4,1,USA,0:01,Blocked,0
Counter attack,12.0,2,5,USA,2.0,MANN J,0,0 - 5,457,USA,7:37,Goal,1
5m shot,8.0,2,5,USA,2.0,BELL R,1,1 - 5,398,RSA,6:38,Goal,1
Action shot,10.0,2,6,USA,2.0,HUTTEN T,1,1 - 6,361,USA,6:01,Goal,1
Centre shot,3.0,2,6,USA,2.0,CARD D,1,1 - 6,310,RSA,5:10,Saved,0
Action shot,7.0,2,6,USA,2.0,DOWNES R,1,1 - 6,253,RSA,4:13,Saved,0
5m shot,2.0,2,6,USA,2.0,WIGO J,1,1 - 6,229,USA,3:49,Missed,0
