Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,CAN,1.0,FLATSCHER D,0,0 - 0,480,RSA,8:00
Starting goalkeeper,1.0,1,0,CAN,1.0,RANDALL R,0,0 - 0,480,CAN,8:00
Sprint won possession,8.0,1,0,CAN,1.0,GRAHAM K,0,0 - 0,480,CAN,8:00
Turnover foul,4.0,1,0,CAN,1.0,CONSTANTIN-BICARI,0,0 - 0,455,CAN,7:35
Steal,13.0,1,0,CAN,1.0,STEWART D,0,0 - 0,455,RSA,7:35
20 sec. exclusion in centre,10.0,1,0,CAN,1.0,CONWAY J,0,0 - 0,439,CAN,7:19
Extra player shot - Goal,8.0,1,0,CAN,1.0,BELL R,1,0 - 1,420,RSA,7:00
Penalty foul,8.0,1,0,CAN,1.0,BELL R,1,0 - 1,409,RSA,6:49
Penalty shot - Goal,9.0,1,1,CAN,1.0,DIGGLE D,1,1 - 1,409,CAN,6:49
Centre shot - Goal,3.0,1,1,CAN,1.0,CARD D,2,1 - 2,385,RSA,6:25
Turnover foul,4.0,1,1,CAN,1.0,CONSTANTIN-BICARI,2,1 - 2,373,CAN,6:13
Steal,8.0,1,1,CAN,1.0,BELL R,2,1 - 2,373,RSA,6:13
Turnover foul,3.0,1,1,CAN,1.0,CARD D,2,1 - 2,360,RSA,6:00
20 sec. exclusion in centre,8.0,1,1,CAN,1.0,BELL R,2,1 - 2,347,RSA,5:47
Extra player shot - Goal,8.0,1,2,CAN,1.0,GRAHAM K,2,2 - 2,332,CAN,5:32
20 sec. exclusion in field,8.0,1,2,CAN,1.0,GRAHAM K,2,2 - 2,308,CAN,5:08
Extra player shot - Blocked,2.0,1,2,CAN,1.0,le ROUX E,2,2 - 2,288,RSA,4:48
Centre shot - Goal,4.0,1,3,CAN,1.0,CONSTANTIN-BICARI,2,3 - 2,267,CAN,4:27
Action shot - Post,13.0,1,3,CAN,1.0,STEWART D,2,3 - 2,241,RSA,4:01
Centre shot - Missed,3.0,1,3,CAN,1.0,VIKALO O,2,3 - 2,214,CAN,3:34
Turnover foul,10.0,1,3,CAN,1.0,le ROUX P,2,3 - 2,192,RSA,3:12
Steal,10.0,1,3,CAN,1.0,CONWAY J,2,3 - 2,192,CAN,3:12
Action shot - Post,5.0,1,3,CAN,1.0,BOYD J,2,3 - 2,166,CAN,2:46
Turnover foul,10.0,1,3,CAN,1.0,le ROUX P,2,3 - 2,135,RSA,2:15
Steal,9.0,1,3,CAN,1.0,DIGGLE D,2,3 - 2,135,CAN,2:15
Centre shot - Goal,3.0,1,4,CAN,1.0,VIKALO O,2,4 - 2,112,CAN,1:52
Action shot - Blocked,13.0,1,4,CAN,1.0,STEWART D,2,4 - 2,91,RSA,1:31
Turnover foul,5.0,1,4,CAN,1.0,BOYD J,2,4 - 2,78,CAN,1:18
Centre shot - Missed,4.0,1,4,CAN,1.0,BADENHORST I,2,4 - 2,49,RSA,0:49
Centre shot - Saved,4.0,1,4,CAN,1.0,CONSTANTIN-BICARI,2,4 - 2,44,CAN,0:44
Turnover foul,4.0,1,4,CAN,1.0,CONSTANTIN-BICARI,2,4 - 2,40,CAN,0:40
Turnover foul,2.0,1,4,CAN,1.0,le ROUX E,2,4 - 2,21,RSA,0:21
Steal,4.0,1,4,CAN,1.0,CONSTANTIN-BICARI,2,4 - 2,21,CAN,0:21
5m shot - Blocked,9.0,1,4,CAN,1.0,DIGGLE D,2,4 - 2,2,CAN,0:02
Starting goalkeeper,1.0,1,4,CAN,2.0,FLATSCHER D,2,4 - 2,480,RSA,8:00
Starting goalkeeper,1.0,1,4,CAN,2.0,RANDALL R,2,4 - 2,480,CAN,8:00
Sprint won possession,8.0,1,4,CAN,2.0,GRAHAM K,2,4 - 2,480,CAN,8:00
5m shot - Post,2.0,1,4,CAN,2.0,KUDABA C,2,4 - 2,463,CAN,7:43
5m shot - Blocked,7.0,1,4,CAN,2.0,DOWNES R,2,4 - 2,430,RSA,7:10
20 sec. exclusion in centre,13.0,1,4,CAN,2.0,STEWART D,2,4 - 2,409,RSA,6:49
Extra player shot - Saved,9.0,1,4,CAN,2.0,DIGGLE D,2,4 - 2,384,CAN,6:24
Action shot - Blocked,8.0,1,4,CAN,2.0,BELL R,2,4 - 2,370,RSA,6:10
Action shot - Goal,10.0,1,4,CAN,2.0,le ROUX P,3,4 - 3,352,RSA,5:52
20 sec. exclusion in centre,6.0,1,4,CAN,2.0,KYTE J,3,4 - 3,335,RSA,5:35
Extra player shot - Missed,8.0,1,4,CAN,2.0,GRAHAM K,3,4 - 3,332,CAN,5:32
Turnover foul,10.0,1,4,CAN,2.0,le ROUX P,3,4 - 3,304,RSA,5:04
5m shot - Post,8.0,1,4,CAN,2.0,GRAHAM K,3,4 - 3,290,CAN,4:50
Turnover foul,3.0,1,4,CAN,2.0,CARD D,3,4 - 3,268,RSA,4:28
Steal,8.0,1,4,CAN,2.0,GRAHAM K,3,4 - 3,268,CAN,4:28
Turnover foul,10.0,1,4,CAN,2.0,CONWAY J,3,4 - 3,251,CAN,4:11
Action shot - Goal,8.0,1,4,CAN,2.0,BELL R,4,4 - 4,231,RSA,3:51
20 sec. exclusion in centre,13.0,1,4,CAN,2.0,STEWART D,4,4 - 4,214,RSA,3:34
Extra player shot - Goal,3.0,1,5,CAN,2.0,VIKALO O,4,5 - 4,202,CAN,3:22
20 sec. exclusion in centre,6.0,1,5,CAN,2.0,ROBINSON S,4,5 - 4,185,CAN,3:05
Extra player shot - Saved,2.0,1,5,CAN,2.0,le ROUX E,4,5 - 4,168,RSA,2:48
Turnover foul,6.0,1,5,CAN,2.0,ROBINSON S,4,5 - 4,141,CAN,2:21
Steal,1.0,1,5,CAN,2.0,FLATSCHER D,4,5 - 4,141,RSA,2:21
Penalty foul,5.0,1,5,CAN,2.0,BOYD J,4,5 - 4,110,CAN,1:50
Penalty shot - Saved,2.0,1,5,CAN,2.0,le ROUX E,4,5 - 4,110,RSA,1:50
20 sec. exclusion in field,2.0,1,5,CAN,2.0,le ROUX E,4,5 - 4,89,RSA,1:29
