Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
5m shot,8.0,5,4,GRE,1.0,ROUMPESI A,0,4 - 0,83,GRE,1:23,Goal,1
Centre shot,4.0,5,4,GRE,1.0,KARIMOVA E,1,4 - 1,55,RUS,0:55,Goal,1
Counter attack,7.0,5,4,GRE,1.0,LISUNOVA E,2,4 - 2,18,RUS,0:18,Goal,1
5m shot,3.0,5,4,GRE,1.0,PROKOFYEVA E,3,4 - 3,0,RUS,0:00,Goal,1
Action shot,7.0,5,4,GRE,2.0,LISUNOVA E,4,4 - 4,458,RUS,7:38,Goal,1
Action shot,7.0,5,4,GRE,2.0,LISUNOVA E,5,4 - 5,388,RUS,6:28,Goal,1
5m shot,10.0,5,4,GRE,2.0,MANOLIOUDAKI T,5,4 - 5,361,GRE,6:01,Saved,0
Extra player shot,9.0,5,4,GRE,2.0,TIMOFEEVA A,6,4 - 6,336,RUS,5:36,Goal,1
Extra player shot,2.0,5,4,GRE,2.0,TSOUKALA C,6,4 - 6,303,GRE,5:03,Post,0
5m shot,3.0,5,4,GRE,2.0,PROKOFYEVA E,6,4 - 6,279,RUS,4:39,Blocked,0
5m shot,8.0,5,4,GRE,2.0,ROUMPESI A,6,4 - 6,217,GRE,3:37,Missed,0
5m shot,3.0,5,4,GRE,2.0,PROKOFYEVA E,6,4 - 6,191,RUS,3:11,Missed,0
Action shot,8.0,5,5,GRE,2.0,ROUMPESI A,6,5 - 6,154,GRE,2:34,Goal,1
5m shot,7.0,5,5,GRE,2.0,LISUNOVA E,6,5 - 6,94,RUS,1:34,Saved,0
5m shot,4.0,5,5,GRE,2.0,KOTSIA C,6,5 - 6,71,GRE,1:11,Blocked,0
Counter attack,11.0,5,5,GRE,2.0,IVANOVA E,7,5 - 7,54,RUS,0:54,Goal,1
Action shot,4.0,5,5,GRE,2.0,KOTSIA C,7,5 - 7,34,GRE,0:34,Saved,0
Extra player shot,8.0,5,14,GRE,2.0,ABDRIZIAKOVA E,15,14 - 15,15,RUS,0:15,Saved,0
5m shot,2.0,5,14,GRE,2.0,TSOUKALA C,15,14 - 15,4,GRE,0:04,Saved,0
5m shot,5.0,5,14,GRE,2.0,PLEVRITOU M,15,14 - 15,0,GRE,0:00,Blocked,0
Action shot,3.0,5,6,GRE,3.0,CHARALAMPIDI S,7,6 - 7,457,GRE,7:37,Goal,1
Action shot,11.0,5,6,GRE,3.0,IVANOVA E,7,6 - 7,431,RUS,7:11,Missed,0
Centre shot,7.0,5,6,GRE,3.0,ASIMAKI A,7,6 - 7,417,GRE,6:57,Missed,0
5m shot,2.0,5,6,GRE,3.0,TSOUKALA C,7,6 - 7,371,GRE,6:11,Blocked,0
5m shot,2.0,5,7,GRE,3.0,TSOUKALA C,7,7 - 7,346,GRE,5:46,Goal,1
5m shot,7.0,5,7,GRE,3.0,LISUNOVA E,7,7 - 7,320,RUS,5:20,Saved,0
5m shot,4.0,5,7,GRE,3.0,KOTSIA C,7,7 - 7,292,GRE,4:52,Saved,0
Centre shot,4.0,5,7,GRE,3.0,KARIMOVA E,7,7 - 7,279,RUS,4:39,Blocked,0
Extra player shot,11.0,5,7,GRE,3.0,IVANOVA E,8,7 - 8,171,RUS,2:51,Goal,1
5m shot,8.0,5,7,GRE,3.0,ROUMPESI A,8,7 - 8,143,GRE,2:23,Post,0
Centre shot,10.0,5,7,GRE,3.0,TANKEEVA E,8,7 - 8,124,RUS,2:04,Saved,0
Action shot,5.0,5,7,GRE,3.0,PLEVRITOU M,8,7 - 8,101,GRE,1:41,Post,0
Counter attack,11.0,5,7,GRE,3.0,IVANOVA E,9,7 - 9,88,RUS,1:28,Goal,1
5m shot,5.0,5,8,GRE,3.0,PLEVRITOU M,9,8 - 9,60,GRE,1:00,Goal,1
5m shot,2.0,5,8,GRE,3.0,TSOUKALA C,9,8 - 9,17,GRE,0:17,Saved,0
Action shot,8.0,5,8,GRE,4.0,ABDRIZIAKOVA E,10,8 - 10,459,RUS,7:39,Goal,1
Extra player shot,6.0,5,8,GRE,4.0,AVRAMIDOU A,10,8 - 10,430,GRE,7:10,Saved,0
5m shot,2.0,5,8,GRE,4.0,TSOUKALA C,10,8 - 10,410,GRE,6:50,Post,0
5m shot,3.0,5,8,GRE,4.0,PROKOFYEVA E,11,8 - 11,380,RUS,6:20,Goal,1
Action shot,3.0,5,8,GRE,4.0,CHARALAMPIDI S,11,8 - 11,352,GRE,5:52,Post,0
Action shot,7.0,5,8,GRE,4.0,LISUNOVA E,11,8 - 11,322,RUS,5:22,Saved,0
Extra player shot,11.0,5,8,GRE,4.0,IVANOVA E,12,8 - 12,287,RUS,4:47,Goal,1
5m shot,10.0,5,9,GRE,4.0,MANOLIOUDAKI T,12,9 - 12,265,GRE,4:25,Goal,1
Extra player shot,2.0,5,9,GRE,4.0,TSOUKALA C,12,9 - 12,214,GRE,3:34,Post,0
Action shot,7.0,5,9,GRE,4.0,LISUNOVA E,12,9 - 12,196,RUS,3:16,Saved,0
Action shot,8.0,5,10,GRE,4.0,ROUMPESI A,12,10 - 12,180,GRE,3:00,Goal,1
Action shot,11.0,5,10,GRE,4.0,IVANOVA E,12,10 - 12,155,RUS,2:35,Saved,0
Centre shot,12.0,5,11,GRE,4.0,XENAKI E,12,11 - 12,139,GRE,2:19,Goal,1
Action shot,3.0,5,11,GRE,4.0,PROKOFYEVA E,12,11 - 12,111,RUS,1:51,Saved,0
Extra player shot,3.0,5,11,GRE,4.0,CHARALAMPIDI S,12,11 - 12,69,GRE,1:09,Post,0
5m shot,11.0,5,11,GRE,4.0,IVANOVA E,12,11 - 12,45,RUS,0:45,Post,0
Extra player shot,6.0,5,12,GRE,4.0,AVRAMIDOU A,12,12 - 12,1,GRE,0:01,Goal,1
5m shot,3.0,5,12,GRE,4.0,PROKOFYEVA E,12,12 - 12,0,RUS,0:00,Saved,0
Action shot,7.0,6,0,ESP,1.0,LISUNOVA E,0,0 - 0,452,RUS,7:32,Post,0
Action shot,11.0,6,0,ESP,1.0,GARCIA M,0,0 - 0,437,ESP,7:17,Post,0
Counter attack,5.0,6,1,ESP,1.0,ORTIZ M,0,1 - 0,399,ESP,6:39,Goal,1
5m shot,11.0,6,1,ESP,1.0,IVANOVA E,0,1 - 0,374,RUS,6:14,Saved,0
Extra player shot,6.0,6,2,ESP,1.0,PAREJA J,0,2 - 0,333,ESP,5:33,Goal,1
Extra player shot,7.0,6,2,ESP,1.0,LISUNOVA E,1,2 - 1,303,RUS,5:03,Goal,1
Action shot,12.0,6,2,ESP,1.0,LOPEZ L,1,2 - 1,277,ESP,4:37,Post,0
Centre shot,8.0,6,2,ESP,1.0,ABDRIZIAKOVA E,2,2 - 2,240,RUS,4:00,Goal,1
5m shot,9.0,6,3,ESP,1.0,FORCA J,2,3 - 2,214,ESP,3:34,Goal,1
Extra player shot,6.0,6,3,ESP,1.0,SIMANOVICH A,3,3 - 3,180,RUS,3:00,Goal,1
Action shot,10.0,6,4,ESP,1.0,TARRAGO R,3,4 - 3,160,ESP,2:40,Goal,1
5m shot,11.0,6,4,ESP,1.0,IVANOVA E,3,4 - 3,135,RUS,2:15,Blocked,0
Action shot,3.0,6,5,ESP,1.0,ESPAR A,3,5 - 3,119,ESP,1:59,Goal,1
5m shot,7.0,6,5,ESP,1.0,LISUNOVA E,3,5 - 3,56,RUS,0:56,Post,0
5m shot,6.0,6,5,ESP,1.0,PAREJA J,3,5 - 3,34,ESP,0:34,Missed,0
Action shot,7.0,6,5,ESP,1.0,LISUNOVA E,3,5 - 3,12,RUS,0:12,Post,0
Extra player shot,12.0,6,5,ESP,1.0,LOPEZ L,3,5 - 3,1,ESP,0:01,Post,0
Action shot,4.0,6,5,ESP,2.0,KARIMOVA E,3,5 - 3,456,RUS,7:36,Saved,0
Action shot,6.0,6,5,ESP,2.0,PAREJA J,3,5 - 3,366,ESP,6:06,Saved,0
5m shot,3.0,6,5,ESP,2.0,PROKOFYEVA E,3,5 - 3,337,RUS,5:37,Saved,0
Counter attack,9.0,6,6,ESP,2.0,FORCA J,3,6 - 3,324,ESP,5:24,Goal,1
Penalty shot,11.0,6,6,ESP,2.0,IVANOVA E,4,6 - 4,311,RUS,5:11,Goal,1
Action shot,6.0,6,6,ESP,2.0,PAREJA J,4,6 - 4,294,ESP,4:54,Saved,0
Action shot,9.0,6,6,ESP,2.0,TIMOFEEVA A,4,6 - 4,269,RUS,4:29,Saved,0
Action shot,12.0,6,7,ESP,2.0,LOPEZ L,4,7 - 4,253,ESP,4:13,Goal,1
Extra player shot,11.0,6,7,ESP,2.0,IVANOVA E,5,7 - 5,234,RUS,3:54,Goal,1
Action shot,11.0,6,7,ESP,2.0,GARCIA M,5,7 - 5,215,ESP,3:35,Saved,0
Action shot,4.0,6,7,ESP,2.0,KARIMOVA E,6,7 - 6,197,RUS,3:17,Goal,1
5m shot,2.0,6,7,ESP,2.0,BACH M,6,7 - 6,174,ESP,2:54,Saved,0
Action shot,11.0,6,7,ESP,2.0,IVANOVA E,7,7 - 7,129,RUS,2:09,Goal,1
Penalty shot,10.0,6,8,ESP,2.0,TARRAGO R,7,8 - 7,116,ESP,1:56,Goal,1
Action shot,5.0,6,8,ESP,2.0,ZUBACHEVA E,7,8 - 7,93,RUS,1:33,Saved,0
5m shot,10.0,6,8,ESP,2.0,TARRAGO R,7,8 - 7,70,ESP,1:10,Saved,0
5m shot,3.0,6,8,ESP,4.0,PROKOFYEVA E,7,8 - 7,134,RUS,2:14,Blocked,0
Extra player shot,7.0,6,14,ESP,4.0,LISUNOVA E,10,14 - 10,111,RUS,1:51,Goal,1
5m shot,3.0,6,14,ESP,2.0,PROKOFYEVA E,10,14 - 10,0,RUS,0:00,Missed,0
Centre shot,11.0,6,14,ESP,3.0,GARCIA M,10,14 - 10,451,ESP,7:31,Saved,0
Action shot,12.0,6,9,ESP,3.0,LOPEZ L,7,9 - 7,368,ESP,6:08,Goal,1
Extra player shot,4.0,6,9,ESP,3.0,KARIMOVA E,7,9 - 7,275,RUS,4:35,Post,0
Counter attack,8.0,6,10,ESP,3.0,PENA P,7,10 - 7,258,ESP,4:18,Goal,1
Extra player shot,6.0,6,10,ESP,3.0,SIMANOVICH A,8,10 - 8,227,RUS,3:47,Goal,1
Extra player shot,10.0,6,11,ESP,3.0,TARRAGO R,8,11 - 8,161,ESP,2:41,Goal,1
5m shot,11.0,6,11,ESP,3.0,IVANOVA E,8,11 - 8,40,RUS,0:40,Missed,0
Action shot,12.0,6,12,ESP,3.0,LOPEZ L,8,12 - 8,14,ESP,0:14,Goal,1
Penalty shot,3.0,6,12,ESP,4.0,PROKOFYEVA E,9,12 - 9,458,RUS,7:38,Goal,1
Centre shot,11.0,6,13,ESP,4.0,GARCIA M,9,13 - 9,439,ESP,7:19,Goal,1
Action shot,8.0,6,13,ESP,4.0,ABDRIZIAKOVA E,9,13 - 9,414,RUS,6:54,Blocked,0
Extra player shot,3.0,6,13,ESP,4.0,ESPAR A,9,13 - 9,375,ESP,6:15,Saved,0
Extra player shot,7.0,6,13,ESP,4.0,LISUNOVA E,9,13 - 9,285,RUS,4:45,Saved,0
Counter attack,6.0,6,14,ESP,4.0,PAREJA J,9,14 - 9,270,ESP,4:30,Goal,1
Extra player shot,7.0,6,14,ESP,4.0,LISUNOVA E,9,14 - 9,239,RUS,3:59,Saved,0
Extra player shot,11.0,6,14,ESP,4.0,IVANOVA E,9,14 - 9,171,RUS,2:51,Blocked,0
Action shot,9.0,6,14,ESP,4.0,FORCA J,9,14 - 9,67,ESP,1:07,Saved,0
Counter attack,10.0,6,15,ESP,4.0,TARRAGO R,10,15 - 10,34,ESP,0:34,Goal,1
Extra player shot,8.0,6,15,ESP,4.0,ABDRIZIAKOVA E,10,15 - 10,11,RUS,0:11,Missed,0
