Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,10.0,1,0,0,KAZ,1.0,VARGA D,0 - 0,453,HUN,7:33,Post,0
Action shot,2.0,1,0,0,KAZ,1.0,GOR-NAGY M,0 - 0,441,HUN,7:21,Saved,0
Extra player shot,12.0,1,1,0,KAZ,1.0,HARAI B,1 - 0,377,HUN,6:17,Goal,1
Extra player shot,3.0,1,1,0,KAZ,1.0,AXENOV A,1 - 0,337,KAZ,5:37,Blocked,0
5m shot,10.0,1,2,0,KAZ,1.0,VARGA D,2 - 0,312,HUN,5:12,Goal,1
Extra player shot,3.0,1,2,0,KAZ,1.0,AXENOV A,2 - 0,246,KAZ,4:06,Saved,0
5m shot,2.0,1,2,0,KAZ,1.0,GUBAREV S,2 - 0,219,KAZ,3:39,Blocked,0
Action shot,7.0,1,3,0,KAZ,1.0,ANGYAL D,3 - 0,196,HUN,3:16,Goal,1
Action shot,6.0,1,3,0,KAZ,1.0,SHMIDER A,3 - 0,174,KAZ,2:54,Missed,0
Extra player shot,11.0,1,4,0,KAZ,1.0,BEDO K,4 - 0,127,HUN,2:07,Goal,1
Action shot,5.0,1,4,0,KAZ,1.0,USHAKOV V,4 - 0,75,KAZ,1:15,Post,0
Action shot,2.0,1,4,0,KAZ,1.0,GOR-NAGY M,4 - 0,46,HUN,0:46,Saved,0
5m shot,3.0,1,4,0,KAZ,1.0,AXENOV A,4 - 0,9,KAZ,0:09,Missed,0
5m shot,5.0,1,4,0,KAZ,1.0,VAMOS M,4 - 0,4,HUN,0:04,Post,0
Extra player shot,4.0,1,4,0,KAZ,2.0,ERDELYI B,4 - 0,434,HUN,7:14,Saved,0
5m shot,9.0,1,4,0,KAZ,2.0,UKUMANOV R,4 - 0,382,KAZ,6:22,Saved,0
Action shot,10.0,1,5,0,KAZ,2.0,VARGA D,5 - 0,365,HUN,6:05,Goal,1
Action shot,3.0,1,5,0,KAZ,2.0,AXENOV A,5 - 0,327,KAZ,5:27,Post,0
5m shot,9.0,1,5,0,KAZ,2.0,UKUMANOV R,5 - 0,288,KAZ,4:48,Missed,0
Extra player shot,11.0,1,6,0,KAZ,2.0,BEDO K,6 - 0,249,HUN,4:09,Goal,1
Action shot,9.0,1,6,0,KAZ,2.0,UKUMANOV R,6 - 0,190,KAZ,3:10,Blocked,0
5m shot,4.0,1,6,0,KAZ,2.0,ERDELYI B,6 - 0,177,HUN,2:57,Saved,0
Counter attack,2.0,1,6,0,KAZ,2.0,GUBAREV S,6 - 0,161,KAZ,2:41,Saved,0
5m shot,7.0,1,6,0,KAZ,2.0,ANGYAL D,6 - 0,147,HUN,2:27,Saved,0
Action shot,5.0,1,6,0,KAZ,2.0,USHAKOV V,6 - 0,90,KAZ,1:30,Saved,0
Extra player shot,8.0,1,7,0,KAZ,2.0,SZIVOS M,7 - 0,56,HUN,0:56,Goal,1
Extra player shot,5.0,1,7,0,KAZ,2.0,USHAKOV V,7 - 0,11,KAZ,0:11,Saved,0
Extra player shot,12.0,1,8,0,KAZ,3.0,HARAI B,8 - 0,442,HUN,7:22,Goal,1
Centre shot,12.0,1,8,0,KAZ,3.0,PEKOVICH B,8 - 0,419,KAZ,6:59,Saved,0
Centre shot,12.0,1,9,0,KAZ,3.0,HARAI B,9 - 0,405,HUN,6:45,Goal,1
Extra player shot,9.0,1,9,0,KAZ,3.0,VARGA D,9 - 0,348,HUN,5:48,Post,0
Extra player shot,3.0,1,9,0,KAZ,3.0,MADARAS N,9 - 0,335,HUN,5:35,Post,0
Action shot,6.0,1,10,0,KAZ,3.0,HOSNYANSZKY N,10 - 0,326,HUN,5:26,Goal,1
Extra player shot,3.0,1,10,0,KAZ,3.0,AXENOV A,10 - 0,297,KAZ,4:57,Blocked,0
Action shot,5.0,1,10,0,KAZ,3.0,USHAKOV V,10 - 0,260,KAZ,4:20,Saved,0
Action shot,9.0,1,11,0,KAZ,3.0,VARGA D,11 - 0,240,HUN,4:00,Goal,1
5m shot,9.0,1,11,0,KAZ,3.0,UKUMANOV R,11 - 0,216,KAZ,3:36,Saved,0
Action shot,4.0,1,11,0,KAZ,3.0,ERDELYI B,11 - 0,196,HUN,3:16,Saved,0
Penalty shot,9.0,1,11,1,KAZ,3.0,UKUMANOV R,11 - 1,178,KAZ,2:58,Goal,1
Action shot,11.0,1,11,1,KAZ,3.0,BEDO K,11 - 1,156,HUN,2:36,Saved,0
Extra player shot,10.0,1,11,1,KAZ,3.0,VARGA D,11 - 1,119,HUN,1:59,Post,0
Action shot,5.0,1,11,2,KAZ,3.0,USHAKOV V,11 - 2,106,KAZ,1:46,Goal,1
5m shot,6.0,1,12,2,KAZ,3.0,HOSNYANSZKY N,12 - 2,78,HUN,1:18,Goal,1
Extra player shot,9.0,1,12,2,KAZ,3.0,UKUMANOV R,12 - 2,2,KAZ,0:02,Saved,0
Action shot,8.0,1,12,2,KAZ,4.0,SZIVOS M,12 - 2,454,HUN,7:34,Saved,0
5m shot,5.0,1,12,2,KAZ,4.0,USHAKOV V,12 - 2,435,KAZ,7:15,Saved,0
5m shot,9.0,1,12,2,KAZ,4.0,VARGA D,12 - 2,400,HUN,6:40,Post,0
Extra player shot,2.0,1,12,3,KAZ,4.0,GUBAREV S,12 - 3,362,KAZ,6:02,Goal,1
