Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,4.0,6,6,9,MNE,4.0,CUCKOVIC U,9 - 6,195,MNE,3:15
20 sec. exclusion in centre,4.0,6,6,9,MNE,4.0,CUCKOVIC U,9 - 6,195,MNE,3:15
Extra player shot - Goal,4.0,6,7,9,MNE,4.0,ERDELYI B,9 - 7,179,HUN,2:59
20 sec. exclusion in centre,9.0,6,7,9,MNE,4.0,VARGA D,9 - 7,156,HUN,2:36
Extra player shot - Goal,5.0,6,7,10,MNE,4.0,BRGULJAN D,10 - 7,139,MNE,2:19
Action shot - Post,10.0,6,7,10,MNE,4.0,VARGA D,10 - 7,108,HUN,1:48
5m shot - Post,5.0,6,7,10,MNE,4.0,VAMOS M,10 - 7,82,HUN,1:22
20 sec. exclusion in centre,12.0,6,7,10,MNE,4.0,JOKIC P,10 - 7,71,MNE,1:11
Extra player shot - Goal,4.0,6,8,10,MNE,4.0,ERDELYI B,10 - 8,61,HUN,1:01
20 sec. exclusion in field,9.0,6,8,10,MNE,4.0,VARGA D,10 - 8,5,HUN,0:05
Exclusion with substitution,9.0,6,8,10,MNE,4.0,VARGA D,10 - 8,5,HUN,0:05
