Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,1,1,0,RSA,1.0,KLAASSEN L,0 - 1,454,NED,7:34,Goal,1
Action shot,11.0,1,1,0,RSA,1.0,KLAASSEN L,0 - 1,411,NED,6:51,Saved,0
Action shot,7.0,1,1,0,RSA,1.0,NIJHUIS M,0 - 1,385,NED,6:25,Post,0
Centre shot,4.0,1,1,1,RSA,1.0,VERSFELD R,1 - 1,360,RSA,6:00,Goal,1
Extra player shot,4.0,1,2,1,RSA,1.0,VAN DER SLOOT C,1 - 2,336,NED,5:36,Goal,1
Action shot,11.0,1,3,1,RSA,1.0,KLAASSEN L,1 - 3,292,NED,4:52,Goal,1
Centre shot,12.0,1,4,1,RSA,1.0,VAN DER MOLEN L,1 - 4,251,NED,4:11,Goal,1
Action shot,4.0,1,5,1,RSA,1.0,VAN DER SLOOT C,1 - 5,171,NED,2:51,Goal,1
Counter attack,8.0,1,6,1,RSA,1.0,SEVENICH V,1 - 6,69,NED,1:09,Goal,1
Action shot,3.0,1,6,1,RSA,1.0,GENEE D,1 - 6,24,NED,0:24,Saved,0
Centre shot,9.0,1,6,1,RSA,2.0,MEGENS M,1 - 6,463,NED,7:43,Missed,0
Centre shot,10.0,1,6,1,RSA,2.0,VAN TOORN I,1 - 6,416,NED,6:56,Saved,0
Action shot,7.0,1,7,1,RSA,2.0,NIJHUIS M,1 - 7,384,NED,6:24,Goal,1
5m shot,10.0,1,7,1,RSA,2.0,KILLEEN L,1 - 7,356,RSA,5:56,Saved,0
Extra player shot,4.0,1,8,1,RSA,2.0,VAN DER SLOOT C,1 - 8,343,NED,5:43,Goal,1
Centre shot,11.0,1,8,1,RSA,2.0,KLAASSEN L,1 - 8,263,NED,4:23,Missed,0
Action shot,7.0,1,8,1,RSA,2.0,NIJHUIS M,1 - 8,228,NED,3:48,Saved,0
Action shot,11.0,1,9,1,RSA,2.0,KLAASSEN L,1 - 9,195,NED,3:15,Goal,1
Extra player shot,4.0,1,10,1,RSA,2.0,VAN DER SLOOT C,1 - 10,117,NED,1:57,Goal,1
Action shot,4.0,1,10,1,RSA,2.0,VAN DER SLOOT C,1 - 10,70,NED,1:10,Post,0
Action shot,2.0,1,11,1,RSA,2.0,SMIT M,1 - 11,20,NED,0:20,Goal,1
Action shot,5.0,1,11,1,RSA,3.0,GENEE A,1 - 11,448,NED,7:28,Saved,0
Action shot,11.0,1,11,1,RSA,3.0,KLAASSEN L,1 - 11,414,NED,6:54,Saved,0
Action shot,11.0,1,11,1,RSA,3.0,KLAASSEN L,1 - 11,372,NED,6:12,Post,0
Centre shot,12.0,1,11,1,RSA,3.0,VAN DER MOLEN L,1 - 11,348,NED,5:48,Post,0
Centre shot,5.0,1,12,1,RSA,3.0,GENEE A,1 - 12,345,NED,5:45,Goal,1
Extra player shot,7.0,1,12,1,RSA,3.0,NIJHUIS M,1 - 12,318,NED,5:18,Saved,0
Action shot,9.0,1,12,1,RSA,3.0,MEGENS M,1 - 12,289,NED,4:49,Saved,0
Centre shot,12.0,1,12,1,RSA,3.0,WHITE K,1 - 12,259,RSA,4:19,Saved,0
Centre shot,9.0,1,13,1,RSA,3.0,MEGENS M,1 - 13,233,NED,3:53,Goal,1
Extra player shot,5.0,1,13,1,RSA,3.0,GENEE A,1 - 13,199,NED,3:19,Post,0
Centre shot,5.0,1,13,1,RSA,3.0,GENEE A,1 - 13,179,NED,2:59,Saved,0
Centre shot,7.0,1,13,1,RSA,3.0,KAY K,1 - 13,155,RSA,2:35,Saved,0
5m shot,11.0,1,14,1,RSA,3.0,KLAASSEN L,1 - 14,76,NED,1:16,Goal,1
Action shot,9.0,1,14,1,RSA,4.0,MEGENS M,1 - 14,446,NED,7:26,Post,0
Extra player shot,11.0,1,15,1,RSA,4.0,KLAASSEN L,1 - 15,396,NED,6:36,Goal,1
Centre shot,2.0,1,16,1,RSA,4.0,SMIT M,1 - 16,366,NED,6:06,Goal,1
Extra player shot,12.0,1,17,1,RSA,4.0,VAN DER MOLEN L,1 - 17,327,NED,5:27,Goal,1
Centre shot,12.0,1,17,1,RSA,4.0,VAN DER MOLEN L,1 - 17,293,NED,4:53,Post,0
Action shot,8.0,1,18,1,RSA,4.0,SEVENICH V,1 - 18,249,NED,4:09,Goal,1
Extra player shot,6.0,1,18,1,RSA,4.0,HALLENDORFF A,1 - 18,186,RSA,3:06,Blocked,0
Action shot,7.0,1,18,1,RSA,4.0,KAY K,1 - 18,152,RSA,2:32,Missed,0
Action shot,2.0,1,19,1,RSA,4.0,SMIT M,1 - 19,142,NED,2:22,Goal,1
5m shot,11.0,1,20,1,RSA,4.0,KLAASSEN L,1 - 20,73,NED,1:13,Goal,1
5m shot,7.0,1,21,1,RSA,4.0,NIJHUIS M,1 - 21,33,NED,0:33,Goal,1
5m shot,10.0,1,22,1,RSA,4.0,VAN TOORN I,1 - 22,2,NED,0:02,Goal,1
Centre shot,7.0,2,0,0,GRE,1.0,ASIMAKI A,0 - 0,431,GRE,7:11,Saved,0
5m shot,2.0,2,0,0,GRE,1.0,SMIT M,0 - 0,403,NED,6:43,Post,0
Action shot,11.0,2,0,0,GRE,1.0,PLEVRITOU E,0 - 0,367,GRE,6:07,Missed,0
Action shot,9.0,2,0,0,GRE,1.0,MEGENS M,0 - 0,355,NED,5:55,Post,0
Action shot,8.0,2,0,0,GRE,1.0,ROUMPESI A,0 - 0,334,GRE,5:34,Post,0
Centre shot,10.0,2,0,1,GRE,1.0,MANOLIOUDAKI T,0 - 1,333,GRE,5:33,Goal,1
5m shot,11.0,2,0,1,GRE,1.0,KLAASSEN L,0 - 1,308,NED,5:08,Missed,0
Action shot,7.0,2,0,1,GRE,1.0,NIJHUIS M,0 - 1,297,NED,4:57,Blocked,0
Counter attack,9.0,2,0,1,GRE,1.0,MEGENS M,0 - 1,254,NED,4:14,Saved,0
5m shot,11.0,2,1,1,GRE,1.0,KLAASSEN L,1 - 1,236,NED,3:56,Goal,1
Action shot,8.0,2,1,2,GRE,1.0,ROUMPESI A,1 - 2,196,GRE,3:16,Goal,1
5m shot,9.0,2,1,2,GRE,1.0,MEGENS M,1 - 2,149,NED,2:29,Saved,0
Action shot,9.0,2,1,2,GRE,1.0,MEGENS M,1 - 2,143,NED,2:23,Saved,0
5m shot,11.0,2,1,2,GRE,1.0,PLEVRITOU E,1 - 2,120,GRE,2:00,Post,0
5m shot,2.0,2,1,2,GRE,1.0,SMIT M,1 - 2,89,NED,1:29,Blocked,0
Extra player shot,3.0,2,1,3,GRE,1.0,CHARALAMPIDI S,1 - 3,46,GRE,0:46,Goal,1
Extra player shot,4.0,2,2,3,GRE,1.0,VAN DER SLOOT C,2 - 3,1,NED,0:01,Goal,1
5m shot,4.0,2,2,3,GRE,2.0,VAN DER SLOOT C,2 - 3,436,NED,7:16,Post,0
5m shot,9.0,2,2,3,GRE,2.0,MEGENS M,2 - 3,381,NED,6:21,Post,0
5m shot,2.0,2,2,3,GRE,2.0,TSOUKALA C,2 - 3,358,GRE,5:58,Blocked,0
Action shot,8.0,2,2,3,GRE,2.0,SEVENICH V,2 - 3,336,NED,5:36,Saved,0
Action shot,8.0,2,2,3,GRE,2.0,ROUMPESI A,2 - 3,314,GRE,5:14,Saved,0
5m shot,9.0,2,2,3,GRE,2.0,MEGENS M,2 - 3,288,NED,4:48,Saved,0
5m shot,11.0,2,2,3,GRE,2.0,KLAASSEN L,2 - 3,264,NED,4:24,Post,0
Action shot,10.0,2,2,3,GRE,2.0,MANOLIOUDAKI T,2 - 3,244,GRE,4:04,Post,0
Action shot,8.0,2,2,3,GRE,2.0,ROUMPESI A,2 - 3,174,GRE,2:54,Post,0
Extra player shot,11.0,2,2,3,GRE,2.0,KLAASSEN L,2 - 3,147,NED,2:27,Saved,0
Action shot,10.0,2,2,3,GRE,2.0,MANOLIOUDAKI T,2 - 3,120,GRE,2:00,Post,0
Action shot,2.0,2,3,3,GRE,2.0,SMIT M,3 - 3,104,NED,1:44,Goal,1
Extra player shot,2.0,2,3,4,GRE,2.0,TSOUKALA C,3 - 4,81,GRE,1:21,Goal,1
Action shot,5.0,2,3,4,GRE,2.0,GENEE A,3 - 4,51,NED,0:51,Saved,0
5m shot,4.0,2,3,5,GRE,2.0,KOTSIA C,3 - 5,25,GRE,0:25,Goal,1
5m shot,7.0,2,4,5,GRE,2.0,NIJHUIS M,4 - 5,2,NED,0:02,Goal,1
5m shot,11.0,2,4,5,GRE,2.0,PLEVRITOU E,4 - 5,1,GRE,0:01,Missed,0
Action shot,11.0,2,4,5,GRE,3.0,PLEVRITOU E,4 - 5,432,GRE,7:12,Post,0
Action shot,2.0,2,5,5,GRE,3.0,SMIT M,5 - 5,414,NED,6:54,Goal,1
Extra player shot,5.0,2,5,6,GRE,3.0,PLEVRITOU M,5 - 6,378,GRE,6:18,Goal,1
5m shot,6.0,2,6,6,GRE,3.0,STOMPHORST N,6 - 6,352,NED,5:52,Goal,1
Action shot,5.0,2,6,7,GRE,3.0,PLEVRITOU M,6 - 7,329,GRE,5:29,Goal,1
Centre shot,4.0,2,6,7,GRE,3.0,VAN DER SLOOT C,6 - 7,303,NED,5:03,Saved,0
5m shot,8.0,2,6,7,GRE,3.0,ROUMPESI A,6 - 7,270,GRE,4:30,Blocked,0
Action shot,9.0,2,6,7,GRE,3.0,MEGENS M,6 - 7,253,NED,4:13,Saved,0
5m shot,2.0,2,6,7,GRE,3.0,TSOUKALA C,6 - 7,225,GRE,3:45,Missed,0
Action shot,2.0,2,7,7,GRE,3.0,SMIT M,7 - 7,191,NED,3:11,Goal,1
5m shot,10.0,2,7,7,GRE,3.0,MANOLIOUDAKI T,7 - 7,161,GRE,2:41,Missed,0
Action shot,4.0,2,8,7,GRE,3.0,VAN DER SLOOT C,8 - 7,136,NED,2:16,Goal,1
5m shot,8.0,2,8,7,GRE,3.0,ROUMPESI A,8 - 7,87,GRE,1:27,Missed,0
Penalty shot,4.0,2,9,7,GRE,3.0,VAN DER SLOOT C,9 - 7,67,NED,1:07,Goal,1
5m shot,4.0,2,9,7,GRE,3.0,VAN DER SLOOT C,9 - 7,0,NED,0:00,Missed,0
5m shot,7.0,2,9,7,GRE,4.0,NIJHUIS M,9 - 7,451,NED,7:31,Saved,0
Action shot,8.0,2,9,8,GRE,4.0,ROUMPESI A,9 - 8,430,GRE,7:10,Goal,1
Action shot,4.0,2,10,8,GRE,4.0,VAN DER SLOOT C,10 - 8,410,NED,6:50,Goal,1
Centre shot,7.0,2,10,8,GRE,4.0,ASIMAKI A,10 - 8,383,GRE,6:23,Saved,0
5m shot,2.0,2,10,8,GRE,4.0,SMIT M,10 - 8,366,NED,6:06,Saved,0
Extra player shot,3.0,2,10,8,GRE,4.0,CHARALAMPIDI S,10 - 8,332,GRE,5:32,Saved,0
Action shot,7.0,2,10,8,GRE,4.0,ASIMAKI A,10 - 8,282,GRE,4:42,Saved,0
Action shot,4.0,2,10,8,GRE,4.0,VAN DER SLOOT C,10 - 8,259,NED,4:19,Saved,0
Counter attack,11.0,2,10,9,GRE,4.0,PLEVRITOU E,10 - 9,244,GRE,4:04,Goal,1
5m shot,2.0,2,10,9,GRE,4.0,SMIT M,10 - 9,217,NED,3:37,Missed,0
5m shot,11.0,2,10,9,GRE,4.0,KLAASSEN L,10 - 9,174,NED,2:54,Saved,0
Penalty shot,2.0,2,10,9,GRE,4.0,TSOUKALA C,10 - 9,156,GRE,2:36,Saved,0
Action shot,6.0,2,10,9,GRE,4.0,STOMPHORST N,10 - 9,33,NED,0:33,Saved,0
5m shot,6.0,2,10,9,GRE,4.0,STOMPHORST N,10 - 9,0,NED,0:00,Missed,0
5m shot,11.0,3,0,0,AUS,1.0,KLAASSEN L,0 - 0,451,NED,7:31,Saved,0
Action shot,8.0,3,0,0,AUS,1.0,MCGHIE G,0 - 0,422,AUS,7:02,Saved,0
Counter attack,6.0,3,0,1,AUS,1.0,KNOX B,1 - 0,386,AUS,6:26,Goal,1
Extra player shot,11.0,3,0,1,AUS,1.0,KLAASSEN L,1 - 0,288,NED,4:48,Blocked,0
Action shot,7.0,3,0,1,AUS,1.0,NIJHUIS M,1 - 0,170,NED,2:50,Blocked,0
Action shot,8.0,3,0,1,AUS,1.0,SEVENICH V,1 - 0,35,NED,0:35,Post,0
Centre shot,12.0,3,0,2,AUS,1.0,ZAGAME N,2 - 0,12,AUS,0:12,Goal,1
5m shot,7.0,3,0,3,AUS,2.0,WEBSTER R,3 - 0,425,AUS,7:05,Goal,1
Counter attack,10.0,3,0,3,AUS,2.0,SOUTHERN A,3 - 0,401,AUS,6:41,Saved,0
Extra player shot,11.0,3,1,3,AUS,2.0,KLAASSEN L,3 - 1,368,NED,6:08,Goal,1
Action shot,8.0,3,1,3,AUS,2.0,MCGHIE G,3 - 1,283,AUS,4:43,Saved,0
Centre shot,8.0,3,1,3,AUS,2.0,MCGHIE G,3 - 1,236,AUS,3:56,Saved,0
Action shot,6.0,3,1,3,AUS,2.0,KNOX B,3 - 1,180,AUS,3:00,Missed,0
Action shot,7.0,3,1,3,AUS,2.0,WEBSTER R,3 - 1,121,AUS,2:01,Post,0
5m shot,2.0,3,1,3,AUS,2.0,SMIT M,3 - 1,91,NED,1:31,Saved,0
Penalty shot,10.0,3,1,4,AUS,2.0,SOUTHERN A,4 - 1,80,AUS,1:20,Goal,1
Action shot,4.0,3,2,4,AUS,2.0,VAN DER SLOOT C,4 - 2,31,NED,0:31,Goal,1
Action shot,8.0,3,2,4,AUS,2.0,MCGHIE G,4 - 2,1,AUS,0:01,Post,0
5m shot,6.0,3,2,4,AUS,3.0,KNOX B,4 - 2,401,AUS,6:41,Post,0
Extra player shot,8.0,3,3,4,AUS,3.0,SEVENICH V,4 - 3,370,NED,6:10,Goal,1
Extra player shot,10.0,3,3,5,AUS,3.0,SOUTHERN A,5 - 3,288,AUS,4:48,Goal,1
Action shot,9.0,3,3,5,AUS,3.0,MEGENS M,5 - 3,266,NED,4:26,Missed,0
Action shot,8.0,3,3,5,AUS,3.0,SEVENICH V,5 - 3,217,NED,3:37,Saved,0
Penalty shot,7.0,3,3,5,AUS,3.0,WEBSTER R,5 - 3,205,AUS,3:25,Saved,0
Extra player shot,8.0,3,4,5,AUS,3.0,SEVENICH V,5 - 4,182,NED,3:02,Goal,1
Action shot,6.0,3,4,5,AUS,3.0,KNOX B,5 - 4,97,AUS,1:37,Saved,0
Action shot,10.0,3,4,5,AUS,3.0,SOUTHERN A,5 - 4,78,AUS,1:18,Missed,0
Extra player shot,9.0,3,4,5,AUS,3.0,MEGENS M,5 - 4,57,NED,0:57,Saved,0
Counter attack,12.0,3,4,6,AUS,3.0,ZAGAME N,6 - 4,42,AUS,0:42,Goal,1
5m shot,11.0,3,4,6,AUS,3.0,KLAASSEN L,6 - 4,10,NED,0:10,Saved,0
Counter attack,11.0,3,4,7,AUS,3.0,HALLIGAN B,7 - 4,2,AUS,0:02,Goal,1
5m shot,11.0,3,4,7,AUS,3.0,KLAASSEN L,7 - 4,1,NED,0:01,Saved,0
5m shot,8.0,3,4,7,AUS,4.0,MCGHIE G,7 - 4,443,AUS,7:23,Blocked,0
5m shot,8.0,3,4,7,AUS,4.0,MCGHIE G,7 - 4,359,AUS,5:59,Saved,0
Action shot,11.0,3,4,7,AUS,4.0,HALLIGAN B,7 - 4,320,AUS,5:20,Blocked,0
Extra player shot,2.0,3,5,7,AUS,4.0,SMIT M,7 - 5,285,NED,4:45,Goal,1
Action shot,8.0,3,5,8,AUS,4.0,MCGHIE G,8 - 5,243,AUS,4:03,Goal,1
5m shot,3.0,3,5,8,AUS,4.0,GENEE D,8 - 5,218,NED,3:38,Missed,0
5m shot,9.0,3,5,8,AUS,4.0,ARANCINI Z,8 - 5,198,AUS,3:18,Missed,0
Action shot,6.0,3,5,8,AUS,4.0,STOMPHORST N,8 - 5,174,NED,2:54,Saved,0
Counter attack,12.0,3,5,8,AUS,4.0,ZAGAME N,8 - 5,114,AUS,1:54,Saved,0
Extra player shot,3.0,3,5,8,AUS,4.0,GENEE D,8 - 5,88,NED,1:28,Saved,0
Centre shot,10.0,3,5,8,AUS,4.0,SOUTHERN A,8 - 5,57,AUS,0:57,Saved,0
Extra player shot,6.0,3,6,8,AUS,4.0,STOMPHORST N,8 - 6,2,NED,0:02,Goal,1
Penalty shot,2.0,4,1,0,KAZ,1.0,SMIT M,0 - 1,418,NED,6:58,Goal,1
Extra player shot,11.0,4,1,0,KAZ,1.0,MIRSHINA A,0 - 1,389,KAZ,6:29,Saved,0
Extra player shot,9.0,4,1,0,KAZ,1.0,MEGENS M,0 - 1,368,NED,6:08,Post,0
5m shot,11.0,4,1,0,KAZ,1.0,KLAASSEN L,0 - 1,346,NED,5:46,Saved,0
5m shot,5.0,4,1,0,KAZ,1.0,ZAKIROVA K,0 - 1,306,KAZ,5:06,Blocked,0
Counter attack,3.0,4,2,0,KAZ,1.0,GENEE D,0 - 2,294,NED,4:54,Goal,1
Extra player shot,3.0,4,2,0,KAZ,1.0,AKILBAYEVA A,0 - 2,268,KAZ,4:28,Saved,0
Centre shot,5.0,4,2,0,KAZ,1.0,GENEE A,0 - 2,237,NED,3:57,Saved,0
Action shot,11.0,4,2,0,KAZ,1.0,KLAASSEN L,0 - 2,229,NED,3:49,Post,0
5m shot,7.0,4,2,0,KAZ,1.0,NIJHUIS M,0 - 2,178,NED,2:58,Saved,0
Counter attack,5.0,4,3,0,KAZ,1.0,GENEE A,0 - 3,158,NED,2:38,Goal,1
5m shot,7.0,4,3,0,KAZ,1.0,MYRZABEKOVA Z,0 - 3,117,KAZ,1:57,Blocked,0
Extra player shot,8.0,4,4,0,KAZ,1.0,SEVENICH V,0 - 4,100,NED,1:40,Goal,1
Action shot,12.0,4,4,0,KAZ,1.0,VAN DER MOLEN L,0 - 4,55,NED,0:55,Saved,0
Action shot,2.0,4,4,0,KAZ,1.0,SMIT M,0 - 4,13,NED,0:13,Post,0
5m shot,8.0,4,4,0,KAZ,1.0,SAICHUK O,0 - 4,1,KAZ,0:01,Saved,0
Counter attack,6.0,4,4,0,KAZ,2.0,STOMPHORST N,0 - 4,423,NED,7:03,Saved,0
Extra player shot,12.0,4,4,0,KAZ,2.0,VAN DER MOLEN L,0 - 4,392,NED,6:32,Saved,0
Centre shot,7.0,4,4,0,KAZ,2.0,MYRZABEKOVA Z,0 - 4,360,KAZ,6:00,Missed,0
Extra player shot,10.0,4,5,0,KAZ,2.0,VAN TOORN I,0 - 5,347,NED,5:47,Goal,1
Action shot,12.0,4,5,0,KAZ,2.0,MUSSAROVA A,0 - 5,330,KAZ,5:30,Saved,0
Counter attack,4.0,4,6,0,KAZ,2.0,VAN DER SLOOT C,0 - 6,318,NED,5:18,Goal,1
Extra player shot,12.0,4,6,0,KAZ,2.0,MUSSAROVA A,0 - 6,294,KAZ,4:54,Missed,0
Centre shot,2.0,4,7,0,KAZ,2.0,SMIT M,0 - 7,276,NED,4:36,Goal,1
5m shot,5.0,4,7,0,KAZ,2.0,ZAKIROVA K,0 - 7,249,KAZ,4:09,Saved,0
5m shot,8.0,4,7,0,KAZ,2.0,SAICHUK O,0 - 7,209,KAZ,3:29,Missed,0
Action shot,8.0,4,8,0,KAZ,2.0,SEVENICH V,0 - 8,196,NED,3:16,Goal,1
