Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time
Centre shot - Saved,8.0,1,3,AUS,3.0,YOUNGER A,6,6 - 3,372,AUS,6:12
Action shot - Saved,11.0,1,3,AUS,3.0,PRLAINOVIC A,6,6 - 3,349,SRB,5:49
20 sec. exclusion in field,6.0,1,3,AUS,3.0,PIJETLOVIC D,6,6 - 3,349,SRB,5:49
Time-Out,,1,3,AUS,3.0,,6,6 - 3,349,AUS,5:49
Action shot - Goal,2.0,1,4,AUS,3.0,CAMPBELL R,6,6 - 4,325,AUS,5:25
20 sec. exclusion in field,8.0,1,4,AUS,3.0,YOUNGER A,6,6 - 4,313,AUS,5:13
Action shot - Saved,9.0,1,4,AUS,3.0,RADEN N,6,6 - 4,290,SRB,4:50
Turnover foul,10.0,1,4,AUS,3.0,FILIPOVIC F,6,6 - 4,269,SRB,4:29
Steal,7.0,1,4,AUS,3.0,ROACH A,6,6 - 4,269,AUS,4:29
Centre shot - Goal,10.0,1,5,AUS,3.0,MARTIN T,6,6 - 5,244,AUS,4:04
20 sec. exclusion in centre,5.0,1,5,AUS,3.0,POWER N,6,6 - 5,215,AUS,3:35
Extra player shot - Goal,4.0,1,5,AUS,3.0,UDOVICIC V,7,7 - 5,214,SRB,3:34
Action shot - Missed,2.0,1,5,AUS,3.0,MANDIC D,7,7 - 5,167,SRB,2:47
20 sec. exclusion in centre,3.0,1,5,AUS,3.0,GOCIC Z,7,7 - 5,148,SRB,2:28
Extra player shot - Saved,4.0,1,5,AUS,3.0,COTTERILL J,7,7 - 5,125,AUS,2:05
Turnover foul,6.0,1,5,AUS,3.0,PIJETLOVIC D,7,7 - 5,106,SRB,1:46
Steal,13.0,1,5,AUS,3.0,CLARK J,7,7 - 5,106,AUS,1:46
20 sec. exclusion in field,8.0,1,5,AUS,3.0,ALEKSIC M,7,7 - 5,93,SRB,1:33
Time-Out,,1,5,AUS,3.0,,7,7 - 5,93,AUS,1:33
Turnover foul,11.0,1,5,AUS,3.0,HOWDEN R,7,7 - 5,77,AUS,1:17
Steal,12.0,1,5,AUS,3.0,MITROVIC S,7,7 - 5,77,SRB,1:17
Turnover foul,10.0,1,5,AUS,3.0,FILIPOVIC F,7,7 - 5,52,SRB,0:52
Steal,11.0,1,5,AUS,3.0,HOWDEN R,7,7 - 5,52,AUS,0:52
Turnover foul,9.0,1,5,AUS,3.0,SWIFT J,7,7 - 5,23,AUS,0:23
20 sec. exclusion in centre,6.0,1,5,AUS,3.0,GILCHRIST J,7,7 - 5,1,AUS,0:01
Extra player shot - Blocked,4.0,1,5,AUS,3.0,UDOVICIC V,7,7 - 5,1,SRB,0:01
Starting goalkeeper,13.0,1,5,AUS,4.0,PIJETLOVIC G,7,7 - 5,480,SRB,8:00
