Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
Action shot,4.0,1,0,AUS,1.0,UDOVICIC V,0,0 - 0,423,SRB,7:03,Blocked,0
Action shot,5.0,1,0,AUS,1.0,POWER N,0,0 - 0,399,AUS,6:39,Post,0
Counter attack,4.0,1,0,AUS,1.0,UDOVICIC V,1,1 - 0,335,SRB,5:35,Goal,1
Action shot,11.0,1,0,AUS,1.0,PRLAINOVIC A,1,1 - 0,277,SRB,4:37,Blocked,0
Extra player shot,11.0,1,1,AUS,1.0,HOWDEN R,1,1 - 1,257,AUS,4:17,Goal,1
Extra player shot,6.0,1,1,AUS,1.0,PIJETLOVIC D,2,2 - 1,228,SRB,3:48,Goal,1
Centre shot,9.0,1,2,AUS,1.0,SWIFT J,2,2 - 2,206,AUS,3:26,Goal,1
Action shot,2.0,1,2,AUS,1.0,CAMPBELL R,2,2 - 2,159,AUS,2:39,Saved,0
Extra player shot,4.0,1,2,AUS,1.0,UDOVICIC V,3,3 - 2,124,SRB,2:04,Goal,1
Action shot,6.0,1,2,AUS,1.0,GILCHRIST J,3,3 - 2,95,AUS,1:35,Saved,0
Extra player shot,8.0,1,3,AUS,1.0,YOUNGER A,3,3 - 3,66,AUS,1:06,Goal,1
Extra player shot,10.0,1,3,AUS,1.0,FILIPOVIC F,4,4 - 3,29,SRB,0:29,Goal,1
Action shot,2.0,1,3,AUS,1.0,CAMPBELL R,4,4 - 3,3,AUS,0:03,Saved,0
Action shot,12.0,1,3,AUS,1.0,MILLER W,4,4 - 3,2,AUS,0:02,Blocked,0
Extra player shot,7.0,1,3,AUS,2.0,NIKIC S,5,5 - 3,352,SRB,5:52,Goal,1
Extra player shot,7.0,1,3,AUS,2.0,ROACH A,5,5 - 3,319,AUS,5:19,Missed,0
Extra player shot,10.0,1,3,AUS,2.0,FILIPOVIC F,5,5 - 3,288,SRB,4:48,Blocked,0
Action shot,8.0,1,3,AUS,2.0,YOUNGER A,5,5 - 3,211,AUS,3:31,Missed,0
Extra player shot,10.0,1,3,AUS,2.0,FILIPOVIC F,6,6 - 3,186,SRB,3:06,Goal,1
Action shot,2.0,1,3,AUS,2.0,CAMPBELL R,6,6 - 3,162,AUS,2:42,Post,0
Action shot,11.0,1,3,AUS,2.0,PRLAINOVIC A,6,6 - 3,138,SRB,2:18,Blocked,0
5m shot,9.0,1,3,AUS,2.0,SWIFT J,6,6 - 3,111,AUS,1:51,Saved,0
Action shot,2.0,1,3,AUS,2.0,MANDIC D,6,6 - 3,88,SRB,1:28,Saved,0
Action shot,6.0,1,3,AUS,2.0,GILCHRIST J,6,6 - 3,61,AUS,1:01,Missed,0
Centre shot,9.0,1,3,AUS,3.0,SWIFT J,6,6 - 3,452,AUS,7:32,Saved,0
Centre shot,8.0,1,3,AUS,3.0,YOUNGER A,6,6 - 3,372,AUS,6:12,Saved,0
Action shot,11.0,1,3,AUS,3.0,PRLAINOVIC A,6,6 - 3,349,SRB,5:49,Saved,0
Action shot,2.0,1,4,AUS,3.0,CAMPBELL R,6,6 - 4,325,AUS,5:25,Goal,1
Action shot,9.0,1,4,AUS,3.0,RADEN N,6,6 - 4,290,SRB,4:50,Saved,0
Centre shot,10.0,1,5,AUS,3.0,MARTIN T,6,6 - 5,244,AUS,4:04,Goal,1
Extra player shot,4.0,1,5,AUS,3.0,UDOVICIC V,7,7 - 5,214,SRB,3:34,Goal,1
Action shot,2.0,1,5,AUS,3.0,MANDIC D,7,7 - 5,167,SRB,2:47,Missed,0
Extra player shot,4.0,1,5,AUS,3.0,COTTERILL J,7,7 - 5,125,AUS,2:05,Saved,0
Extra player shot,4.0,1,5,AUS,3.0,UDOVICIC V,7,7 - 5,1,SRB,0:01,Blocked,0
Action shot,3.0,1,5,AUS,4.0,GOCIC Z,8,8 - 5,435,SRB,7:15,Goal,1
Centre shot,9.0,1,5,AUS,4.0,SWIFT J,8,8 - 5,356,AUS,5:56,Missed,0
Action shot,10.0,1,5,AUS,4.0,MARTIN T,8,8 - 5,313,AUS,5:13,Saved,0
Action shot,2.0,1,5,AUS,4.0,CAMPBELL R,8,8 - 5,295,AUS,4:55,Missed,0
Action shot,5.0,1,5,AUS,4.0,CUK M,8,8 - 5,272,SRB,4:32,Saved,0
Extra player shot,12.0,1,5,AUS,4.0,MILLER W,8,8 - 5,238,AUS,3:58,Saved,0
Extra player shot,6.0,1,5,AUS,4.0,PIJETLOVIC D,9,9 - 5,211,SRB,3:31,Goal,1
Action shot,9.0,1,5,AUS,4.0,RADEN N,9,9 - 5,165,SRB,2:45,Post,0
5m shot,7.0,1,6,AUS,4.0,ROACH A,9,9 - 6,141,AUS,2:21,Goal,1
5m shot,12.0,1,7,AUS,4.0,MILLER W,9,9 - 7,96,AUS,1:36,Goal,1
Centre shot,6.0,1,7,AUS,4.0,PIJETLOVIC D,10,10 - 7,78,SRB,1:18,Goal,1
Action shot,11.0,1,7,AUS,4.0,PRLAINOVIC A,10,10 - 7,21,SRB,0:21,Post,0
Extra player shot,8.0,2,1,HUN,1.0,SZIVOS M,0,0 - 1,366,HUN,6:06,Goal,1
Extra player shot,10.0,2,2,HUN,1.0,VARGA D,0,0 - 2,322,HUN,5:22,Goal,1
Extra player shot,10.0,2,2,HUN,1.0,FILIPOVIC F,1,1 - 2,289,SRB,4:49,Goal,1
Extra player shot,10.0,2,2,HUN,1.0,VARGA D,1,1 - 2,260,HUN,4:20,Saved,0
5m shot,10.0,2,2,HUN,1.0,FILIPOVIC F,1,1 - 2,233,SRB,3:53,Saved,0
Action shot,11.0,2,2,HUN,1.0,PRLAINOVIC A,2,2 - 2,181,SRB,3:01,Goal,1
Centre shot,12.0,2,2,HUN,1.0,HARAI B,2,2 - 2,153,HUN,2:33,Post,0
Extra player shot,8.0,2,2,HUN,1.0,ALEKSIC M,2,2 - 2,122,SRB,2:02,Saved,0
Action shot,12.0,2,2,HUN,1.0,MITROVIC S,2,2 - 2,112,SRB,1:52,Saved,0
5m shot,4.0,2,2,HUN,1.0,BATORI B,2,2 - 2,95,HUN,1:35,Blocked,0
Extra player shot,8.0,2,2,HUN,1.0,ALEKSIC M,2,2 - 2,67,SRB,1:07,Blocked,0
Action shot,5.0,2,2,HUN,1.0,CUK M,2,2 - 2,49,SRB,0:49,Post,0
Extra player shot,5.0,2,3,HUN,1.0,VAMOS M,2,2 - 3,20,HUN,0:20,Goal,1
5m shot,3.0,2,3,HUN,1.0,MADARAS N,2,2 - 3,1,HUN,0:01,Saved,0
Action shot,10.0,2,3,HUN,2.0,FILIPOVIC F,3,3 - 3,453,SRB,7:33,Goal,1
Centre shot,12.0,2,3,HUN,2.0,HARAI B,3,3 - 3,431,HUN,7:11,Missed,0
Centre shot,6.0,2,3,HUN,2.0,PIJETLOVIC D,4,4 - 3,415,SRB,6:55,Goal,1
Extra player shot,3.0,2,4,HUN,2.0,MADARAS N,4,4 - 4,381,HUN,6:21,Goal,1
Action shot,2.0,2,4,HUN,2.0,MANDIC D,4,4 - 4,335,SRB,5:35,Missed,0
Extra player shot,12.0,2,4,HUN,2.0,HARAI B,4,4 - 4,301,HUN,5:01,Saved,0
Counter attack,4.0,2,4,HUN,2.0,UDOVICIC V,5,5 - 4,287,SRB,4:47,Goal,1
Extra player shot,7.0,2,4,HUN,2.0,NIKIC S,6,6 - 4,225,SRB,3:45,Goal,1
5m shot,3.0,2,4,HUN,2.0,MADARAS N,6,6 - 4,158,HUN,2:38,Blocked,0
Extra player shot,11.0,2,5,HUN,2.0,BEDO K,6,6 - 5,123,HUN,2:03,Goal,1
Action shot,11.0,2,5,HUN,2.0,PRLAINOVIC A,6,6 - 5,87,SRB,1:27,Missed,0
Extra player shot,3.0,2,5,HUN,2.0,MADARAS N,6,6 - 5,51,HUN,0:51,Missed,0
Extra player shot,11.0,2,5,HUN,2.0,PRLAINOVIC A,7,7 - 5,19,SRB,0:19,Goal,1
Extra player shot,12.0,2,10,HUN,4.0,MITROVIC S,12,12 - 10,185,SRB,3:05,Goal,1
5m shot,9.0,2,10,HUN,4.0,VARGA D,12,12 - 10,159,HUN,2:39,Blocked,0
Action shot,11.0,2,10,HUN,4.0,PRLAINOVIC A,12,12 - 10,135,SRB,2:15,Post,0
Action shot,3.0,2,10,HUN,4.0,MADARAS N,12,12 - 10,102,HUN,1:42,Blocked,0
5m shot,9.0,2,10,HUN,3.0,VARGA D,12,12 - 10,425,HUN,7:05,Saved,0
Action shot,8.0,2,10,HUN,3.0,ALEKSIC M,12,12 - 10,396,SRB,6:36,Saved,0
5m shot,10.0,2,10,HUN,3.0,VARGA D,12,12 - 10,369,HUN,6:09,Saved,0
Action shot,3.0,2,10,HUN,3.0,MADARAS N,12,12 - 10,313,HUN,5:13,Saved,0
Action shot,2.0,2,10,HUN,3.0,MANDIC D,12,12 - 10,285,SRB,4:45,Missed,0
Action shot,2.0,2,5,HUN,3.0,MANDIC D,8,8 - 5,232,SRB,3:52,Goal,1
Action shot,3.0,2,5,HUN,3.0,MADARAS N,8,8 - 5,220,HUN,3:40,Post,0
Action shot,6.0,2,5,HUN,3.0,HOSNYANSZKY N,8,8 - 5,173,HUN,2:53,Saved,0
Extra player shot,4.0,2,5,HUN,3.0,UDOVICIC V,8,8 - 5,130,SRB,2:10,Blocked,0
Action shot,3.0,2,5,HUN,3.0,GOCIC Z,8,8 - 5,126,SRB,2:06,Blocked,0
5m shot,10.0,2,6,HUN,3.0,VARGA D,8,8 - 6,108,HUN,1:48,Goal,1
Extra player shot,5.0,2,7,HUN,3.0,VAMOS M,8,8 - 7,56,HUN,0:56,Goal,1
Extra player shot,5.0,2,7,HUN,3.0,CUK M,9,9 - 7,30,SRB,0:30,Goal,1
5m shot,8.0,2,7,HUN,3.0,SZIVOS M,9,9 - 7,1,HUN,0:01,Blocked,0
Extra player shot,7.0,2,7,HUN,4.0,NIKIC S,10,10 - 7,446,SRB,7:26,Goal,1
Penalty shot,11.0,2,7,HUN,4.0,PRLAINOVIC A,11,11 - 7,412,SRB,6:52,Goal,1
Extra player shot,3.0,2,7,HUN,4.0,MADARAS N,11,11 - 7,377,HUN,6:17,Blocked,0
Centre shot,8.0,2,7,HUN,4.0,SZIVOS M,11,11 - 7,367,HUN,6:07,Saved,0
Action shot,4.0,2,7,HUN,4.0,UDOVICIC V,11,11 - 7,345,SRB,5:45,Blocked,0
5m shot,10.0,2,7,HUN,4.0,VARGA D,11,11 - 7,315,HUN,5:15,Post,0
Action shot,3.0,2,8,HUN,4.0,MADARAS N,11,11 - 8,303,HUN,5:03,Goal,1
5m shot,10.0,2,8,HUN,4.0,FILIPOVIC F,11,11 - 8,287,SRB,4:47,Post,0
Extra player shot,10.0,2,9,HUN,4.0,VARGA D,11,11 - 9,262,HUN,4:22,Goal,1
Action shot,12.0,2,10,HUN,4.0,HARAI B,11,11 - 10,217,HUN,3:37,Goal,1
Extra player shot,7.0,2,10,HUN,4.0,NIKIC S,13,13 - 10,64,SRB,1:04,Goal,1
