Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2,5.0,2,0,KAZ,1.0,EGGENS M,2 - 0,267,CAN,4:27,Post,0
Action shot,2,7.0,2,0,KAZ,1.0,MYRZABEKOVA Z,2 - 0,250,KAZ,4:10,Saved,0
Action shot,2,11.0,2,0,KAZ,1.0,VALIN S,2 - 0,222,CAN,3:42,Missed,0
Penalty shot,2,11.0,2,1,KAZ,1.0,MIRSHINA A,2 - 1,196,KAZ,3:16,Goal,1
Action shot,3,5.0,2,1,KAZ,1.0,EGGENS M,3 - 1,171,CAN,2:51,Goal,1
5m shot,3,12.0,2,1,KAZ,1.0,MUSSAROVA A,3 - 1,147,KAZ,2:27,Missed,0
5m shot,4,9.0,2,1,KAZ,1.0,EGGENS C,4 - 1,125,CAN,2:05,Goal,1
Action shot,4,9.0,2,1,KAZ,1.0,EGGENS C,4 - 1,76,CAN,1:16,Missed,0
Extra player shot,5,8.0,2,1,KAZ,2.0,FOURNIER S,5 - 1,395,CAN,6:35,Goal,1
Action shot,6,6.0,2,1,KAZ,2.0,MCKEE K,6 - 1,359,CAN,5:59,Goal,1
Action shot,6,3.0,2,1,KAZ,2.0,AKILBAYEVA A,6 - 1,340,KAZ,5:40,Saved,0
Counter attack,6,11.0,2,2,KAZ,2.0,MIRSHINA A,6 - 2,325,KAZ,5:25,Goal,1
Action shot,6,4.0,2,2,KAZ,2.0,WRIGHT E,6 - 2,298,CAN,4:58,Saved,0
Action shot,6,6.0,2,2,KAZ,2.0,MCKEE K,6 - 2,225,CAN,3:45,Missed,0
5m shot,6,5.0,2,2,KAZ,2.0,ZAKIROVA K,6 - 2,202,KAZ,3:22,Blocked,0
Counter attack,6,11.0,2,2,KAZ,2.0,VALIN S,6 - 2,168,CAN,2:48,Post,0
Action shot,6,5.0,2,2,KAZ,2.0,EGGENS M,6 - 2,127,CAN,2:07,Saved,0
Action shot,6,3.0,2,2,KAZ,2.0,AKILBAYEVA A,6 - 2,101,KAZ,1:41,Saved,0
Centre shot,6,11.0,2,2,KAZ,2.0,MIRSHINA A,6 - 2,32,KAZ,0:32,Saved,0
5m shot,6,8.0,2,2,KAZ,3.0,SAICHUK O,6 - 2,455,KAZ,7:35,Blocked,0
5m shot,6,5.0,2,2,KAZ,3.0,EGGENS M,6 - 2,386,CAN,6:26,Saved,0
Action shot,7,7.0,2,2,KAZ,3.0,BEKHAZI J,7 - 2,223,CAN,3:43,Goal,1
5m shot,7,2.0,2,2,KAZ,3.0,ALOGBO K,7 - 2,199,CAN,3:19,Saved,0
Action shot,7,2.0,2,2,KAZ,3.0,ALOGBO K,7 - 2,181,CAN,3:01,Saved,0
Counter attack,7,10.0,2,3,KAZ,3.0,ROGA D,7 - 3,164,KAZ,2:44,Goal,1
Penalty shot,8,7.0,2,3,KAZ,3.0,BEKHAZI J,8 - 3,145,CAN,2:25,Goal,1
Counter attack,9,2.0,2,3,KAZ,3.0,ALOGBO K,9 - 3,119,CAN,1:59,Goal,1
Counter attack,9,7.0,2,3,KAZ,3.0,MYRZABEKOVA Z,9 - 3,76,KAZ,1:16,Saved,0
Action shot,9,7.0,2,3,KAZ,3.0,BEKHAZI J,9 - 3,60,CAN,1:00,Saved,0
Action shot,9,11.0,2,3,KAZ,3.0,MIRSHINA A,9 - 3,46,KAZ,0:46,Post,0
Action shot,9,3.0,2,3,KAZ,3.0,MONTON K,9 - 3,19,CAN,0:19,Saved,0
5m shot,9,5.0,2,4,KAZ,3.0,ZAKIROVA K,9 - 4,1,KAZ,0:01,Goal,1
Action shot,10,10.0,2,4,KAZ,4.0,ROBINSON C,10 - 4,417,CAN,6:57,Goal,1
Extra player shot,10,5.0,2,4,KAZ,4.0,ZAKIROVA K,10 - 4,372,KAZ,6:12,Blocked,0
5m shot,11,2.0,2,4,KAZ,4.0,ALOGBO K,11 - 4,362,CAN,6:02,Goal,1
Counter attack,12,5.0,2,4,KAZ,4.0,EGGENS M,12 - 4,330,CAN,5:30,Goal,1
5m shot,13,5.0,2,4,KAZ,4.0,EGGENS M,13 - 4,282,CAN,4:42,Goal,1
