Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,NZL,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Starting goalkeeper,0,1.0,1,0,NZL,1.0,MILLAR B,0 - 0,480,NZL,8:00
Sprint won possession,0,5.0,1,0,NZL,1.0,EGGENS M,0 - 0,480,CAN,8:00
Centre shot - Goal,1,10.0,1,0,NZL,1.0,ROBINSON C,1 - 0,450,CAN,7:30
Turnover foul,1,10.0,1,0,NZL,1.0,ROBINSON C,1 - 0,424,CAN,7:04
Steal,1,8.0,1,0,NZL,1.0,LOPES DA SILVA C,1 - 0,424,NZL,7:04
Penalty foul,1,11.0,1,0,NZL,1.0,HUDSON K,1 - 0,409,NZL,6:49
Penalty shot - Goal,2,5.0,1,0,NZL,1.0,EGGENS M,2 - 0,409,CAN,6:49
Turnover foul,2,2.0,1,0,NZL,1.0,LEWIS N,2 - 0,380,NZL,6:20
Centre shot - Missed,2,3.0,1,0,NZL,1.0,MONTON K,2 - 0,367,CAN,6:07
Action shot - Saved,2,9.0,1,0,NZL,1.0,STONEMAN E,2 - 0,344,NZL,5:44
20 sec. exclusion in centre,2,9.0,1,0,NZL,1.0,STONEMAN E,2 - 0,327,NZL,5:27
Extra player shot - Goal,3,11.0,1,0,NZL,1.0,VALIN S,3 - 0,312,CAN,5:12
Action shot - Saved,3,4.0,1,0,NZL,1.0,LEWIS D,3 - 0,283,NZL,4:43
Turnover foul,3,7.0,1,0,NZL,1.0,BEKHAZI J,3 - 0,254,CAN,4:14
5m shot - Missed,3,12.0,1,0,NZL,1.0,MYLES J,3 - 0,238,NZL,3:58
20 sec. exclusion in centre,3,2.0,1,0,NZL,1.0,LEWIS N,3 - 0,216,NZL,3:36
Action shot - Post,3,7.0,1,0,NZL,1.0,BEKHAZI J,3 - 0,206,CAN,3:26
5m shot - Saved,3,6.0,1,0,NZL,1.0,LANDRY S,3 - 0,182,NZL,3:02
Action shot - Saved,3,4.0,1,0,NZL,1.0,WRIGHT E,3 - 0,155,CAN,2:35
Action shot - Post,3,4.0,1,0,NZL,1.0,LEWIS D,3 - 0,137,NZL,2:17
Turnover foul,3,7.0,1,0,NZL,1.0,BEKHAZI J,3 - 0,102,CAN,1:42
Time-Out,3,,1,0,NZL,1.0,,3 - 0,102,NZL,1:42
20 sec. exclusion in centre,3,8.0,1,0,NZL,1.0,FOURNIER S,3 - 0,93,CAN,1:33
Extra player shot - Goal,3,11.0,1,1,NZL,1.0,HUDSON K,3 - 1,78,NZL,1:18
Action shot - Goal,4,8.0,1,1,NZL,1.0,FOURNIER S,4 - 1,57,CAN,0:57
5m shot - Blocked,4,9.0,1,1,NZL,1.0,STONEMAN E,4 - 1,33,NZL,0:33
Time-Out,4,,1,1,NZL,1.0,,4 - 1,33,CAN,0:33
Centre shot - Goal,5,9.0,1,1,NZL,1.0,EGGENS C,5 - 1,16,CAN,0:16
5m shot - Blocked,5,,1,1,NZL,1.0,,5 - 1,1,4,0:01
Starting goalkeeper,5,1.0,1,1,NZL,2.0,GAUDREAULT J,5 - 1,480,CAN,8:00
Starting goalkeeper,5,1.0,1,1,NZL,2.0,MILLAR B,5 - 1,480,NZL,8:00
Sprint won possession,5,4.0,1,1,NZL,2.0,LEWIS D,5 - 1,480,NZL,8:00
