Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,USA,1.0,MOSES M,0,0 - 0,480,USA,8:00
Starting goalkeeper,13.0,1,0,USA,1.0,IVANOV V,0,0 - 0,480,RUS,8:00
Sprint won possession,10.0,1,0,USA,1.0,KHOLOD D,0,0 - 0,480,RUS,8:00
5m shot - Post,6.0,1,0,USA,1.0,ASHAEV A,0,0 - 0,450,RUS,7:30
Turnover foul,2.0,1,0,USA,1.0,VAVIC N,0,0 - 0,421,USA,7:01
Steal,10.0,1,0,USA,1.0,KHOLOD D,0,0 - 0,421,RUS,7:01
5m shot - Saved,10.0,1,0,USA,1.0,KHOLOD D,0,0 - 0,393,RUS,6:33
Action shot - Saved,7.0,1,0,USA,1.0,SAMUELS J,0,0 - 0,373,USA,6:13
5m shot - Goal,2.0,1,0,USA,1.0,BUGAYCHUK A,1,0 - 1,346,RUS,5:46
20 sec. exclusion in centre,8.0,1,0,USA,1.0,NAGAEV I,1,0 - 1,328,RUS,5:28
Extra player shot - Goal,8.0,1,1,USA,1.0,AZEVEDO T,1,1 - 1,328,USA,5:28
Centre shot - Goal,8.0,1,2,USA,1.0,AZEVEDO T,1,2 - 1,287,USA,4:47
5m shot - Saved,9.0,1,2,USA,1.0,STEPANIUK K,1,2 - 1,257,RUS,4:17
20 sec. exclusion in centre,3.0,1,2,USA,1.0,ODINTSOV A,1,2 - 1,242,RUS,4:02
Extra player shot - Missed,7.0,1,2,USA,1.0,SAMUELS J,1,2 - 1,235,USA,3:55
Action shot - Saved,7.0,1,2,USA,1.0,TIMAKOV V,1,2 - 1,208,RUS,3:28
Turnover foul,7.0,1,2,USA,1.0,SAMUELS J,1,2 - 1,183,USA,3:03
Steal,6.0,1,2,USA,1.0,ASHAEV A,1,2 - 1,183,RUS,3:03
5m shot - Blocked,9.0,1,2,USA,1.0,STEPANIUK K,1,2 - 1,141,RUS,2:21
Action shot - Missed,2.0,1,2,USA,1.0,BUGAYCHUK A,1,2 - 1,128,RUS,2:08
Time-Out,,1,2,USA,1.0,,1,2 - 1,128,USA,2:08
Turnover foul,9.0,1,2,USA,1.0,BOWEN A,1,2 - 1,104,USA,1:44
Steal,9.0,1,2,USA,1.0,STEPANIUK K,1,2 - 1,104,RUS,1:44
5m shot - Missed,10.0,1,2,USA,1.0,KHOLOD D,1,2 - 1,81,RUS,1:21
20 sec. exclusion in centre,10.0,1,2,USA,1.0,KHOLOD D,1,2 - 1,61,RUS,1:01
Extra player shot - Goal,12.0,1,3,USA,1.0,MANN J,1,3 - 1,45,USA,0:45
20 sec. exclusion in centre,9.0,1,3,USA,1.0,BOWEN A,1,3 - 1,29,USA,0:29
Centre shot - Missed,9.0,1,3,USA,1.0,STEPANIUK K,1,3 - 1,5,RUS,0:05
Starting goalkeeper,1.0,1,3,USA,2.0,MOSES M,1,3 - 1,480,USA,8:00
Starting goalkeeper,13.0,1,3,USA,2.0,IVANOV V,1,3 - 1,480,RUS,8:00
Sprint won possession,8.0,1,3,USA,2.0,NAGAEV I,1,3 - 1,480,RUS,8:00
20 sec. exclusion in centre,3.0,1,3,USA,2.0,OBERT A,1,3 - 1,451,USA,7:31
Extra player shot - Saved,9.0,1,3,USA,2.0,STEPANIUK K,1,3 - 1,429,RUS,7:09
Turnover foul,8.0,1,3,USA,2.0,AZEVEDO T,1,3 - 1,405,USA,6:45
Action shot - Saved,4.0,1,3,USA,2.0,BYCHKOV I,1,3 - 1,375,RUS,6:15
Action shot - Post,6.0,1,3,USA,2.0,CUPIDO L,1,3 - 1,355,USA,5:55
20 sec. exclusion in centre,6.0,1,3,USA,2.0,ASHAEV A,1,3 - 1,336,RUS,5:36
Turnover foul,7.0,1,3,USA,2.0,SAMUELS J,1,3 - 1,323,USA,5:23
Steal,8.0,1,3,USA,2.0,NAGAEV I,1,3 - 1,321,RUS,5:21
Turnover foul,5.0,1,3,USA,2.0,ZINNATULLIN A,1,3 - 1,299,RUS,4:59
Steal,5.0,1,3,USA,2.0,ROELSE A,1,3 - 1,299,USA,4:59
Turnover foul,7.0,1,3,USA,2.0,SAMUELS J,1,3 - 1,276,USA,4:36
Action shot - Blocked,4.0,1,3,USA,2.0,BYCHKOV I,1,3 - 1,253,RUS,4:13
Action shot - Saved,7.0,1,3,USA,2.0,SAMUELS J,1,3 - 1,227,USA,3:47
5m shot - Saved,9.0,1,3,USA,2.0,STEPANIUK K,1,3 - 1,205,RUS,3:25
5m shot - Missed,6.0,1,3,USA,2.0,CUPIDO L,1,3 - 1,177,USA,2:57
Turnover foul,9.0,1,3,USA,2.0,STEPANIUK K,1,3 - 1,150,RUS,2:30
Steal,8.0,1,3,USA,2.0,AZEVEDO T,1,3 - 1,150,USA,2:30
Time-Out,,1,3,USA,2.0,,1,3 - 1,149,USA,2:29
20 sec. exclusion in centre,3.0,1,3,USA,2.0,ODINTSOV A,1,3 - 1,136,RUS,2:16
Turnover foul,3.0,1,3,USA,2.0,OBERT A,1,3 - 1,116,USA,1:56
Steal,13.0,1,3,USA,2.0,IVANOV V,1,3 - 1,116,RUS,1:56
Action shot - Goal,2.0,1,3,USA,2.0,BUGAYCHUK A,2,3 - 2,88,RUS,1:28
20 sec. exclusion in centre,5.0,1,3,USA,2.0,ZINNATULLIN A,2,3 - 2,71,RUS,1:11
Extra player shot - Post,9.0,1,3,USA,2.0,BOWEN A,2,3 - 2,53,USA,0:53
5m shot - Goal,2.0,1,3,USA,2.0,BUGAYCHUK A,3,3 - 3,29,RUS,0:29
Action shot - Goal,6.0,1,4,USA,2.0,CUPIDO L,3,4 - 3,3,USA,0:03
5m shot - Blocked,4.0,1,4,USA,2.0,BYCHKOV I,3,4 - 3,3,RUS,0:03
Starting goalkeeper,1.0,1,4,USA,3.0,MOSES M,3,4 - 3,480,USA,8:00
Starting goalkeeper,13.0,1,4,USA,3.0,IVANOV V,3,4 - 3,480,RUS,8:00
Sprint won possession,10.0,1,4,USA,3.0,KHOLOD D,3,4 - 3,480,RUS,8:00
Action shot - Saved,11.0,1,4,USA,3.0,LISUNOV S,3,4 - 3,453,RUS,7:33
Action shot - Saved,12.0,1,4,USA,3.0,MANN J,3,4 - 3,424,USA,7:04
5m shot - Saved,10.0,1,4,USA,3.0,KHOLOD D,3,4 - 3,398,RUS,6:38
Turnover foul,2.0,1,4,USA,3.0,BUGAYCHUK A,3,4 - 3,370,RUS,6:10
Steal,8.0,1,4,USA,3.0,AZEVEDO T,3,4 - 3,370,USA,6:10
Penalty foul,8.0,1,4,USA,3.0,NAGAEV I,3,4 - 3,353,RUS,5:53
Penalty shot - Goal,8.0,1,5,USA,3.0,AZEVEDO T,3,5 - 3,353,USA,5:53
Turnover foul,8.0,1,5,USA,3.0,NAGAEV I,3,5 - 3,329,RUS,5:29
5m shot - Post,9.0,1,5,USA,3.0,BOWEN A,3,5 - 3,306,USA,5:06
20 sec. exclusion in centre,9.0,1,5,USA,3.0,BOWEN A,3,5 - 3,285,USA,4:45
5m shot - Saved,9.0,1,5,USA,3.0,STEPANIUK K,3,5 - 3,254,RUS,4:14
5m shot - Goal,8.0,1,5,USA,3.0,NAGAEV I,4,5 - 4,209,RUS,3:29
Turnover foul,2.0,1,5,USA,3.0,VAVIC N,4,5 - 4,179,USA,2:59
Turnover foul,3.0,1,5,USA,3.0,OBERT A,4,5 - 4,132,USA,2:12
Steal,10.0,1,5,USA,3.0,KHOLOD D,4,5 - 4,132,RUS,2:12
