Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
5m shot,6.0,1,0,USA,1.0,ASHAEV A,0,0 - 0,450,RUS,7:30,Post,0
5m shot,10.0,1,0,USA,1.0,KHOLOD D,0,0 - 0,393,RUS,6:33,Saved,0
Action shot,7.0,1,0,USA,1.0,SAMUELS J,0,0 - 0,373,USA,6:13,Saved,0
5m shot,2.0,1,0,USA,1.0,BUGAYCHUK A,1,0 - 1,346,RUS,5:46,Goal,1
Extra player shot,8.0,1,1,USA,1.0,AZEVEDO T,1,1 - 1,328,USA,5:28,Goal,1
Centre shot,8.0,1,2,USA,1.0,AZEVEDO T,1,2 - 1,287,USA,4:47,Goal,1
5m shot,9.0,1,2,USA,1.0,STEPANIUK K,1,2 - 1,257,RUS,4:17,Saved,0
Extra player shot,7.0,1,2,USA,1.0,SAMUELS J,1,2 - 1,235,USA,3:55,Missed,0
Action shot,7.0,1,2,USA,1.0,TIMAKOV V,1,2 - 1,208,RUS,3:28,Saved,0
5m shot,9.0,1,2,USA,1.0,STEPANIUK K,1,2 - 1,141,RUS,2:21,Blocked,0
Action shot,2.0,1,2,USA,1.0,BUGAYCHUK A,1,2 - 1,128,RUS,2:08,Missed,0
5m shot,10.0,1,2,USA,1.0,KHOLOD D,1,2 - 1,81,RUS,1:21,Missed,0
Extra player shot,12.0,1,3,USA,1.0,MANN J,1,3 - 1,45,USA,0:45,Goal,1
Centre shot,9.0,1,3,USA,1.0,STEPANIUK K,1,3 - 1,5,RUS,0:05,Missed,0
Extra player shot,9.0,1,3,USA,2.0,STEPANIUK K,1,3 - 1,429,RUS,7:09,Saved,0
Action shot,4.0,1,3,USA,2.0,BYCHKOV I,1,3 - 1,375,RUS,6:15,Saved,0
Action shot,6.0,1,3,USA,2.0,CUPIDO L,1,3 - 1,355,USA,5:55,Post,0
Action shot,4.0,1,3,USA,2.0,BYCHKOV I,1,3 - 1,253,RUS,4:13,Blocked,0
Action shot,7.0,1,3,USA,2.0,SAMUELS J,1,3 - 1,227,USA,3:47,Saved,0
5m shot,9.0,1,3,USA,2.0,STEPANIUK K,1,3 - 1,205,RUS,3:25,Saved,0
5m shot,6.0,1,3,USA,2.0,CUPIDO L,1,3 - 1,177,USA,2:57,Missed,0
Action shot,2.0,1,3,USA,2.0,BUGAYCHUK A,2,3 - 2,88,RUS,1:28,Goal,1
Extra player shot,9.0,1,3,USA,2.0,BOWEN A,2,3 - 2,53,USA,0:53,Post,0
5m shot,2.0,1,3,USA,2.0,BUGAYCHUK A,3,3 - 3,29,RUS,0:29,Goal,1
Action shot,6.0,1,4,USA,2.0,CUPIDO L,3,4 - 3,3,USA,0:03,Goal,1
5m shot,4.0,1,4,USA,2.0,BYCHKOV I,3,4 - 3,3,RUS,0:03,Blocked,0
Action shot,11.0,1,4,USA,3.0,LISUNOV S,3,4 - 3,453,RUS,7:33,Saved,0
Action shot,12.0,1,4,USA,3.0,MANN J,3,4 - 3,424,USA,7:04,Saved,0
5m shot,10.0,1,4,USA,3.0,KHOLOD D,3,4 - 3,398,RUS,6:38,Saved,0
Penalty shot,8.0,1,5,USA,3.0,AZEVEDO T,3,5 - 3,353,USA,5:53,Goal,1
5m shot,9.0,1,5,USA,3.0,BOWEN A,3,5 - 3,306,USA,5:06,Post,0
5m shot,9.0,1,5,USA,3.0,STEPANIUK K,3,5 - 3,254,RUS,4:14,Saved,0
5m shot,8.0,1,5,USA,3.0,NAGAEV I,4,5 - 4,209,RUS,3:29,Goal,1
5m shot,8.0,1,5,USA,3.0,NAGAEV I,4,5 - 4,102,RUS,1:42,Saved,0
5m shot,9.0,1,5,USA,3.0,BOWEN A,4,5 - 4,74,USA,1:14,Saved,0
5m shot,3.0,1,5,USA,3.0,ODINTSOV A,5,5 - 5,48,RUS,0:48,Goal,1
Extra player shot,10.0,1,5,USA,3.0,BONANNI B,5,5 - 5,13,USA,0:13,Post,0
5m shot,6.0,1,6,USA,3.0,CUPIDO L,5,6 - 5,7,USA,0:07,Goal,1
5m shot,2.0,1,6,USA,3.0,BUGAYCHUK A,5,6 - 5,1,RUS,0:01,Saved,0
Extra player shot,6.0,1,6,USA,4.0,ASHAEV A,5,6 - 5,410,RUS,6:50,Missed,0
Centre shot,6.0,1,6,USA,4.0,ASHAEV A,5,6 - 5,362,RUS,6:02,Missed,0
5m shot,9.0,1,6,USA,4.0,BOWEN A,5,6 - 5,332,USA,5:32,Missed,0
5m shot,4.0,1,6,USA,4.0,BYCHKOV I,5,6 - 5,316,RUS,5:16,Saved,0
5m shot,2.0,1,6,USA,4.0,VAVIC N,5,6 - 5,286,USA,4:46,Saved,0
5m shot,8.0,1,6,USA,4.0,NAGAEV I,5,6 - 5,258,RUS,4:18,Saved,0
Extra player shot,6.0,1,7,USA,4.0,CUPIDO L,5,7 - 5,231,USA,3:51,Goal,1
5m shot,10.0,1,7,USA,4.0,KHOLOD D,5,7 - 5,201,RUS,3:21,Blocked,0
Action shot,9.0,1,7,USA,4.0,STEPANIUK K,6,7 - 6,146,RUS,2:26,Goal,1
Extra player shot,6.0,1,7,USA,4.0,CUPIDO L,6,7 - 6,102,USA,1:42,Missed,0
5m shot,10.0,1,7,USA,4.0,KHOLOD D,6,7 - 6,71,RUS,1:11,Saved,0
Action shot,11.0,2,0,ITA,1.0,AICARDI M,0,0 - 0,460,ITA,7:40,Post,0
5m shot,2.0,2,0,ITA,1.0,BUGAYCHUK A,0,0 - 0,430,RUS,7:10,Post,0
Action shot,10.0,2,0,ITA,1.0,LUONGO S,0,0 - 0,410,ITA,6:50,Blocked,0
Action shot,2.0,2,0,ITA,1.0,BUGAYCHUK A,0,0 - 0,321,RUS,5:21,Blocked,0
Action shot,2.0,2,1,ITA,1.0,DI FULVIO F,0,0 - 1,304,ITA,5:04,Goal,1
Action shot,5.0,2,1,ITA,1.0,GIORGETTI A,0,0 - 1,280,ITA,4:40,Saved,0
Centre shot,12.0,2,1,ITA,1.0,BARALDI F,0,0 - 1,209,ITA,3:29,Post,0
Centre shot,12.0,2,1,ITA,1.0,BARALDI F,0,0 - 1,202,ITA,3:22,Saved,0
5m shot,7.0,2,1,ITA,1.0,TIMAKOV V,0,0 - 1,177,RUS,2:57,Blocked,0
Action shot,2.0,2,1,ITA,1.0,DI FULVIO F,0,0 - 1,149,ITA,2:29,Saved,0
5m shot,9.0,2,1,ITA,1.0,STEPANIUK K,0,0 - 1,120,RUS,2:00,Saved,0
5m shot,2.0,2,1,ITA,1.0,DI FULVIO F,0,0 - 1,93,ITA,1:33,Missed,0
Extra player shot,10.0,2,1,ITA,1.0,KHOLOD D,1,1 - 1,51,RUS,0:51,Goal,1
Centre shot,11.0,2,1,ITA,1.0,AICARDI M,1,1 - 1,34,ITA,0:34,Post,0
Action shot,8.0,2,1,ITA,1.0,NAGAEV I,1,1 - 1,15,RUS,0:15,Saved,0
Action shot,10.0,2,1,ITA,1.0,LUONGO S,1,1 - 1,3,ITA,0:03,Saved,0
Action shot,11.0,2,1,ITA,2.0,AICARDI M,1,1 - 1,456,ITA,7:36,Saved,0
Centre shot,11.0,2,1,ITA,2.0,AICARDI M,1,1 - 1,432,ITA,7:12,Saved,0
Extra player shot,5.0,2,2,ITA,2.0,GIORGETTI A,1,1 - 2,379,ITA,6:19,Goal,1
5m shot,9.0,2,2,ITA,2.0,STEPANIUK K,1,1 - 2,349,RUS,5:49,Blocked,0
5m shot,9.0,2,3,ITA,2.0,GITTO N,1,1 - 3,323,ITA,5:23,Goal,1
5m shot,4.0,2,3,ITA,2.0,BYCHKOV I,1,1 - 3,301,RUS,5:01,Missed,0
Action shot,2.0,2,3,ITA,2.0,DI FULVIO F,1,1 - 3,274,ITA,4:34,Saved,0
5m shot,4.0,2,4,ITA,2.0,FIGLIOLI P,1,1 - 4,195,ITA,3:15,Goal,1
