Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,1,12.0,2,7,CAN,3.0,LIANG N,1 - 7,90,CHN,1:30,Saved,0
5m shot,1,3.0,2,7,CAN,3.0,HU Z,1 - 7,38,CHN,0:38,Post,0
Extra player shot,1,11.0,2,7,CAN,4.0,ZHANG C,1 - 7,443,CHN,7:23,Saved,0
5m shot,1,2.0,2,7,CAN,4.0,TAN F,1 - 7,400,CHN,6:40,Saved,0
5m shot,1,10.0,2,7,CAN,4.0,CHEN J,1 - 7,342,CHN,5:42,Saved,0
5m shot,1,12.0,2,7,CAN,4.0,LIANG N,1 - 7,285,CHN,4:45,Saved,0
Action shot,1,9.0,2,7,CAN,4.0,HALAJIAN M,1 - 7,230,CAN,3:50,Saved,0
Extra player shot,1,2.0,2,7,CAN,4.0,TAN F,1 - 7,191,CHN,3:11,Missed,0
Extra player shot,1,12.0,2,7,CAN,4.0,MCELROY J,1 - 7,119,CAN,1:59,Post,0
Action shot,1,2.0,2,8,CAN,4.0,KUDABA C,1 - 8,113,CAN,1:53,Goal,1
Action shot,2,2.0,2,8,CAN,4.0,TAN F,2 - 8,95,CHN,1:35,Goal,1
Action shot,2,8.0,2,8,CAN,4.0,GRAHAM K,2 - 8,67,CAN,1:07,Saved,0
5m shot,2,2.0,2,8,CAN,4.0,TAN F,2 - 8,11,CHN,0:11,Saved,0
Centre shot,0,4.0,3,1,CRO,1.0,LONCAR L,1 - 0,455,CRO,7:35,Goal,1
Action shot,0,10.0,3,1,CRO,1.0,CHEN J,1 - 0,432,CHN,7:12,Saved,0
5m shot,0,5.0,3,1,CRO,1.0,JOKOVIC M,1 - 0,402,CRO,6:42,Saved,0
Action shot,0,2.0,3,1,CRO,1.0,TAN F,1 - 0,373,CHN,6:13,Saved,0
Extra player shot,0,2.0,3,2,CRO,1.0,BURIC D,2 - 0,369,CRO,6:09,Goal,1
Action shot,0,7.0,3,3,CRO,1.0,MUSLIM P,3 - 0,297,CRO,4:57,Goal,1
Centre shot,1,11.0,3,3,CRO,1.0,ZHANG C,3 - 1,279,CHN,4:39,Goal,1
Counter attack,1,9.0,3,4,CRO,1.0,SUKNO S,4 - 1,234,CRO,3:54,Goal,1
5m shot,1,3.0,3,4,CRO,1.0,HU Z,4 - 1,210,CHN,3:30,Missed,0
Action shot,1,9.0,3,4,CRO,1.0,SUKNO S,4 - 1,172,CRO,2:52,Post,0
Action shot,1,11.0,3,4,CRO,1.0,ZHANG C,4 - 1,129,CHN,2:09,Saved,0
5m shot,1,3.0,3,4,CRO,1.0,PETKOVIC A,4 - 1,101,CRO,1:41,Saved,0
Penalty shot,1,11.0,3,4,CRO,1.0,ZHANG C,4 - 1,74,CHN,1:14,Saved,0
