Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,BRA,1.0,ANTONELLI V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,1,0,BRA,1.0,WU H,0 - 0,480,CHN,8:00
Sprint won possession,0,4.0,1,0,BRA,1.0,DONG T,0 - 0,480,CHN,8:00
Turnover foul,0,10.0,1,0,BRA,1.0,CHEN J,0 - 0,453,CHN,7:33
Steal,0,1.0,1,0,BRA,1.0,ANTONELLI V,0 - 0,453,BRA,7:33
20 sec. exclusion in centre,0,10.0,1,0,BRA,1.0,CHEN J,0 - 0,438,CHN,7:18
Action shot - Goal,0,10.0,1,1,BRA,1.0,PERRONE F,1 - 0,413,BRA,6:53
Centre shot - Saved,0,11.0,1,1,BRA,1.0,ZHANG C,1 - 0,387,CHN,6:27
20 sec. exclusion in centre,0,8.0,1,1,BRA,1.0,SILVA F,1 - 0,377,BRA,6:17
Extra player shot - Goal,1,11.0,1,1,BRA,1.0,ZHANG C,1 - 1,356,CHN,5:56
Turnover foul,1,2.0,1,1,BRA,1.0,TAN F,1 - 1,333,CHN,5:33
Turnover foul,1,4.0,1,1,BRA,1.0,DONG T,1 - 1,310,CHN,5:10
Counter attack - Goal,1,10.0,1,2,BRA,1.0,PERRONE F,2 - 1,298,BRA,4:58
Action shot - Goal,2,12.0,1,2,BRA,1.0,LIANG N,2 - 2,279,CHN,4:39
Turnover foul,2,10.0,1,2,BRA,1.0,PERRONE F,2 - 2,246,BRA,4:06
Turnover foul,2,12.0,1,2,BRA,1.0,LIANG N,2 - 2,235,CHN,3:55
Action shot - Goal,2,10.0,1,3,BRA,1.0,PERRONE F,3 - 2,214,BRA,3:34
Centre shot - Goal,3,11.0,1,3,BRA,1.0,ZHANG C,3 - 3,186,CHN,3:06
Turnover foul,3,10.0,1,3,BRA,1.0,PERRONE F,3 - 3,163,BRA,2:43
Steal,3,1.0,1,3,BRA,1.0,WU H,3 - 3,163,CHN,2:43
Action shot - Saved,3,10.0,1,3,BRA,1.0,CHEN J,3 - 3,139,CHN,2:19
Turnover foul,3,10.0,1,3,BRA,1.0,PERRONE F,3 - 3,123,BRA,2:03
Steal,3,10.0,1,3,BRA,1.0,CHEN J,3 - 3,123,CHN,2:03
Time-Out,3,,1,3,BRA,1.0,,3 - 3,123,CHN,2:03
Turnover foul,3,5.0,1,3,BRA,1.0,LU W,3 - 3,105,CHN,1:45
5m shot - Blocked,3,10.0,1,3,BRA,1.0,PERRONE F,3 - 3,83,BRA,1:23
Counter attack - Goal,4,4.0,1,3,BRA,1.0,DONG T,3 - 4,73,CHN,1:13
20 sec. exclusion in centre,4,3.0,1,3,BRA,1.0,HU Z,3 - 4,49,CHN,0:49
Time-Out,4,,1,3,BRA,1.0,,3 - 4,48,BRA,0:48
Extra player shot - Saved,4,6.0,1,3,BRA,1.0,GOMES B,3 - 4,39,BRA,0:39
5m shot - Saved,4,11.0,1,3,BRA,1.0,ZHANG C,3 - 4,0,CHN,0:00
Starting goalkeeper,4,1.0,1,3,BRA,2.0,ANTONELLI V,3 - 4,480,BRA,8:00
Starting goalkeeper,4,1.0,1,3,BRA,2.0,WU H,3 - 4,480,CHN,8:00
Sprint won possession,4,4.0,1,3,BRA,2.0,DONG T,3 - 4,480,CHN,8:00
20 sec. exclusion in centre,4,8.0,1,3,BRA,2.0,SILVA F,3 - 4,461,BRA,7:41
20 sec. exclusion in centre,4,2.0,1,3,BRA,2.0,CRIVELLA J,3 - 4,448,BRA,7:28
Extra player shot - Goal,5,4.0,1,3,BRA,2.0,DONG T,3 - 5,435,CHN,7:15
5m shot - Post,5,6.0,1,3,BRA,2.0,GOMES B,3 - 5,405,BRA,6:45
Turnover foul,5,5.0,1,3,BRA,2.0,LU W,3 - 5,371,CHN,6:11
Steal,5,10.0,1,3,BRA,2.0,PERRONE F,3 - 5,371,BRA,6:11
20 sec. exclusion in centre,5,2.0,1,3,BRA,2.0,TAN F,3 - 5,362,CHN,6:02
Extra player shot - Post,5,7.0,1,3,BRA,2.0,DELGADO A,3 - 5,345,BRA,5:45
Turnover foul,5,11.0,1,3,BRA,2.0,ZHANG C,3 - 5,309,CHN,5:09
Turnover foul,5,2.0,1,3,BRA,2.0,CRIVELLA J,3 - 5,309,BRA,5:09
Turnover foul,5,4.0,1,3,BRA,2.0,DONG T,3 - 5,298,CHN,4:58
Steal,5,9.0,1,3,BRA,2.0,ROCHA B,3 - 5,298,BRA,4:58
Action shot - Missed,5,12.0,1,3,BRA,2.0,VRLIC J,3 - 5,283,BRA,4:43
Time-Out,5,,1,3,BRA,2.0,,3 - 5,281,CHN,4:41
Turnover foul,5,9.0,1,3,BRA,2.0,XIE Z,3 - 5,263,CHN,4:23
Steal,5,1.0,1,3,BRA,2.0,ANTONELLI V,3 - 5,263,BRA,4:23
Action shot - Goal,5,11.0,1,4,BRA,2.0,GUIMARAES G,4 - 5,247,BRA,4:07
5m shot - Saved,5,3.0,1,4,BRA,2.0,HU Z,4 - 5,225,CHN,3:45
Action shot - Saved,5,11.0,1,4,BRA,2.0,GUIMARAES G,4 - 5,204,BRA,3:24
20 sec. exclusion in centre,5,5.0,1,4,BRA,2.0,SALEMI P,4 - 5,186,BRA,3:06
20 sec. exclusion in centre,5,7.0,1,4,BRA,2.0,CHEN Z,4 - 5,143,CHN,2:23
Extra player shot - Goal,5,3.0,1,5,BRA,2.0,GOMES G,5 - 5,124,BRA,2:04
