Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Counter attack,4.0,4,10,NZL,4.0,LEWIS D,3,10 - 3,77,NZL,1:17,Saved,0
Action shot,7.0,4,10,NZL,4.0,KAY K,3,10 - 3,53,RSA,0:53,Saved,0
Action shot,8.0,4,10,NZL,4.0,LOPES DA SILVA C,3,10 - 3,37,NZL,0:37,Saved,0
Extra player shot,12.0,4,10,NZL,4.0,WHITE K,3,10 - 3,5,RSA,0:05,Post,0
Action shot,4.0,5,0,JPN,1.0,MAGARIYAMA S,0,0 - 0,447,JPN,7:27,Missed,0
Extra player shot,6.0,5,1,JPN,1.0,TAKAHASHI A,0,0 - 1,395,JPN,6:35,Goal,1
Action shot,4.0,5,1,JPN,1.0,VERSFELD R,0,0 - 1,310,RSA,5:10,Saved,0
Action shot,5.0,5,1,JPN,1.0,NAKATA M,0,0 - 1,303,JPN,5:03,Saved,0
Action shot,4.0,5,1,JPN,1.0,VERSFELD R,0,0 - 1,257,RSA,4:17,Saved,0
5m shot,10.0,5,1,JPN,1.0,MORI T,0,0 - 1,235,JPN,3:55,Saved,0
Counter attack,8.0,5,2,JPN,1.0,HASHIGUCHI M,0,0 - 2,205,JPN,3:25,Goal,1
5m shot,12.0,5,2,JPN,1.0,WHITE K,0,0 - 2,125,RSA,2:05,Blocked,0
5m shot,7.0,5,2,JPN,1.0,NAKANO Y,0,0 - 2,105,JPN,1:45,Saved,0
Action shot,8.0,5,2,JPN,1.0,HASHIGUCHI M,0,0 - 2,64,JPN,1:04,Saved,0
Action shot,3.0,5,2,JPN,1.0,PALEY K,0,0 - 2,32,RSA,0:32,Saved,0
Action shot,6.0,5,2,JPN,2.0,TAKAHASHI A,0,0 - 2,424,JPN,7:04,Missed,0
Counter attack,4.0,5,2,JPN,2.0,MAGARIYAMA S,0,0 - 2,389,JPN,6:29,Post,0
Counter attack,8.0,5,2,JPN,2.0,HASHIGUCHI M,0,0 - 2,358,JPN,5:58,Saved,0
Action shot,12.0,5,2,JPN,2.0,WHITE K,0,0 - 2,318,RSA,5:18,Post,0
Action shot,7.0,5,3,JPN,2.0,NAKANO Y,0,0 - 3,296,JPN,4:56,Goal,1
Action shot,7.0,5,3,JPN,2.0,KAY K,0,0 - 3,229,RSA,3:49,Missed,0
Action shot,4.0,5,3,JPN,2.0,VERSFELD R,0,0 - 3,178,RSA,2:58,Missed,0
5m shot,3.0,5,3,JPN,2.0,KAZAMA Y,0,0 - 3,165,JPN,2:45,Saved,0
Action shot,8.0,5,3,JPN,2.0,HASHIGUCHI M,0,0 - 3,119,JPN,1:59,Saved,0
Extra player shot,7.0,5,3,JPN,4.0,KAY K,0,0 - 3,171,RSA,2:51,Saved,0
Counter attack,12.0,5,15,JPN,4.0,WHITE K,6,6 - 15,145,RSA,2:25,Goal,1
Action shot,10.0,5,15,JPN,2.0,MORI T,6,6 - 15,94,JPN,1:34,Saved,0
Counter attack,7.0,5,4,JPN,2.0,NAKANO Y,0,0 - 4,78,JPN,1:18,Goal,1
Action shot,7.0,5,4,JPN,2.0,NAKANO Y,0,0 - 4,47,JPN,0:47,Missed,0
Action shot,10.0,5,4,JPN,2.0,MORI T,0,0 - 4,14,JPN,0:14,Saved,0
5m shot,12.0,5,4,JPN,2.0,WHITE K,0,0 - 4,0,RSA,0:00,Saved,0
Action shot,4.0,5,4,JPN,3.0,VERSFELD R,1,1 - 4,455,RSA,7:35,Goal,1
5m shot,11.0,5,4,JPN,3.0,TOKUMOTO M,1,1 - 4,429,JPN,7:09,Missed,0
Counter attack,11.0,5,5,JPN,3.0,TOKUMOTO M,1,1 - 5,413,JPN,6:53,Goal,1
Counter attack,2.0,5,6,JPN,3.0,SAKANOUE C,1,1 - 6,386,JPN,6:26,Goal,1
Action shot,7.0,5,6,JPN,3.0,KAY K,1,1 - 6,365,RSA,6:05,Saved,0
Action shot,11.0,5,6,JPN,3.0,O'HANLON D,2,2 - 6,341,RSA,5:41,Goal,1
Counter attack,5.0,5,6,JPN,3.0,NAKATA M,2,2 - 6,303,JPN,5:03,Saved,0
Counter attack,8.0,5,7,JPN,3.0,HASHIGUCHI M,2,2 - 7,298,JPN,4:58,Goal,1
Counter attack,7.0,5,8,JPN,3.0,NAKANO Y,2,2 - 8,264,JPN,4:24,Goal,1
Counter attack,2.0,5,9,JPN,3.0,SAKANOUE C,2,2 - 9,237,JPN,3:57,Goal,1
Action shot,10.0,5,10,JPN,3.0,MORI T,2,2 - 10,186,JPN,3:06,Goal,1
Centre shot,8.0,5,10,JPN,3.0,HASHIGUCHI M,2,2 - 10,136,JPN,2:16,Saved,0
Action shot,7.0,5,11,JPN,3.0,NAKANO Y,2,2 - 11,124,JPN,2:04,Goal,1
Action shot,3.0,5,11,JPN,3.0,PALEY K,2,2 - 11,98,RSA,1:38,Saved,0
5m shot,5.0,5,12,JPN,3.0,NAKATA M,2,2 - 12,78,JPN,1:18,Goal,1
Centre shot,7.0,5,12,JPN,3.0,KAY K,2,2 - 12,61,RSA,1:01,Post,0
Centre shot,7.0,5,12,JPN,3.0,KAY K,3,3 - 12,55,RSA,0:55,Goal,1
5m shot,12.0,5,12,JPN,3.0,SUZUKI K,3,3 - 12,32,JPN,0:32,Saved,0
Extra player shot,7.0,5,12,JPN,3.0,KAY K,3,3 - 12,1,RSA,0:01,Missed,0
5m shot,10.0,5,13,JPN,4.0,MORI T,3,3 - 13,422,JPN,7:02,Goal,1
Centre shot,7.0,5,13,JPN,4.0,KAY K,3,3 - 13,406,RSA,6:46,Saved,0
Extra player shot,12.0,5,13,JPN,4.0,WHITE K,4,4 - 13,358,RSA,5:58,Goal,1
5m shot,4.0,5,13,JPN,4.0,MAGARIYAMA S,4,4 - 13,311,JPN,5:11,Post,0
Action shot,6.0,5,13,JPN,4.0,HALLENDORFF A,5,5 - 13,289,RSA,4:49,Goal,1
Action shot,9.0,5,14,JPN,4.0,HOSOYA K,5,5 - 14,250,JPN,4:10,Goal,1
Counter attack,6.0,5,15,JPN,4.0,TAKAHASHI A,5,5 - 15,221,JPN,3:41,Goal,1
Extra player shot,5.0,5,15,JPN,4.0,SCHOOLING M,7,7 - 15,99,RSA,1:39,Goal,1
Counter attack,4.0,5,15,JPN,4.0,MAGARIYAMA S,7,7 - 15,6,JPN,0:06,Saved,0
