Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,0,1,0,ESP,1.0,MOTOS MARTIN J,0 - 0,480,ESP,8:00
Starting goalkeeper,1.0,0,1,0,ESP,1.0,FLEGKAS K,0 - 0,480,GRE,8:00
Sprint won possession,2.0,0,1,0,ESP,1.0,GENIDOUNIAS K,0 - 0,480,GRE,8:00
5m shot - Saved,11.0,0,1,0,ESP,1.0,GOUNAS A,0 - 0,451,GRE,7:31
5m shot - Goal,3.0,0,1,1,ESP,1.0,GRANADOS ORTEGA A,1 - 0,421,ESP,7:01
20 sec. exclusion in centre,4.0,0,1,1,ESP,1.0,del TORO M,1 - 0,400,ESP,6:40
Extra player shot - Blocked,12.0,0,1,1,ESP,1.0,VLACHOPOULOS A,1 - 0,385,GRE,6:25
Extra player shot - Goal,12.0,1,1,1,ESP,1.0,VLACHOPOULOS A,1 - 1,381,GRE,6:21
Turnover foul,9.0,1,1,1,ESP,1.0,TAHULL COMPTE R,1 - 1,354,ESP,5:54
Steal,3.0,1,1,1,ESP,1.0,DELAKAS E,1 - 1,354,GRE,5:54
Action shot - Goal,5.0,2,1,1,ESP,1.0,FOUNTOULIS I,1 - 2,339,GRE,5:39
5m shot - Saved,6.0,2,1,1,ESP,1.0,MINGUELL ALFEREZ M,1 - 2,311,ESP,5:11
20 sec. exclusion in centre,7.0,2,1,1,ESP,1.0,PONTIKEAS K,1 - 2,302,GRE,5:02
Extra player shot - Post,11.0,2,1,1,ESP,1.0,MALLARACH GUELL B,1 - 2,284,ESP,4:44
20 sec. exclusion in centre,5.0,2,1,1,ESP,1.0,BUSTOS SANCHEZ A,1 - 2,264,ESP,4:24
Extra player shot - Goal,5.0,3,1,1,ESP,1.0,FOUNTOULIS I,1 - 3,253,GRE,4:13
5m shot - Blocked,11.0,3,1,1,ESP,1.0,MALLARACH GUELL B,1 - 3,222,ESP,3:42
Turnover foul,2.0,3,1,1,ESP,1.0,MUNARRIZ EGANA A,1 - 3,193,ESP,3:13
Steal,12.0,3,1,1,ESP,1.0,VLACHOPOULOS A,1 - 3,193,GRE,3:13
Turnover foul,9.0,3,1,1,ESP,1.0,MOURIKIS K,1 - 3,166,GRE,2:46
5m shot - Saved,11.0,3,1,1,ESP,1.0,MALLARACH GUELL B,1 - 3,139,ESP,2:19
Action shot - Missed,2.0,3,1,1,ESP,1.0,GENIDOUNIAS K,1 - 3,114,GRE,1:54
Turnover foul,11.0,3,1,1,ESP,1.0,MALLARACH GUELL B,1 - 3,91,ESP,1:31
5m shot - Post,11.0,3,1,1,ESP,1.0,GOUNAS A,1 - 3,68,GRE,1:08
Time-Out,,3,1,1,ESP,1.0,,1 - 3,66,GRE,1:06
