Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Centre shot,7.0,1,0,CHN,1.0,KAY K,0,0 - 0,457,RSA,7:37,Saved,0
Centre shot,6.0,1,0,CHN,1.0,SUN Y,0,0 - 0,438,CHN,7:18,Saved,0
Extra player shot,6.0,1,1,CHN,1.0,SUN Y,0,1 - 0,382,CHN,6:22,Goal,1
5m shot,6.0,1,1,CHN,1.0,SCHOOLING T,0,1 - 0,358,RSA,5:58,Missed,0
Extra player shot,10.0,1,2,CHN,1.0,MA H,0,2 - 0,333,CHN,5:33,Goal,1
Centre shot,5.0,1,2,CHN,1.0,HE J,0,2 - 0,300,CHN,5:00,Saved,0
Extra player shot,8.0,1,2,CHN,1.0,KEET L,0,2 - 0,257,RSA,4:17,Post,0
5m shot,4.0,1,2,CHN,1.0,SUN Y,0,2 - 0,235,CHN,3:55,Post,0
Action shot,12.0,1,2,CHN,1.0,WHITE K,0,2 - 0,205,RSA,3:25,Post,0
Extra player shot,7.0,1,3,CHN,1.0,SONG D,0,3 - 0,167,CHN,2:47,Goal,1
5m shot,11.0,1,3,CHN,1.0,ZHANG C,0,3 - 0,135,CHN,2:15,Missed,0
5m shot,8.0,1,4,CHN,1.0,XU L,0,4 - 0,97,CHN,1:37,Goal,1
5m shot,11.0,1,4,CHN,1.0,ZHANG C,0,4 - 0,44,CHN,0:44,Saved,0
Action shot,10.0,1,4,CHN,1.0,KEET M,0,4 - 0,14,RSA,0:14,Saved,0
5m shot,11.0,1,4,CHN,1.0,ZHANG C,0,4 - 0,4,CHN,0:04,Missed,0
5m shot,10.0,1,4,CHN,2.0,MA H,0,4 - 0,434,CHN,7:14,Post,0
Extra player shot,5.0,1,5,CHN,2.0,HE J,0,5 - 0,422,CHN,7:02,Goal,1
5m shot,12.0,1,5,CHN,2.0,WHITE K,0,5 - 0,401,RSA,6:41,Post,0
Counter attack,4.0,1,6,CHN,2.0,SUN Y,0,6 - 0,378,CHN,6:18,Goal,1
Extra player shot,10.0,1,7,CHN,2.0,MA H,0,7 - 0,337,CHN,5:37,Goal,1
Action shot,2.0,1,7,CHN,2.0,SCHMIDT K,0,7 - 0,312,RSA,5:12,Missed,0
5m shot,9.0,1,7,CHN,2.0,MEI X,0,7 - 0,211,CHN,3:31,Saved,0
Centre shot,6.0,1,7,CHN,2.0,SUN Y,0,7 - 0,189,CHN,3:09,Missed,0
Centre shot,8.0,1,7,CHN,2.0,KEET L,0,7 - 0,165,RSA,2:45,Saved,0
Action shot,2.0,1,7,CHN,2.0,SCHMIDT K,0,7 - 0,118,RSA,1:58,Post,0
5m shot,9.0,1,7,CHN,2.0,MEI X,0,7 - 0,97,CHN,1:37,Missed,0
Counter attack,10.0,1,8,CHN,2.0,MA H,0,8 - 0,61,CHN,1:01,Goal,1
5m shot,11.0,1,8,CHN,2.0,KILLEEN L,0,8 - 0,47,RSA,0:47,Saved,0
5m shot,1.0,1,8,CHN,2.0,YANG J,0,8 - 0,1,CHN,0:01,Saved,0
Extra player shot,6.0,1,9,CHN,3.0,SUN Y,0,9 - 0,436,CHN,7:16,Goal,1
5m shot,9.0,1,9,CHN,3.0,CHRISTIAN D,0,9 - 0,412,RSA,6:52,Missed,0
Penalty shot,7.0,1,10,CHN,3.0,SONG D,0,10 - 0,400,CHN,6:40,Goal,1
5m shot,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,384,RSA,6:24,Saved,0
5m shot,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,369,RSA,6:09,Post,0
5m shot,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,293,RSA,4:53,Post,0
Extra player shot,10.0,1,11,CHN,3.0,MA H,0,11 - 0,198,CHN,3:18,Goal,1
5m shot,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,180,RSA,3:00,Blocked,0
5m shot,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,125,RSA,2:05,Saved,0
Action shot,11.0,1,11,CHN,3.0,KILLEEN L,0,11 - 0,107,RSA,1:47,Saved,0
5m shot,8.0,1,12,CHN,3.0,XU L,0,12 - 0,89,CHN,1:29,Goal,1
Action shot,10.0,1,12,CHN,3.0,KEET M,0,12 - 0,73,RSA,1:13,Saved,0
5m shot,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,59,RSA,0:59,Blocked,0
5m shot,6.0,1,12,CHN,3.0,SUN Y,0,12 - 0,45,CHN,0:45,Saved,0
5m shot,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,15,RSA,0:15,Saved,0
5m shot,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,9,RSA,0:09,Saved,0
5m shot,10.0,1,13,CHN,3.0,MA H,0,13 - 0,6,CHN,0:06,Goal,1
5m shot,11.0,1,13,CHN,4.0,ZHANG C,0,13 - 0,450,CHN,7:30,Post,0
Counter attack,7.0,1,14,CHN,4.0,SONG D,0,14 - 0,362,CHN,6:02,Goal,1
5m shot,3.0,1,14,CHN,4.0,LIU P,0,14 - 0,310,CHN,5:10,Missed,0
Centre shot,8.0,1,14,CHN,4.0,KEET L,1,14 - 1,290,RSA,4:50,Goal,1
Action shot,2.0,1,15,CHN,4.0,TENG F,1,15 - 1,271,CHN,4:31,Goal,1
Centre shot,7.0,1,15,CHN,4.0,KAY K,1,15 - 1,250,RSA,4:10,Saved,0
Centre shot,4.0,1,15,CHN,4.0,RAWSTRON C,1,15 - 1,230,RSA,3:50,Saved,0
Centre shot,2.0,1,16,CHN,4.0,TENG F,1,16 - 1,212,CHN,3:32,Goal,1
Centre shot,7.0,1,16,CHN,4.0,KAY K,1,16 - 1,198,RSA,3:18,Saved,0
5m shot,10.0,1,16,CHN,4.0,KEET M,2,16 - 2,154,RSA,2:34,Goal,1
Action shot,12.0,1,16,CHN,4.0,XIA Q,2,16 - 2,134,CHN,2:14,Post,0
5m shot,10.0,1,16,CHN,4.0,KEET M,2,16 - 2,105,RSA,1:45,Saved,0
5m shot,9.0,1,16,CHN,4.0,CHRISTIAN D,2,16 - 2,83,RSA,1:23,Blocked,0
Centre shot,3.0,1,16,CHN,4.0,LIU P,2,16 - 2,36,CHN,0:36,Saved,0
5m shot,11.0,1,16,CHN,4.0,KILLEEN L,2,16 - 2,12,RSA,0:12,Blocked,0
5m shot,12.0,2,0,NZL,1.0,MYLES A,0,0 - 0,456,NZL,7:36,Saved,0
Action shot,12.0,2,0,NZL,1.0,WHITE K,0,0 - 0,429,RSA,7:09,Missed,0
Counter attack,6.0,2,0,NZL,1.0,SCHOOLING T,0,0 - 0,394,RSA,6:34,Missed,0
Extra player shot,3.0,2,0,NZL,1.0,MASON K,0,0 - 0,360,NZL,6:00,Saved,0
Action shot,11.0,2,1,NZL,1.0,HUDSON K,0,0 - 1,351,NZL,5:51,Goal,1
Action shot,6.0,2,1,NZL,1.0,SCHOOLING T,0,0 - 1,330,RSA,5:30,Saved,0
Action shot,11.0,2,2,NZL,1.0,HUDSON K,0,0 - 2,307,NZL,5:07,Goal,1
Centre shot,7.0,2,2,NZL,1.0,KAY K,0,0 - 2,290,RSA,4:50,Post,0
5m shot,12.0,2,2,NZL,1.0,WHITE K,0,0 - 2,242,RSA,4:02,Missed,0
Action shot,11.0,2,2,NZL,1.0,KILLEEN L,0,0 - 2,190,RSA,3:10,Post,0
5m shot,10.0,2,2,NZL,1.0,BOWRY C,0,0 - 2,167,NZL,2:47,Saved,0
Action shot,12.0,2,2,NZL,1.0,WHITE K,1,1 - 2,147,RSA,2:27,Goal,1
5m shot,3.0,2,2,NZL,1.0,MASON K,1,1 - 2,96,NZL,1:36,Saved,0
5m shot,8.0,2,3,NZL,1.0,LEWIS D,1,1 - 3,20,NZL,0:20,Goal,1
Penalty shot,6.0,2,3,NZL,1.0,SCHOOLING T,2,2 - 3,2,RSA,0:02,Goal,1
5m shot,3.0,2,3,NZL,1.0,MASON K,2,2 - 3,1,NZL,0:01,Missed,0
Penalty shot,6.0,2,3,NZL,2.0,SCHOOLING T,2,2 - 3,445,RSA,7:25,Missed,0
Action shot,7.0,2,4,NZL,2.0,LANDRY S,2,2 - 4,406,NZL,6:46,Goal,1
Extra player shot,3.0,2,5,NZL,2.0,MASON K,2,2 - 5,369,NZL,6:09,Goal,1
5m shot,10.0,2,5,NZL,2.0,BOWRY C,2,2 - 5,335,NZL,5:35,Post,0
Centre shot,7.0,2,5,NZL,2.0,KAY K,3,3 - 5,308,RSA,5:08,Goal,1
Action shot,10.0,2,5,NZL,2.0,BOWRY C,3,3 - 5,279,NZL,4:39,Saved,0
Centre shot,10.0,2,5,NZL,2.0,BOWRY C,3,3 - 5,251,NZL,4:11,Saved,0
Action shot,9.0,2,5,NZL,2.0,SIEPRATH L,3,3 - 5,242,NZL,4:02,Missed,0
Action shot,12.0,2,10,NZL,4.0,WHITE K,6,6 - 10,381,RSA,6:21,Goal,1
5m shot,12.0,2,10,NZL,4.0,MYLES A,6,6 - 10,359,NZL,5:59,Post,0
Action shot,10.0,2,10,NZL,4.0,KEET M,6,6 - 10,297,RSA,4:57,Missed,0
Action shot,11.0,2,11,NZL,4.0,HUDSON K,6,6 - 11,219,NZL,3:39,Goal,1
Extra player shot,6.0,2,11,NZL,2.0,SMITH L,6,6 - 11,168,NZL,2:48,Saved,0
Action shot,8.0,2,11,NZL,2.0,KEET L,6,6 - 11,138,RSA,2:18,Saved,0
Action shot,11.0,2,6,NZL,2.0,HUDSON K,3,3 - 6,115,NZL,1:55,Goal,1
Action shot,12.0,2,6,NZL,2.0,MYLES A,3,3 - 6,83,NZL,1:23,Saved,0
5m shot,3.0,2,6,NZL,2.0,MASON K,3,3 - 6,24,NZL,0:24,Post,0
Action shot,12.0,2,6,NZL,3.0,WHITE K,3,3 - 6,439,RSA,7:19,Saved,0
Extra player shot,3.0,2,6,NZL,3.0,MASON K,3,3 - 6,393,NZL,6:33,Saved,0
Extra player shot,10.0,2,6,NZL,3.0,BOWRY C,3,3 - 6,342,NZL,5:42,Blocked,0
Action shot,3.0,2,6,NZL,3.0,MASON K,3,3 - 6,290,NZL,4:50,Missed,0
Centre shot,4.0,2,6,NZL,3.0,LEWIS N,3,3 - 6,244,NZL,4:04,Saved,0
Action shot,10.0,2,6,NZL,3.0,KEET M,4,4 - 6,232,RSA,3:52,Goal,1
Action shot,12.0,2,7,NZL,3.0,MYLES A,4,4 - 7,190,NZL,3:10,Goal,1
Extra player shot,11.0,2,7,NZL,3.0,KILLEEN L,4,4 - 7,161,RSA,2:41,Post,0
Centre shot,11.0,2,7,NZL,3.0,HUDSON K,4,4 - 7,150,NZL,2:30,Missed,0
Extra player shot,12.0,2,8,NZL,3.0,MYLES A,4,4 - 8,106,NZL,1:46,Goal,1
Action shot,6.0,2,8,NZL,3.0,SMITH L,4,4 - 8,21,NZL,0:21,Missed,0
Action shot,4.0,2,9,NZL,3.0,LEWIS N,4,4 - 9,1,NZL,0:01,Goal,1
Extra player shot,12.0,2,10,NZL,4.0,MYLES A,4,4 - 10,439,NZL,7:19,Goal,1
Extra player shot,7.0,2,10,NZL,4.0,KAY K,5,5 - 10,414,RSA,6:54,Goal,1
5m shot,10.0,2,10,NZL,4.0,BOWRY C,5,5 - 10,184,NZL,3:04,Saved,0
Counter attack,12.0,2,12,NZL,4.0,MYLES A,6,6 - 12,157,NZL,2:37,Goal,1
Action shot,7.0,2,13,NZL,4.0,LANDRY S,6,6 - 13,125,NZL,2:05,Goal,1
Action shot,12.0,2,13,NZL,4.0,WHITE K,7,7 - 13,84,RSA,1:24,Goal,1
5m shot,9.0,2,13,NZL,4.0,SIEPRATH L,7,7 - 13,56,NZL,0:56,Missed,0
5m shot,12.0,3,0,AUS,1.0,WHITE K,0,0 - 0,425,RSA,7:05,Saved,0
Extra player shot,7.0,3,0,AUS,1.0,WEBSTER R,0,0 - 0,326,AUS,5:26,Missed,0
Action shot,11.0,3,0,AUS,1.0,GOFERS K,0,0 - 0,288,AUS,4:48,Saved,0
Action shot,9.0,3,0,AUS,1.0,ARANCINI Z,0,0 - 0,269,AUS,4:29,Post,0
Action shot,6.0,3,0,AUS,1.0,SCHOOLING T,0,0 - 0,201,RSA,3:21,Saved,0
Extra player shot,11.0,3,0,AUS,1.0,GOFERS K,0,0 - 0,158,AUS,2:38,Saved,0
Penalty shot,7.0,3,1,AUS,1.0,WEBSTER R,0,1 - 0,158,AUS,2:38,Goal,1
Action shot,12.0,3,2,AUS,1.0,ZAGAME N,0,2 - 0,125,AUS,2:05,Goal,1
5m shot,10.0,3,2,AUS,1.0,KEET M,0,2 - 0,105,RSA,1:45,Missed,0
Counter attack,10.0,3,2,AUS,1.0,SOUTHERN A,0,2 - 0,96,AUS,1:36,Saved,0
Centre shot,4.0,3,3,AUS,1.0,LINCOLN-SMITH H,0,3 - 0,84,AUS,1:24,Goal,1
Action shot,5.0,3,4,AUS,1.0,BISHOP I,0,4 - 0,38,AUS,0:38,Goal,1
5m shot,12.0,3,4,AUS,1.0,WHITE K,0,4 - 0,19,RSA,0:19,Missed,0
Action shot,7.0,3,4,AUS,2.0,KAY K,0,4 - 0,460,RSA,7:40,Blocked,0
5m shot,10.0,3,4,AUS,2.0,SOUTHERN A,0,4 - 0,446,AUS,7:26,Post,0
Action shot,4.0,3,5,AUS,2.0,LINCOLN-SMITH H,0,5 - 0,417,AUS,6:57,Goal,1
Action shot,12.0,3,5,AUS,2.0,WHITE K,0,5 - 0,352,RSA,5:52,Saved,0
Centre shot,2.0,3,6,AUS,2.0,APPEL J,0,6 - 0,337,AUS,5:37,Goal,1
Counter attack,3.0,3,6,AUS,2.0,BUCKLING H,0,6 - 0,315,AUS,5:15,Post,0
Counter attack,11.0,3,7,AUS,2.0,GOFERS K,0,7 - 0,286,AUS,4:46,Goal,1
Action shot,3.0,3,7,AUS,2.0,PALEY K,0,7 - 0,262,RSA,4:22,Blocked,0
Action shot,8.0,3,7,AUS,2.0,McGHIE G,0,7 - 0,217,AUS,3:37,Saved,0
Action shot,12.0,3,7,AUS,2.0,WHITE K,1,7 - 1,171,RSA,2:51,Goal,1
5m shot,8.0,3,7,AUS,2.0,McGHIE G,1,7 - 1,143,AUS,2:23,Post,0
Action shot,7.0,3,7,AUS,4.0,WEBSTER R,1,7 - 1,70,AUS,1:10,Saved,0
Action shot,7.0,3,8,AUS,2.0,WEBSTER R,1,8 - 1,102,AUS,1:42,Goal,1
Extra player shot,7.0,3,8,AUS,2.0,KAY K,1,8 - 1,73,RSA,1:13,Blocked,0
Action shot,12.0,3,8,AUS,2.0,WHITE K,1,8 - 1,19,RSA,0:19,Post,0
Extra player shot,7.0,3,9,AUS,2.0,WEBSTER R,1,9 - 1,3,AUS,0:03,Goal,1
5m shot,12.0,3,9,AUS,2.0,WHITE K,1,9 - 1,1,RSA,0:01,Saved,0
Extra player shot,9.0,3,10,AUS,3.0,ARANCINI Z,1,10 - 1,443,AUS,7:23,Goal,1
5m shot,4.0,3,10,AUS,3.0,LINCOLN-SMITH H,1,10 - 1,398,AUS,6:38,Missed,0
5m shot,7.0,3,10,AUS,3.0,KAY K,1,10 - 1,368,RSA,6:08,Blocked,0
Action shot,9.0,3,11,AUS,3.0,ARANCINI Z,1,11 - 1,279,AUS,4:39,Goal,1
Extra player shot,5.0,3,11,AUS,3.0,SCHOOLING M,1,11 - 1,242,RSA,4:02,Saved,0
Action shot,7.0,3,11,AUS,3.0,WEBSTER R,1,11 - 1,219,AUS,3:39,Post,0
