Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Turnover foul,7.0,1,8,CHN,2.0,KAY K,0,8 - 0,5,RSA,0:05
5m shot - Saved,1.0,1,8,CHN,2.0,YANG J,0,8 - 0,1,CHN,0:01
Starting goalkeeper,1.0,1,8,CHN,3.0,JACOBS A,0,8 - 0,480,RSA,8:00
Starting goalkeeper,13.0,1,8,CHN,3.0,WANG Y,0,8 - 0,480,CHN,8:00
Sprint won possession,11.0,1,8,CHN,3.0,KILLEEN L,0,8 - 0,480,RSA,8:00
Turnover foul,4.0,1,8,CHN,3.0,RAWSTRON C,0,8 - 0,463,RSA,7:43
20 sec. exclusion in centre,9.0,1,8,CHN,3.0,CHRISTIAN D,0,8 - 0,441,RSA,7:21
Extra player shot - Goal,6.0,1,9,CHN,3.0,SUN Y,0,9 - 0,436,CHN,7:16
5m shot - Missed,9.0,1,9,CHN,3.0,CHRISTIAN D,0,9 - 0,412,RSA,6:52
Penalty foul,9.0,1,9,CHN,3.0,CHRISTIAN D,0,9 - 0,400,RSA,6:40
Penalty shot - Goal,7.0,1,10,CHN,3.0,SONG D,0,10 - 0,400,CHN,6:40
5m shot - Saved,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,384,RSA,6:24
5m shot - Post,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,369,RSA,6:09
Turnover foul,4.0,1,10,CHN,3.0,SUN Y,0,10 - 0,355,CHN,5:55
Steal,2.0,1,10,CHN,3.0,SCHMIDT K,0,10 - 0,355,RSA,5:55
Turnover foul,8.0,1,10,CHN,3.0,KEET L,0,10 - 0,338,RSA,5:38
Steal,2.0,1,10,CHN,3.0,TENG F,0,10 - 0,338,CHN,5:38
Turnover foul,11.0,1,10,CHN,3.0,ZHANG C,0,10 - 0,320,CHN,5:20
Steal,5.0,1,10,CHN,3.0,SCHOOLING M,0,10 - 0,320,RSA,5:20
5m shot - Post,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,293,RSA,4:53
20 sec. exclusion in centre,2.0,1,10,CHN,3.0,SCHMIDT K,0,10 - 0,272,RSA,4:32
Turnover foul,7.0,1,10,CHN,3.0,SONG D,0,10 - 0,254,CHN,4:14
Steal,8.0,1,10,CHN,3.0,KEET L,0,10 - 0,254,RSA,4:14
Turnover foul,7.0,1,10,CHN,3.0,KAY K,0,10 - 0,214,RSA,3:34
20 sec. exclusion in centre,8.0,1,10,CHN,3.0,KEET L,0,10 - 0,214,RSA,3:34
Time-Out,,1,10,CHN,3.0,,0,10 - 0,214,CHN,3:34
Extra player shot - Goal,10.0,1,11,CHN,3.0,MA H,0,11 - 0,198,CHN,3:18
5m shot - Blocked,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,180,RSA,3:00
Turnover foul,12.0,1,11,CHN,3.0,XIA Q,0,11 - 0,154,CHN,2:34
Steal,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,154,RSA,2:34
5m shot - Saved,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,125,RSA,2:05
Action shot - Saved,11.0,1,11,CHN,3.0,KILLEEN L,0,11 - 0,107,RSA,1:47
5m shot - Goal,8.0,1,12,CHN,3.0,XU L,0,12 - 0,89,CHN,1:29
Action shot - Saved,10.0,1,12,CHN,3.0,KEET M,0,12 - 0,73,RSA,1:13
5m shot - Blocked,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,59,RSA,0:59
5m shot - Saved,6.0,1,12,CHN,3.0,SUN Y,0,12 - 0,45,CHN,0:45
5m shot - Saved,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,15,RSA,0:15
5m shot - Saved,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,9,RSA,0:09
5m shot - Goal,10.0,1,13,CHN,3.0,MA H,0,13 - 0,6,CHN,0:06
Starting goalkeeper,1.0,1,13,CHN,4.0,JACOBS A,0,13 - 0,480,RSA,8:00
Starting goalkeeper,13.0,1,13,CHN,4.0,WANG Y,0,13 - 0,480,CHN,8:00
Sprint won possession,7.0,1,13,CHN,4.0,SONG D,0,13 - 0,480,CHN,8:00
5m shot - Post,11.0,1,13,CHN,4.0,ZHANG C,0,13 - 0,450,CHN,7:30
Turnover foul,8.0,1,13,CHN,4.0,KEET L,0,13 - 0,415,RSA,6:55
Steal,9.0,1,13,CHN,4.0,MEI X,0,13 - 0,415,CHN,6:55
Turnover foul,6.0,1,13,CHN,4.0,SUN Y,0,13 - 0,389,CHN,6:29
20 sec. exclusion in field,12.0,1,13,CHN,4.0,XIA Q,0,13 - 0,389,CHN,6:29
Time-Out,,1,13,CHN,4.0,,0,13 - 0,389,RSA,6:29
Turnover foul,10.0,1,13,CHN,4.0,KEET M,0,13 - 0,371,RSA,6:11
Steal,7.0,1,13,CHN,4.0,SONG D,0,13 - 0,371,CHN,6:11
Counter attack - Goal,7.0,1,14,CHN,4.0,SONG D,0,14 - 0,362,CHN,6:02
Turnover foul,2.0,1,14,CHN,4.0,SCHMIDT K,0,14 - 0,335,RSA,5:35
Steal,4.0,1,14,CHN,4.0,SUN Y,0,14 - 0,335,CHN,5:35
5m shot - Missed,3.0,1,14,CHN,4.0,LIU P,0,14 - 0,310,CHN,5:10
Centre shot - Goal,8.0,1,14,CHN,4.0,KEET L,1,14 - 1,290,RSA,4:50
Action shot - Goal,2.0,1,15,CHN,4.0,TENG F,1,15 - 1,271,CHN,4:31
Centre shot - Saved,7.0,1,15,CHN,4.0,KAY K,1,15 - 1,250,RSA,4:10
Centre shot - Saved,4.0,1,15,CHN,4.0,RAWSTRON C,1,15 - 1,230,RSA,3:50
Centre shot - Goal,2.0,1,16,CHN,4.0,TENG F,1,16 - 1,212,CHN,3:32
Centre shot - Saved,7.0,1,16,CHN,4.0,KAY K,1,16 - 1,198,RSA,3:18
Turnover foul,12.0,1,16,CHN,4.0,XIA Q,1,16 - 1,179,CHN,2:59
Steal,9.0,1,16,CHN,4.0,CHRISTIAN D,1,16 - 1,179,RSA,2:59
5m shot - Goal,10.0,1,16,CHN,4.0,KEET M,2,16 - 2,154,RSA,2:34
Action shot - Post,12.0,1,16,CHN,4.0,XIA Q,2,16 - 2,134,CHN,2:14
5m shot - Saved,10.0,1,16,CHN,4.0,KEET M,2,16 - 2,105,RSA,1:45
5m shot - Blocked,9.0,1,16,CHN,4.0,CHRISTIAN D,2,16 - 2,83,RSA,1:23
20 sec. exclusion in centre,10.0,1,16,CHN,4.0,KEET M,2,16 - 2,60,RSA,1:00
Time-Out,,1,16,CHN,4.0,,2,16 - 2,60,CHN,1:00
Centre shot - Saved,3.0,1,16,CHN,4.0,LIU P,2,16 - 2,36,CHN,0:36
5m shot - Blocked,11.0,1,16,CHN,4.0,KILLEEN L,2,16 - 2,12,RSA,0:12
Starting goalkeeper,1.0,2,0,NZL,1.0,MILLAR B,0,0 - 0,480,NZL,8:00
Starting goalkeeper,1.0,2,0,NZL,1.0,JACOBS A,0,0 - 0,480,RSA,8:00
Sprint won possession,12.0,2,0,NZL,1.0,MYLES A,0,0 - 0,480,NZL,8:00
5m shot - Saved,12.0,2,0,NZL,1.0,MYLES A,0,0 - 0,456,NZL,7:36
Action shot - Missed,12.0,2,0,NZL,1.0,WHITE K,0,0 - 0,429,RSA,7:09
Turnover foul,10.0,2,0,NZL,1.0,BOWRY C,0,0 - 0,407,NZL,6:47
Steal,6.0,2,0,NZL,1.0,SCHOOLING T,0,0 - 0,407,RSA,6:47
Counter attack - Missed,6.0,2,0,NZL,1.0,SCHOOLING T,0,0 - 0,394,RSA,6:34
20 sec. exclusion in centre,12.0,2,0,NZL,1.0,WHITE K,0,0 - 0,375,RSA,6:15
Extra player shot - Saved,3.0,2,0,NZL,1.0,MASON K,0,0 - 0,360,NZL,6:00
Action shot - Goal,11.0,2,1,NZL,1.0,HUDSON K,0,0 - 1,351,NZL,5:51
Action shot - Saved,6.0,2,1,NZL,1.0,SCHOOLING T,0,0 - 1,330,RSA,5:30
Action shot - Goal,11.0,2,2,NZL,1.0,HUDSON K,0,0 - 2,307,NZL,5:07
Centre shot - Post,7.0,2,2,NZL,1.0,KAY K,0,0 - 2,290,RSA,4:50
Turnover foul,12.0,2,2,NZL,1.0,MYLES A,0,0 - 2,270,NZL,4:30
5m shot - Missed,12.0,2,2,NZL,1.0,WHITE K,0,0 - 2,242,RSA,4:02
Turnover foul,2.0,2,2,NZL,1.0,COX E,0,0 - 2,224,NZL,3:44
20 sec. exclusion in field,6.0,2,2,NZL,1.0,SMITH L,0,0 - 2,211,NZL,3:31
Action shot - Post,11.0,2,2,NZL,1.0,KILLEEN L,0,0 - 2,190,RSA,3:10
5m shot - Saved,10.0,2,2,NZL,1.0,BOWRY C,0,0 - 2,167,NZL,2:47
Action shot - Goal,12.0,2,2,NZL,1.0,WHITE K,1,1 - 2,147,RSA,2:27
Turnover foul,4.0,2,2,NZL,1.0,LEWIS N,1,1 - 2,125,NZL,2:05
Steal,10.0,2,2,NZL,1.0,KEET M,1,1 - 2,125,RSA,2:05
Turnover foul,8.0,2,2,NZL,1.0,KEET L,1,1 - 2,111,RSA,1:51
