Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
Action shot,2.0,1,3,RSA,4.0,le ROUX E,20,20 - 3,85,RSA,1:25,Post,0
Action shot,6.0,1,3,RSA,4.0,PIJETLOVIC D,20,20 - 3,4,SRB,0:04,Missed,0
5m shot,1.0,1,3,RSA,4.0,LEWIS J,20,20 - 3,1,RSA,0:01,Saved,0
5m shot,11.0,2,0,ESP,1.0,MALLARACH GUELL B,0,0 - 0,451,ESP,7:31,Blocked,0
5m shot,6.0,2,0,ESP,1.0,MINGUELL ALFEREZ M,0,0 - 0,335,ESP,5:35,Saved,0
Extra player shot,5.0,2,1,ESP,1.0,BUSTOS SANCHEZ A,0,1 - 0,176,ESP,2:56,Goal,1
Action shot,11.0,2,1,ESP,1.0,PRLAINOVIC A,1,1 - 1,148,SRB,2:28,Goal,1
Extra player shot,11.0,2,1,ESP,1.0,PRLAINOVIC A,2,1 - 2,106,SRB,1:46,Goal,1
Centre shot,9.0,2,1,ESP,1.0,TAHULL COMPTE R,2,1 - 2,97,ESP,1:37,Saved,0
Penalty shot,10.0,2,1,ESP,1.0,FILIPOVIC F,3,1 - 3,69,SRB,1:09,Goal,1
Centre shot,6.0,2,1,ESP,1.0,MINGUELL ALFEREZ M,3,1 - 3,13,ESP,0:13,Blocked,0
Centre shot,6.0,2,1,ESP,1.0,MINGUELL ALFEREZ M,3,1 - 3,3,ESP,0:03,Blocked,0
Extra player shot,7.0,2,1,ESP,2.0,UBOVIC N,4,1 - 4,439,SRB,7:19,Goal,1
Centre shot,2.0,2,1,ESP,2.0,MANDIC D,5,1 - 5,329,SRB,5:29,Goal,1
5m shot,11.0,2,1,ESP,2.0,PRLAINOVIC A,5,1 - 5,273,SRB,4:33,Saved,0
5m shot,6.0,2,1,ESP,2.0,MINGUELL ALFEREZ M,5,1 - 5,244,ESP,4:04,Saved,0
5m shot,10.0,2,1,ESP,2.0,FILIPOVIC F,5,1 - 5,215,SRB,3:35,Blocked,0
Extra player shot,2.0,2,1,ESP,2.0,MUNARRIZ EGANA A,5,1 - 5,171,ESP,2:51,Blocked,0
5m shot,4.0,2,1,ESP,2.0,RANDELOVIC S,5,1 - 5,141,SRB,2:21,Saved,0
5m shot,11.0,2,1,ESP,2.0,MALLARACH GUELL B,5,1 - 5,115,ESP,1:55,Saved,0
5m shot,10.0,2,1,ESP,2.0,FILIPOVIC F,5,1 - 5,73,SRB,1:13,Saved,0
Action shot,5.0,2,1,ESP,2.0,BUSTOS SANCHEZ A,5,1 - 5,44,ESP,0:44,Blocked,0
Counter attack,7.0,2,1,ESP,4.0,UBOVIC N,5,1 - 5,64,SRB,1:04,Saved,0
5m shot,7.0,2,1,ESP,4.0,BARROSO MACARRO A,5,1 - 5,38,ESP,0:38,Saved,0
Action shot,5.0,2,1,ESP,2.0,BUSTOS SANCHEZ A,5,1 - 5,1,ESP,0:01,Blocked,0
Action shot,8.0,2,2,ESP,3.0,ESPANOL LIFANTE A,5,2 - 5,432,ESP,7:12,Goal,1
Extra player shot,8.0,2,2,ESP,3.0,ALEKSIC M,6,2 - 6,403,SRB,6:43,Goal,1
Extra player shot,11.0,2,3,ESP,3.0,MALLARACH GUELL B,6,3 - 6,374,ESP,6:14,Goal,1
Extra player shot,10.0,2,3,ESP,3.0,FILIPOVIC F,7,3 - 7,337,SRB,5:37,Goal,1
5m shot,9.0,2,3,ESP,3.0,JAKSIC N,7,3 - 7,291,SRB,4:51,Post,0
5m shot,9.0,2,3,ESP,3.0,JAKSIC N,7,3 - 7,239,SRB,3:59,Missed,0
5m shot,11.0,2,3,ESP,3.0,MALLARACH GUELL B,7,3 - 7,216,ESP,3:36,Post,0
5m shot,10.0,2,3,ESP,3.0,FILIPOVIC F,7,3 - 7,200,SRB,3:20,Post,0
Action shot,12.0,2,3,ESP,3.0,MITORVIC S,8,3 - 8,161,SRB,2:41,Goal,1
Extra player shot,2.0,2,3,ESP,3.0,MUNARRIZ EGANA A,8,3 - 8,127,ESP,2:07,Saved,0
Action shot,6.0,2,3,ESP,3.0,MINGUELL ALFEREZ M,8,3 - 8,65,ESP,1:05,Blocked,0
5m shot,8.0,2,3,ESP,3.0,ALEKSIC M,8,3 - 8,40,SRB,0:40,Saved,0
5m shot,3.0,2,3,ESP,3.0,RASOVIC V,8,3 - 8,1,SRB,0:01,Post,0
5m shot,8.0,2,3,ESP,4.0,ESPANOL LIFANTE A,8,3 - 8,442,ESP,7:22,Blocked,0
Extra player shot,6.0,2,3,ESP,4.0,PIJETLOVIC D,9,3 - 9,415,SRB,6:55,Goal,1
5m shot,4.0,2,3,ESP,4.0,del TORO M,9,3 - 9,388,ESP,6:28,Missed,0
5m shot,8.0,2,3,ESP,4.0,ALEKSIC M,9,3 - 9,364,SRB,6:04,Saved,0
Action shot,7.0,2,4,ESP,4.0,BARROSO MACARRO A,9,4 - 9,311,ESP,5:11,Goal,1
Centre shot,7.0,2,4,ESP,4.0,UBOVIC N,10,4 - 10,298,SRB,4:58,Goal,1
5m shot,12.0,2,4,ESP,4.0,MITORVIC S,10,4 - 10,240,SRB,4:00,Post,0
Extra player shot,5.0,2,4,ESP,4.0,CUK M,11,4 - 11,217,SRB,3:37,Goal,1
Extra player shot,3.0,2,4,ESP,4.0,GRANADOS ORTEGA A,11,4 - 11,177,ESP,2:57,Saved,0
5m shot,4.0,2,4,ESP,4.0,RANDELOVIC S,11,4 - 11,151,SRB,2:31,Saved,0
Action shot,2.0,2,4,ESP,4.0,MUNARRIZ EGANA A,11,4 - 11,122,ESP,2:02,Blocked,0
5m shot,9.0,2,4,ESP,4.0,JAKSIC N,11,4 - 11,92,SRB,1:32,Saved,0
Extra player shot,5.0,2,5,ESP,4.0,BUSTOS SANCHEZ A,11,5 - 11,5,ESP,0:05,Goal,1
Centre shot,12.0,3,0,GRE,1.0,MITORVIC S,0,0 - 0,444,SRB,7:24,Post,0
Action shot,12.0,3,0,GRE,1.0,MITORVIC S,0,0 - 0,339,SRB,5:39,Blocked,0
Action shot,5.0,3,0,GRE,1.0,FOUNTOULIS I,0,0 - 0,292,GRE,4:52,Saved,0
Counter attack,2.0,3,0,GRE,1.0,MANDIC D,1,1 - 0,246,SRB,4:06,Goal,1
Action shot,2.0,3,1,GRE,1.0,GENIDOUNIAS K,1,1 - 1,219,GRE,3:39,Goal,1
5m shot,10.0,3,1,GRE,1.0,FILIPOVIC F,2,2 - 1,190,SRB,3:10,Goal,1
Action shot,12.0,3,1,GRE,1.0,VLACHOPOULOS A,2,2 - 1,113,GRE,1:53,Saved,0
Action shot,10.0,3,1,GRE,1.0,FILIPOVIC F,2,2 - 1,60,SRB,1:00,Saved,0
5m shot,8.0,3,1,GRE,1.0,ALEKSIC M,2,2 - 1,38,SRB,0:38,Saved,0
5m shot,5.0,3,1,GRE,2.0,FOUNTOULIS I,2,2 - 1,454,GRE,7:34,Saved,0
5m shot,11.0,3,1,GRE,2.0,PRLAINOVIC A,2,2 - 1,415,SRB,6:55,Missed,0
Action shot,11.0,3,1,GRE,2.0,GOUNAS A,2,2 - 1,398,GRE,6:38,Missed,0
Action shot,9.0,3,2,GRE,2.0,MOURIKIS K,2,2 - 2,285,GRE,4:45,Goal,1
Action shot,3.0,3,3,GRE,2.0,DELAKAS E,2,2 - 3,230,GRE,3:50,Goal,1
Action shot,2.0,3,3,GRE,2.0,MANDIC D,3,3 - 3,194,SRB,3:14,Goal,1
5m shot,2.0,3,3,GRE,2.0,GENIDOUNIAS K,3,3 - 3,166,GRE,2:46,Saved,0
5m shot,10.0,3,3,GRE,2.0,FILIPOVIC F,4,4 - 3,145,SRB,2:25,Goal,1
Extra player shot,12.0,3,3,GRE,2.0,VLACHOPOULOS A,4,4 - 3,78,GRE,1:18,Saved,0
Action shot,3.0,3,4,GRE,2.0,DELAKAS E,4,4 - 4,67,GRE,1:07,Goal,1
Extra player shot,11.0,3,4,GRE,2.0,PRLAINOVIC A,5,5 - 4,29,SRB,0:29,Goal,1
5m shot,9.0,3,4,GRE,2.0,JAKSIC N,5,5 - 4,1,SRB,0:01,Saved,0
Centre shot,8.0,3,6,GRE,4.0,ALEKSIC M,11,11 - 6,73,SRB,1:13,Goal,1
5m shot,6.0,3,6,GRE,4.0,KAPOTSIS M,11,11 - 6,45,GRE,0:45,Saved,0
5m shot,11.0,3,6,GRE,3.0,PRLAINOVIC A,11,11 - 6,458,SRB,7:38,Missed,0
Extra player shot,9.0,3,4,GRE,3.0,JAKSIC N,6,6 - 4,380,SRB,6:20,Goal,1
Extra player shot,12.0,3,4,GRE,3.0,VLACHOPOULOS A,6,6 - 4,340,GRE,5:40,Post,0
5m shot,2.0,3,4,GRE,3.0,MANDIC D,6,6 - 4,310,SRB,5:10,Saved,0
Centre shot,10.0,3,4,GRE,3.0,KOLOMVOS C,6,6 - 4,288,GRE,4:48,Saved,0
5m shot,5.0,3,4,GRE,3.0,FOUNTOULIS I,6,6 - 4,262,GRE,4:22,Post,0
Action shot,12.0,3,4,GRE,3.0,MITORVIC S,7,7 - 4,246,SRB,4:06,Goal,1
Extra player shot,4.0,3,4,GRE,3.0,DERVISIS G,7,7 - 4,208,GRE,3:28,Missed,0
Counter attack,6.0,3,4,GRE,3.0,PIJETLOVIC D,8,8 - 4,195,SRB,3:15,Goal,1
5m shot,5.0,3,4,GRE,3.0,FOUNTOULIS I,8,8 - 4,168,GRE,2:48,Saved,0
5m shot,5.0,3,4,GRE,3.0,FOUNTOULIS I,8,8 - 4,137,GRE,2:17,Blocked,0
5m shot,11.0,3,4,GRE,3.0,GOUNAS A,8,8 - 4,83,GRE,1:23,Blocked,0
5m shot,5.0,3,4,GRE,3.0,FOUNTOULIS I,8,8 - 4,1,GRE,0:01,Saved,0
Penalty shot,5.0,3,5,GRE,4.0,FOUNTOULIS I,8,8 - 5,436,GRE,7:16,Goal,1
Extra player shot,4.0,3,5,GRE,4.0,RANDELOVIC S,9,9 - 5,411,SRB,6:51,Goal,1
5m shot,10.0,3,5,GRE,4.0,FILIPOVIC F,10,10 - 5,360,SRB,6:00,Goal,1
5m shot,5.0,3,5,GRE,4.0,FOUNTOULIS I,10,10 - 5,343,GRE,5:43,Blocked,0
Action shot,9.0,3,5,GRE,4.0,MOURIKIS K,10,10 - 5,318,GRE,5:18,Saved,0
Extra player shot,5.0,3,5,GRE,4.0,CUK M,10,10 - 5,288,SRB,4:48,Saved,0
5m shot,2.0,3,5,GRE,4.0,GENIDOUNIAS K,10,10 - 5,266,GRE,4:26,Saved,0
Action shot,6.0,3,5,GRE,4.0,PIJETLOVIC D,10,10 - 5,244,SRB,4:04,Saved,0
Penalty shot,5.0,3,6,GRE,4.0,FOUNTOULIS I,10,10 - 6,180,GRE,3:00,Goal,1
Action shot,2.0,3,6,GRE,4.0,MANDIC D,10,10 - 6,162,SRB,2:42,Saved,0
Action shot,8.0,3,6,GRE,4.0,ALEKSIC M,10,10 - 6,111,SRB,1:51,Saved,0
5m shot,12.0,3,6,GRE,4.0,MITORVIC S,10,10 - 6,21,SRB,0:21,Saved,0
Extra player shot,6.0,3,6,GRE,4.0,KAPOTSIS M,10,10 - 6,1,GRE,0:01,Missed,0
5m shot,5.0,4,0,AUS,1.0,CUK M,1,1 - 0,452,SRB,7:32,Goal,1
5m shot,8.0,4,0,AUS,1.0,YOUNGER A,1,1 - 0,371,AUS,6:11,Saved,0
Penalty shot,10.0,4,0,AUS,1.0,FILIPOVIC F,2,2 - 0,326,SRB,5:26,Goal,1
5m shot,7.0,4,0,AUS,1.0,UBOVIC N,2,2 - 0,299,SRB,4:59,Post,0
Action shot,7.0,4,1,AUS,1.0,GILCHRIST J,2,2 - 1,248,AUS,4:08,Goal,1
Extra player shot,10.0,4,1,AUS,1.0,FILIPOVIC F,3,3 - 1,108,SRB,1:48,Goal,1
Extra player shot,12.0,4,1,AUS,1.0,MITORVIC S,4,4 - 1,25,SRB,0:25,Goal,1
Centre shot,6.0,4,1,AUS,2.0,PIJETLOVIC D,5,5 - 1,456,SRB,7:36,Goal,1
5m shot,8.0,4,1,AUS,2.0,YOUNGER A,5,5 - 1,432,AUS,7:12,Blocked,0
Action shot,5.0,4,2,AUS,2.0,POWER N,5,5 - 2,386,AUS,6:26,Goal,1
5m shot,8.0,4,2,AUS,2.0,ALEKSIC M,5,5 - 2,355,SRB,5:55,Post,0
Centre shot,6.0,4,3,AUS,2.0,EDWARDS L,5,5 - 3,332,AUS,5:32,Goal,1
Action shot,11.0,4,3,AUS,2.0,HOLLIS L,5,5 - 3,278,AUS,4:38,Saved,0
5m shot,7.0,4,3,AUS,2.0,GILCHRIST J,5,5 - 3,230,AUS,3:50,Missed,0
Action shot,11.0,4,3,AUS,2.0,PRLAINOVIC A,6,6 - 3,192,SRB,3:12,Goal,1
Action shot,12.0,4,3,AUS,2.0,MITORVIC S,7,7 - 3,142,SRB,2:22,Goal,1
Centre shot,4.0,4,3,AUS,2.0,KAYES J,7,7 - 3,112,AUS,1:52,Saved,0
5m shot,12.0,4,3,AUS,2.0,MITORVIC S,7,7 - 3,86,SRB,1:26,Post,0
Action shot,3.0,4,3,AUS,2.0,FORD G,7,7 - 3,56,AUS,0:56,Saved,0
5m shot,4.0,4,3,AUS,2.0,RANDELOVIC S,8,8 - 3,26,SRB,0:26,Goal,1
5m shot,8.0,4,3,AUS,2.0,YOUNGER A,8,8 - 3,3,AUS,0:03,Post,0
Centre shot,5.0,4,3,AUS,3.0,POWER N,8,8 - 3,450,AUS,7:30,Saved,0
Action shot,11.0,4,3,AUS,3.0,PRLAINOVIC A,9,9 - 3,426,SRB,7:06,Goal,1
5m shot,11.0,4,3,AUS,3.0,HOLLIS L,9,9 - 3,396,AUS,6:36,Saved,0
Centre shot,6.0,4,3,AUS,3.0,PIJETLOVIC D,9,9 - 3,347,SRB,5:47,Saved,0
5m shot,8.0,4,3,AUS,3.0,YOUNGER A,9,9 - 3,323,AUS,5:23,Saved,0
Extra player shot,8.0,4,4,AUS,3.0,YOUNGER A,9,9 - 4,297,AUS,4:57,Goal,1
Centre shot,5.0,4,4,AUS,3.0,CUK M,10,10 - 4,271,SRB,4:31,Goal,1
5m shot,10.0,4,4,AUS,3.0,FANNON J,10,10 - 4,247,AUS,4:07,Blocked,0
Action shot,8.0,4,4,AUS,3.0,ALEKSIC M,11,11 - 4,180,SRB,3:00,Goal,1
5m shot,8.0,4,4,AUS,3.0,ALEKSIC M,11,11 - 4,129,SRB,2:09,Missed,0
5m shot,8.0,4,4,AUS,3.0,YOUNGER A,11,11 - 4,108,AUS,1:48,Post,0
Centre shot,4.0,4,5,AUS,3.0,KAYES J,11,11 - 5,108,AUS,1:48,Goal,1
Centre shot,6.0,4,5,AUS,3.0,PIJETLOVIC D,11,11 - 5,90,SRB,1:30,Saved,0
Action shot,2.0,4,5,AUS,3.0,PUTT T,11,11 - 5,73,AUS,1:13,Saved,0
5m shot,8.0,4,5,AUS,3.0,ALEKSIC M,11,11 - 5,41,SRB,0:41,Post,0
Action shot,8.0,4,5,AUS,3.0,YOUNGER A,11,11 - 5,24,AUS,0:24,Saved,0
Counter attack,6.0,4,5,AUS,3.0,PIJETLOVIC D,12,12 - 5,13,SRB,0:13,Goal,1
Extra player shot,9.0,4,5,AUS,4.0,JAKSIC N,13,13 - 5,444,SRB,7:24,Goal,1
5m shot,11.0,4,5,AUS,4.0,HOLLIS L,13,13 - 5,420,AUS,7:00,Blocked,0
Action shot,10.0,4,5,AUS,4.0,FILIPOVIC F,14,14 - 5,402,SRB,6:42,Goal,1
5m shot,8.0,4,5,AUS,4.0,YOUNGER A,14,14 - 5,376,AUS,6:16,Post,0
Centre shot,6.0,4,5,AUS,4.0,PIJETLOVIC D,14,14 - 5,362,SRB,6:02,Missed,0
5m shot,8.0,4,5,AUS,4.0,ALEKSIC M,14,14 - 5,290,SRB,4:50,Post,0
Extra player shot,5.0,4,5,AUS,4.0,POWER N,14,14 - 5,188,AUS,3:08,Saved,0
Action shot,12.0,4,5,AUS,4.0,MITORVIC S,14,14 - 5,140,SRB,2:20,Missed,0
Action shot,11.0,4,5,AUS,4.0,HOLLIS L,14,14 - 5,64,AUS,1:04,Saved,0
Centre shot,12.0,4,5,AUS,4.0,MITORVIC S,14,14 - 5,43,SRB,0:43,Post,0
Counter attack,3.0,4,5,AUS,4.0,RASOVIC V,15,15 - 5,3,SRB,0:03,Goal,1
5m shot,8.0,4,5,AUS,4.0,YOUNGER A,15,15 - 5,1,AUS,0:01,Saved,0
5m shot,4.0,5,0,CRO,1.0,RANDELOVIC S,0,0 - 0,412,SRB,6:52,Saved,0
5m shot,11.0,5,0,CRO,1.0,SETKA A,0,0 - 0,384,CRO,6:24,Post,0
Action shot,12.0,5,0,CRO,1.0,GARCIA GADEA J,0,0 - 0,320,CRO,5:20,Blocked,0
Action shot,12.0,5,0,CRO,1.0,GARCIA GADEA J,0,0 - 0,315,CRO,5:15,Missed,0
5m shot,11.0,5,0,CRO,1.0,PRLAINOVIC A,0,0 - 0,290,SRB,4:50,Saved,0
Extra player shot,11.0,5,0,CRO,1.0,SETKA A,0,0 - 0,241,CRO,4:01,Post,0
Extra player shot,11.0,5,0,CRO,1.0,PRLAINOVIC A,1,1 - 0,198,SRB,3:18,Goal,1
5m shot,3.0,5,0,CRO,1.0,RASOVIC V,1,1 - 0,139,SRB,2:19,Post,0
Action shot,12.0,5,0,CRO,1.0,GARCIA GADEA J,1,1 - 0,111,CRO,1:51,Saved,0
Centre shot,7.0,5,0,CRO,1.0,UBOVIC N,1,1 - 0,79,SRB,1:19,Saved,0
Extra player shot,9.0,5,1,CRO,1.0,SUKNO S,1,1 - 1,1,CRO,0:01,Goal,1
Extra player shot,11.0,5,1,CRO,2.0,PRLAINOVIC A,2,2 - 1,440,SRB,7:20,Goal,1
5m shot,11.0,5,1,CRO,2.0,SETKA A,2,2 - 1,393,CRO,6:33,Saved,0
5m shot,12.0,5,1,CRO,2.0,MITROVIC S,2,2 - 1,366,SRB,6:06,Blocked,0
Extra player shot,12.0,5,1,CRO,2.0,MITROVIC S,3,3 - 1,325,SRB,5:25,Goal,1
Centre shot,4.0,5,2,CRO,2.0,LONCAR L,3,3 - 2,298,CRO,4:58,Goal,1
5m shot,9.0,5,2,CRO,2.0,JAKSIC N,3,3 - 2,241,SRB,4:01,Missed,0
5m shot,8.0,5,3,CRO,2.0,BUSLJE A,3,3 - 3,214,CRO,3:34,Goal,1
Extra player shot,2.0,5,3,CRO,2.0,MANDIC D,3,3 - 3,180,SRB,3:00,Post,0
5m shot,9.0,5,3,CRO,2.0,SUKNO S,3,3 - 3,151,CRO,2:31,Saved,0
Extra player shot,11.0,5,3,CRO,2.0,PRLAINOVIC A,4,4 - 3,124,SRB,2:04,Goal,1
Centre shot,6.0,5,3,CRO,2.0,PIJETLOVIC D,4,4 - 3,76,SRB,1:16,Saved,0
Extra player shot,9.0,5,4,CRO,2.0,SUKNO S,4,4 - 4,48,CRO,0:48,Goal,1
Extra player shot,6.0,5,4,CRO,2.0,PIJETLOVIC D,5,5 - 4,20,SRB,0:20,Goal,1
Extra player shot,8.0,5,5,CRO,2.0,BUSLJE A,5,5 - 5,2,CRO,0:02,Goal,1
Extra player shot,2.0,5,5,CRO,4.0,MANDIC D,5,5 - 5,146,SRB,2:26,Blocked,0
5m shot,8.0,5,5,CRO,4.0,BUSLJE A,5,5 - 5,117,CRO,1:57,Saved,0
Action shot,10.0,5,5,CRO,4.0,FILIPOVIC F,5,5 - 5,91,SRB,1:31,Saved,0
5m shot,11.0,5,5,CRO,4.0,SETKA A,5,5 - 5,64,CRO,1:04,Saved,0
5m shot,10.0,5,5,CRO,3.0,FILIPOVIC F,5,5 - 5,425,SRB,7:05,Post,0
5m shot,9.0,5,5,CRO,3.0,JAKSIC N,5,5 - 5,384,SRB,6:24,Post,0
Centre shot,6.0,5,5,CRO,3.0,PIJETLOVIC D,6,6 - 5,327,SRB,5:27,Goal,1
5m shot,5.0,5,5,CRO,3.0,JOKOVIC M,6,6 - 5,300,CRO,5:00,Missed,0
Extra player shot,9.0,5,6,CRO,3.0,SUKNO S,6,6 - 6,243,CRO,4:03,Goal,1
Extra player shot,4.0,5,6,CRO,3.0,RANDELOVIC S,7,7 - 6,176,SRB,2:56,Goal,1
Extra player shot,5.0,5,7,CRO,3.0,JOKOVIC M,7,7 - 7,147,CRO,2:27,Goal,1
Centre shot,11.0,5,7,CRO,3.0,PRLAINOVIC A,8,8 - 7,130,SRB,2:10,Goal,1
Extra player shot,7.0,5,8,CRO,3.0,VUKICEVIC A,8,8 - 8,86,CRO,1:26,Goal,1
Counter attack,11.0,5,8,CRO,3.0,PRLAINOVIC A,9,9 - 8,12,SRB,0:12,Goal,1
Penalty shot,5.0,5,9,CRO,3.0,JOKOVIC M,9,9 - 9,1,CRO,0:01,Goal,1
Action shot,3.0,5,9,CRO,4.0,RASOVIC V,9,9 - 9,451,SRB,7:31,Saved,0
5m shot,8.0,5,9,CRO,4.0,BUSLJE A,9,9 - 9,430,CRO,7:10,Blocked,0
Counter attack,11.0,5,9,CRO,4.0,PRLAINOVIC A,10,10 - 9,422,SRB,7:02,Goal,1
Centre shot,4.0,5,10,CRO,4.0,LONCAR L,10,10 - 10,394,CRO,6:34,Goal,1
Extra player shot,12.0,5,10,CRO,4.0,MITROVIC S,10,10 - 10,369,SRB,6:09,Saved,0
5m shot,5.0,5,10,CRO,4.0,JOKOVIC M,10,10 - 10,343,CRO,5:43,Saved,0
5m shot,11.0,5,10,CRO,4.0,PRLAINOVIC A,10,10 - 10,318,SRB,5:18,Saved,0
Extra player shot,7.0,5,11,CRO,4.0,VUKICEVIC A,10,10 - 11,291,CRO,4:51,Goal,1
5m shot,2.0,5,11,CRO,4.0,MANDIC D,11,11 - 11,208,SRB,3:28,Goal,1
Extra player shot,5.0,5,12,CRO,4.0,JOKOVIC M,11,11 - 12,179,CRO,2:59,Goal,1
