Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,ESP,1.0,MILICICH J,0 - 0,480,NZL,8:00
Starting goalkeeper,1.0,1,0,0,ESP,1.0,ESTER RAMOS L,0 - 0,480,ESP,8:00
Sprint won possession,3.0,1,0,0,ESP,1.0,ESPAR LLAQUET A,0 - 0,480,ESP,8:00
Turnover foul,3.0,1,0,0,ESP,1.0,ESPAR LLAQUET A,0 - 0,453,ESP,7:33
Steal,8.0,1,0,0,ESP,1.0,LOPES da SILVA C,0 - 0,453,NZL,7:33
5m shot - Missed,9.0,1,0,0,ESP,1.0,STONEMAN E,0 - 0,424,NZL,7:04
Action shot - Goal,3.0,1,0,1,ESP,1.0,ESPAR LLAQUET A,0 - 1,410,ESP,6:50
Turnover foul,12.0,1,0,1,ESP,1.0,PYE B,0 - 1,395,NZL,6:35
Steal,7.0,1,0,1,ESP,1.0,ESPAR LLAQUET C,0 - 1,395,ESP,6:35
Turnover foul,3.0,1,0,1,ESP,1.0,ESPAR LLAQUET A,0 - 1,386,ESP,6:26
5m shot - Post,8.0,1,0,1,ESP,1.0,LOPES da SILVA C,0 - 1,343,NZL,5:43
20 sec. exclusion in centre,3.0,1,0,1,ESP,1.0,MASON K,0 - 1,337,NZL,5:37
Turnover foul,4.0,1,0,1,ESP,1.0,ORTIZ MUNOZ B,0 - 1,321,ESP,5:21
Steal,12.0,1,0,1,ESP,1.0,PYE B,0 - 1,321,NZL,5:21
5m shot - Blocked,9.0,1,0,1,ESP,1.0,STONEMAN E,0 - 1,294,NZL,4:54
Turnover foul,9.0,1,0,1,ESP,1.0,STONEMAN E,0 - 1,279,NZL,4:39
Action shot - Missed,7.0,1,0,1,ESP,1.0,ESPAR LLAQUET C,0 - 1,258,ESP,4:18
Steal,7.0,1,0,1,ESP,1.0,ESPAR LLAQUET C,0 - 1,244,ESP,4:04
Turnover foul,11.0,1,0,1,ESP,1.0,HUDSON K,0 - 1,242,NZL,4:02
Centre shot - Goal,12.0,1,0,2,ESP,1.0,LEITON ARRONES P,0 - 2,239,ESP,3:59
5m shot - Post,7.0,1,0,2,ESP,1.0,HOUGHTON E,0 - 2,209,NZL,3:29
Turnover foul,6.0,1,0,2,ESP,1.0,LLORET GOMEZ H,0 - 2,180,ESP,3:00
Steal,6.0,1,0,2,ESP,1.0,LLORET GOMEZ H,0 - 2,180,ESP,3:00
20 sec. exclusion in field,8.0,1,0,2,ESP,1.0,LOPES da SILVA C,0 - 2,164,NZL,2:44
Extra player shot - Goal,6.0,1,0,3,ESP,1.0,LLORET GOMEZ H,0 - 3,156,ESP,2:36
20 sec. exclusion in field,9.0,1,0,3,ESP,1.0,FORCA ARIZA J,0 - 3,142,ESP,2:22
Time-Out,,1,0,3,ESP,1.0,,0 - 3,141,NZL,2:21
Turnover foul,8.0,1,0,3,ESP,1.0,LOPES da SILVA C,0 - 3,116,NZL,1:56
Turnover foul,10.0,1,0,3,ESP,1.0,CRESPI BARRIGA P,0 - 3,95,ESP,1:35
