Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,4.0,1,0,0,BRA,1.0,CANETTI M,0 - 0,438,BRA,7:18,Post,0
5m shot,8.0,1,1,0,BRA,1.0,KESZTHELYI R,1 - 0,423,HUN,7:03,Goal,1
Action shot,8.0,1,1,0,BRA,1.0,CHIAPPINI I,1 - 0,406,BRA,6:46,Saved,0
Action shot,10.0,1,1,0,BRA,1.0,BUJKA B,1 - 0,389,HUN,6:29,Post,0
5m shot,8.0,1,2,0,BRA,1.0,KESZTHELYI R,2 - 0,355,HUN,5:55,Goal,1
5m shot,8.0,1,2,0,BRA,1.0,CHIAPPINI I,2 - 0,332,BRA,5:32,Post,0
5m shot,4.0,1,2,0,BRA,1.0,KISTELEKI D,2 - 0,313,HUN,5:13,Saved,0
5m shot,11.0,1,2,1,BRA,1.0,COUTINHO M,2 - 1,293,BRA,4:53,Goal,1
Extra player shot,6.0,1,3,1,BRA,1.0,TAKACS O,3 - 1,275,HUN,4:35,Goal,1
Counter attack,8.0,1,4,1,BRA,1.0,KESZTHELYI R,4 - 1,254,HUN,4:14,Goal,1
Extra player shot,5.0,1,4,2,BRA,1.0,MAIA L,4 - 2,220,BRA,3:40,Goal,1
Extra player shot,11.0,1,4,2,BRA,1.0,COUTINHO M,4 - 2,137,BRA,2:17,Saved,0
Penalty shot,12.0,1,5,2,BRA,1.0,MENCZINGER K,5 - 2,72,HUN,1:12,Goal,1
Action shot,4.0,1,5,2,BRA,1.0,CANETTI M,5 - 2,54,BRA,0:54,Saved,0
Extra player shot,5.0,1,5,2,BRA,1.0,SZUCS G,5 - 2,36,HUN,0:36,Saved,0
Counter attack,12.0,1,6,2,BRA,1.0,MENCZINGER K,6 - 2,5,HUN,0:05,Goal,1
Extra player shot,8.0,1,6,2,BRA,2.0,CHIAPPINI I,6 - 2,445,BRA,7:25,Blocked,0
