Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Missed,0,5.0,5,3,RUS,1.0,ANTONOVA A,3 - 0,303,RUS,5:03
20 sec. exclusion in field,0,3.0,5,3,RUS,1.0,PROKOFYEVA E,3 - 0,297,RUS,4:57
5m shot - Saved,0,5.0,5,3,RUS,1.0,EGGENS M,3 - 0,268,CAN,4:28
Turnover foul,0,3.0,5,3,RUS,1.0,MONTON K,3 - 0,252,CAN,4:12
Steal,0,12.0,5,3,RUS,1.0,ZELENTSOVA E,3 - 0,252,RUS,4:12
Turnover foul,0,10.0,5,3,RUS,1.0,BELIAEVA O,3 - 0,239,RUS,3:59
Action shot - Post,0,5.0,5,3,RUS,1.0,EGGENS M,3 - 0,221,CAN,3:41
Action shot - Saved,0,11.0,5,3,RUS,1.0,IVANOVA E,3 - 0,198,RUS,3:18
Centre shot - Goal,1,3.0,5,3,RUS,1.0,MONTON K,3 - 1,181,CAN,3:01
Centre shot - Saved,1,7.0,5,3,RUS,1.0,TANKEEVA E,3 - 1,162,RUS,2:42
Action shot - Post,1,9.0,5,3,RUS,1.0,EGGENS C,3 - 1,134,CAN,2:14
Action shot - Saved,1,8.0,5,3,RUS,1.0,PERREAULT D,3 - 1,116,CAN,1:56
Counter attack - Goal,1,3.0,5,4,RUS,1.0,PROKOFYEVA E,4 - 1,100,RUS,1:40
Action shot - Goal,2,7.0,5,4,RUS,1.0,BEKHAZI J,4 - 2,73,CAN,1:13
20 sec. exclusion in centre,2,12.0,5,4,RUS,1.0,RADU M,4 - 2,47,CAN,0:47
Extra player shot - Goal,2,6.0,5,5,RUS,1.0,BELOVA O,5 - 2,27,RUS,0:27
Turnover foul,2,2.0,5,5,RUS,1.0,ALOGBO K,5 - 2,12,CAN,0:12
5m shot - Saved,2,3.0,5,5,RUS,1.0,PROKOFYEVA E,5 - 2,4,RUS,0:04
Starting goalkeeper,2,13.0,5,5,RUS,2.0,KARNAUKH A,5 - 2,480,RUS,8:00
Starting goalkeeper,2,1.0,5,5,RUS,2.0,RELTON M,5 - 2,480,CAN,8:00
Sprint won possession,2,3.0,5,5,RUS,2.0,PROKOFYEVA E,5 - 2,480,RUS,8:00
20 sec. exclusion in centre,2,10.0,5,5,RUS,2.0,ROBINSON C,5 - 2,458,CAN,7:38
Extra player shot - Goal,2,5.0,5,6,RUS,2.0,ANTONOVA A,6 - 2,443,RUS,7:23
Action shot - Post,2,7.0,5,6,RUS,2.0,BEKHAZI J,6 - 2,414,CAN,6:54
