Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,4.0,1,0,GBR,1.0,GIBSON-BYRNE C,0 - 0,458,GBR,7:38,Missed,0
Extra player shot,0,5.0,1,0,GBR,1.0,EGGENS M,0 - 0,415,CAN,6:55,Missed,0
5m shot,0,8.0,1,0,GBR,1.0,MUSGROVE H,0 - 0,386,GBR,6:26,Saved,0
5m shot,0,11.0,1,0,GBR,1.0,CLAYTON F,0 - 0,337,GBR,5:37,Blocked,0
Centre shot,0,2.0,1,0,GBR,1.0,ALOGBO K,0 - 0,321,CAN,5:21,Post,0
Extra player shot,1,2.0,1,0,GBR,1.0,ALOGBO K,1 - 0,280,CAN,4:40,Goal,1
Action shot,1,8.0,1,0,GBR,1.0,PERREAULT D,1 - 0,239,CAN,3:59,Saved,0
Extra player shot,1,8.0,1,1,GBR,1.0,MUSGROVE H,1 - 1,216,GBR,3:36,Goal,1
Extra player shot,2,4.0,1,1,GBR,1.0,WRIGHT E,2 - 1,197,CAN,3:17,Goal,1
Action shot,2,2.0,1,1,GBR,1.0,WILCOX C,2 - 1,185,GBR,3:05,Missed,0
5m shot,2,9.0,1,1,GBR,1.0,EGGENS C,2 - 1,155,CAN,2:35,Saved,0
Centre shot,2,2.0,1,1,GBR,1.0,ALOGBO K,2 - 1,139,CAN,2:19,Post,0
Action shot,2,9.0,1,1,GBR,1.0,EGGENS C,2 - 1,128,CAN,2:08,Saved,0
Action shot,2,2.0,1,2,GBR,1.0,WILCOX C,2 - 2,101,GBR,1:41,Goal,1
Centre shot,3,3.0,1,2,GBR,1.0,MONTON K,3 - 2,69,CAN,1:09,Goal,1
Action shot,3,11.0,1,2,GBR,1.0,CLAYTON F,3 - 2,17,GBR,0:17,Blocked,0
5m shot,3,10.0,1,2,GBR,2.0,ROBINSON C,3 - 2,460,CAN,7:40,Missed,0
Extra player shot,3,8.0,1,2,GBR,2.0,MUSGROVE H,3 - 2,427,GBR,7:07,Blocked,0
